path,symbol_or_term,occurrence_type,module,current_usage,runtime_used_yes_no,user_facing_yes_no,generated_content_yes_no,replacement_path,recommended_action,risk_level,notes
datasets/context-artifacts/approved/apex-retail/home-knowledge/approved-home-knowledge-design-contract-pack.json,synthetic demo,data-or-generated-artifact,tenant-data,dataset-artifact,no,no,yes,neutral current architecture language,archive,low,2 occurrence(s); review before archive/delete
datasets/context-artifacts/approved/apex-retail/home-knowledge/approved-home-knowledge-design-contract-pack.json,V4,data-or-generated-artifact,tenant-data,dataset-artifact,no,no,yes,standard-2026-07-v3 inputs plus neutral ActiveContextStore/ModuleContextReader,archive,low,2 occurrence(s); review before archive/delete
datasets/context-artifacts/approved/first-capital/home-knowledge/approved-home-knowledge-design-contract-pack.json,synthetic demo,data-or-generated-artifact,tenant-data,dataset-artifact,no,no,yes,neutral current architecture language,archive,low,2 occurrence(s); review before archive/delete
datasets/context-artifacts/approved/first-capital/home-knowledge/approved-home-knowledge-design-contract-pack.json,V4,data-or-generated-artifact,tenant-data,dataset-artifact,no,no,yes,standard-2026-07-v3 inputs plus neutral ActiveContextStore/ModuleContextReader,archive,low,3 occurrence(s); review before archive/delete
datasets/context-artifacts/approved/lakeshore-holdings/home-knowledge/approved-home-knowledge-design-contract-pack.json,synthetic demo,data-or-generated-artifact,tenant-data,dataset-artifact,no,no,yes,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/enterprise-profile-foundation-v1/active-tenants/enterprise_profile_foundation.csv,substrate,data-or-generated-artifact,tenant-data,dataset-artifact,no,no,yes,module context pack or active context projection,archive,low,4 occurrence(s); review before archive/delete
datasets/enterprise-profile-foundation-v1/active-tenants/enterprise_profile_foundation.csv,V6,data-or-generated-artifact,tenant-data,dataset-artifact,no,no,yes,standard-2026-07-v3 inputs plus neutral ActiveContextStore/ModuleContextReader,archive,low,1 occurrence(s); review before archive/delete
datasets/enterprise-profile-foundation-v1/active-tenants/enterprise_profile_foundation.csv,V7,data-or-generated-artifact,tenant-data,dataset-artifact,no,no,yes,standard-2026-07-v3 inputs plus neutral ActiveContextStore/ModuleContextReader,archive,low,1 occurrence(s); review before archive/delete
datasets/enterprise-profile-foundation-v1/README.md,tenant packet,documentation,tenant-data,dataset-artifact,no,no,no,standard-2026-07-v3 tenant input dataset,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-001-AMEND-001.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-001-BAA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-001-INVOICE-EVIDENCE.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-001-MSA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-001-ORDER.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-001-PRICING.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-001-SLA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-001-SOW.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-002-AMEND-001.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-002-BAA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-002-INVOICE-EVIDENCE.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-002-MSA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-002-ORDER.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-002-PRICING.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-002-SLA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-002-SOW.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-003-AMEND-001.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-003-BAA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-003-INVOICE-EVIDENCE.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-003-MSA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-003-ORDER.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-003-PRICING.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-003-SLA.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
datasets/quarantine/contract-packets-20260817-wrong-tenant/documents/CTR-SA-003-SOW.md,synthetic demo,documentation,tenant-data,dataset-artifact,no,no,no,neutral current architecture language,archive,low,1 occurrence(s); review before archive/delete
