week,team_id,deploys_per_week,lead_time_hours,mttr_hours,change_failure_rate_pct
2026-W05,TEAM-MAINFRAME-LEGACY,0.21,645,14,22
2026-W05,TEAM-SAP-CORE,0.52,484,8,18
2026-W05,TEAM-ORDER-LEGACY,1.24,207,6,14
2026-W05,TEAM-STORE-TECH,2.16,115,4,11
2026-W05,TEAM-COMMERCE,8.65,35,3,12
2026-W05,TEAM-ORDER-MODERN,14.63,15,1.5,6
2026-W05,TEAM-CHECKOUT-DTC,18.64,8,1,4
2026-W05,TEAM-DTC-WEB,12.98,17,1.5,5
2026-W05,TEAM-MOBILE,0.62,323,4,9
2026-W05,TEAM-ML-COMMERCE,6.39,29,2,7
2026-W05,TEAM-DEMAND-PLANNING,1.85,115,4,11
2026-W05,TEAM-DATA-PLATFORM,4.94,35,2,8
2026-W05,TEAM-PLATFORM-OBS,3.71,23,2,6
2026-W05,TEAM-STORE-EDGE,0.41,323,6,13
