tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,pattern_id,pattern_name,industry_domain,when_to_apply,signals,recommended_actions,corpus_context_label
first-capital,Financial Services Demo,v6.0,industry_corpus_pattern,fc-model-risk-ai-scale-gate,Model-risk gate before bank AI scale,v4_synthetic_pack,Financial Services Evidence Steward,synthetic_demo,corpus-patterns/move-patterns.jsonl,1,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,fc-model-risk-ai-scale-gate,Model-risk gate before bank AI scale,financial_services_ai_governance,"Use when AI touches AML, fraud, lending, HR, wealth, or customer treatment.",SR 11-7 validation pending|restricted data|production pressure,hold scale|assign model owner|require evidence pack,industry_pattern_context_not_tenant_fact
first-capital,Financial Services Demo,v6.0,industry_corpus_pattern,fc-payments-value-gate,Payments value gated by core and sanctions dependencies,v4_synthetic_pack,Financial Services Evidence Steward,synthetic_demo,corpus-patterns/move-patterns.jsonl,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,fc-payments-value-gate,Payments value gated by core and sanctions dependencies,payments_modernization,Use when real-time payments value is claimed without core/sanctions evidence.,FedNow/RTP|core banking interfaces|sanctions screening,sequence core APIs|fund sanctions evidence|measure payment operations value,industry_pattern_context_not_tenant_fact
first-capital,Financial Services Demo,v6.0,industry_corpus_pattern,fc-aml-false-positive-reduction,AML false-positive reduction with review controls,v4_synthetic_pack,Financial Services Evidence Steward,synthetic_demo,corpus-patterns/move-patterns.jsonl,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,fc-aml-false-positive-reduction,AML false-positive reduction with review controls,financial_crimes,Use when AI triage is proposed for alert/case workload.,high false positives|manual SAR narratives|case backlog,validate model|measure analyst productivity|monitor quality,industry_pattern_context_not_tenant_fact
first-capital,Financial Services Demo,v6.0,industry_corpus_pattern,first-capital-v4-pattern-04,Financial Services Demo V4 context-to-move pattern 4,v4_synthetic_pack,Financial Services Evidence Steward,synthetic_demo,corpus-patterns/move-patterns.jsonl,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,first-capital-v4-pattern-04,Financial Services Demo V4 context-to-move pattern 4,cost_takeout,"Apply when context, corpus, Tower spend, and evidence rows together show an executive decision point.",cross_dimension_dependency|evidence_gap|benefit_realization_gap|governance_or_adoption_blocker,"Compare tenant evidence to pattern, name gaps, and avoid claiming tenant fact from corpus context.",industry_pattern_context_not_tenant_fact
first-capital,Financial Services Demo,v6.0,industry_corpus_pattern,first-capital-v4-pattern-05,Financial Services Demo V4 context-to-move pattern 5,v4_synthetic_pack,Financial Services Evidence Steward,synthetic_demo,corpus-patterns/move-patterns.jsonl,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,first-capital-v4-pattern-05,Financial Services Demo V4 context-to-move pattern 5,value_realization,"Apply when context, corpus, Tower spend, and evidence rows together show an executive decision point.",cross_dimension_dependency|evidence_gap|benefit_realization_gap|governance_or_adoption_blocker,"Compare tenant evidence to pattern, name gaps, and avoid claiming tenant fact from corpus context.",industry_pattern_context_not_tenant_fact
first-capital,Financial Services Demo,v6.0,industry_corpus_pattern,first-capital-v4-pattern-06,Financial Services Demo V4 context-to-move pattern 6,v4_synthetic_pack,Financial Services Evidence Steward,synthetic_demo,corpus-patterns/move-patterns.jsonl,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,first-capital-v4-pattern-06,Financial Services Demo V4 context-to-move pattern 6,data_foundation,"Apply when context, corpus, Tower spend, and evidence rows together show an executive decision point.",cross_dimension_dependency|evidence_gap|benefit_realization_gap|governance_or_adoption_blocker,"Compare tenant evidence to pattern, name gaps, and avoid claiming tenant fact from corpus context.",industry_pattern_context_not_tenant_fact
first-capital,Financial Services Demo,v6.0,industry_corpus_pattern,FIRSTCAPITAL-MET-0001,industry_corpus_pattern record,v4_synthetic_pack,Financial Services Evidence Steward,synthetic_demo,family-7-outcome-intelligence/O02_industry-benchmarks.csv,2,2026-06-18,2026-04-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FIRSTCAPITAL-BM-0001,industry_corpus_pattern record,large enterprise peer group,Use as industry/pattern context only after tenant facts establish applicability.,"Adoption, process change, data quality, owner accountability, and measurable value evidence",13,industry_pattern_context_not_tenant_fact
first-capital,Financial Services Demo,v6.0,industry_corpus_pattern,FIRSTCAPITAL-MET-0002,industry_corpus_pattern record,v4_synthetic_pack,Financial Services Evidence Steward,synthetic_demo,family-7-outcome-intelligence/O02_industry-benchmarks.csv,3,2026-06-18,2026-04-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FIRSTCAPITAL-BM-0002,industry_corpus_pattern record,large enterprise peer group,Use as industry/pattern context only after tenant facts establish applicability.,"Adoption, process change, data quality, owner accountability, and measurable value evidence",14,industry_pattern_context_not_tenant_fact
first-capital,Financial Services Demo,v6.0,industry_corpus_pattern,FIRSTCAPITAL-MET-0003,industry_corpus_pattern record,v4_synthetic_pack,Financial Services Evidence Steward,synthetic_demo,family-7-outcome-intelligence/O02_industry-benchmarks.csv,4,2026-06-18,2026-04-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FIRSTCAPITAL-BM-0003,industry_corpus_pattern record,large enterprise peer group,Use as industry/pattern context only after tenant facts establish applicability.,"Adoption, process change, data quality, owner accountability, and measurable value evidence",15,industry_pattern_context_not_tenant_fact
first-capital,Financial Services Demo,v6.0,industry_corpus_pattern,FIRSTCAPITAL-MET-0004,industry_corpus_pattern record,v4_synthetic_pack,Financial Services Evidence Steward,synthetic_demo,family-7-outcome-intelligence/O02_industry-benchmarks.csv,5,2026-06-18,2026-04-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,FIRSTCAPITAL-BM-0004,industry_corpus_pattern record,large enterprise peer group,Use as industry/pattern context only after tenant facts establish applicability.,"Adoption, process change, data quality, owner accountability, and measurable value evidence",16,industry_pattern_context_not_tenant_fact
