revised_pricing_id,bafo_id,lot_id,service_tower,original_pricing_line_id,revision_type,value_disclosure_mode,source_id
REVPRICE-HCDN-LOT-HCDN-01-A-01,BAFO-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-A-01,rebalanced offshore mix,range,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-01-A-02,BAFO-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-A-02,service credit added,indexed,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-01-A-03,BAFO-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-A-03,transition fee reduced,exact,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-01-A-04,BAFO-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-A-04,reduced rate,range,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-01-A-05,BAFO-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-A-05,rebalanced offshore mix,indexed,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-01-A-06,BAFO-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-A-06,service credit added,exact,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-01-A-07,BAFO-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-A-07,transition fee reduced,range,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-01-A-08,BAFO-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-A-08,reduced rate,indexed,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-01-A-09,BAFO-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-A-09,rebalanced offshore mix,exact,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-01-A-10,BAFO-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-A-10,service credit added,range,SRC-HCDN-BAFO-A
REVPRICE-HCDN-LOT-HCDN-01-A-11,BAFO-HCDN-A-LOT-HCDN-01,LOT-HCDN-01,Clinical and Epic AMS,PRICE-HCDN-LOT-HCDN-01-A-11,transition fee reduced,indexed,SRC-HCDN-BAFO-A
