benefit_id,initiative_id,linked_metric_id,benefit_type,baseline,target,forecast,realized_to_date,unit,measurement_method,benefit_owner,realization_status,source_file,source_row,value_source
BEN-00001,INIT-0001,MET-0006,Productivity,192.4,250.9,225.8,52.9,pts,Operational KPI delta,CFO Office,Validated,family-7-outcome-intelligence/O04_benefits-realization.csv,2,tenant_file
BEN-00002,INIT-0001,MET-0027,Compliance,160,198.9,194.5,90.7,pts,Modelled estimate,Transformation Office,Observed,family-7-outcome-intelligence/O04_benefits-realization.csv,3,tenant_file
BEN-00003,INIT-0002,MET-0038,Compliance,175,230.6,219.9,122.6,pts,System telemetry,Transformation Office,Validated,family-7-outcome-intelligence/O04_benefits-realization.csv,4,tenant_file
BEN-00004,INIT-0002,MET-0144,Productivity,43.3,54.2,47.4,1.7,%,Survey-based,Transformation Office,Projected,family-7-outcome-intelligence/O04_benefits-realization.csv,5,tenant_file
BEN-00005,INIT-0003,MET-0134,Cost Takeout,138.4,192,171.7,89.2,hours,System telemetry,CFO Office,Observed,family-7-outcome-intelligence/O04_benefits-realization.csv,6,tenant_file
BEN-00006,INIT-0003,MET-0071,Compliance,113.2,140.7,135.4,82.3,%,Modelled estimate,Ops Excellence,Projected,family-7-outcome-intelligence/O04_benefits-realization.csv,7,tenant_file
BEN-00007,INIT-0004,MET-0106,Cost Takeout,158.5,205.8,216,101.5,pts,Audit confirmation,Ops Excellence,Observed,family-7-outcome-intelligence/O04_benefits-realization.csv,8,tenant_file
BEN-00008,INIT-0004,MET-0162,Cost Takeout,59.5,67.6,66.8,17.8,%,Audit confirmation,Transformation Office,Observed,family-7-outcome-intelligence/O04_benefits-realization.csv,9,tenant_file
BEN-00009,INIT-0005,MET-0132,Risk Reduction,58.2,62.9,57.8,34.8,%,Modelled estimate,CFO Office,Validated,family-7-outcome-intelligence/O04_benefits-realization.csv,10,tenant_file
BEN-00010,INIT-0005,MET-0164,Compliance,95.5,123.5,113.3,15.6,hours,System telemetry,Transformation Office,Observed,family-7-outcome-intelligence/O04_benefits-realization.csv,11,tenant_file
BEN-00011,INIT-0005,MET-0117,Risk Reduction,182.6,212.1,182.9,96.6,FTE,System telemetry,CFO Office,Projected,family-7-outcome-intelligence/O04_benefits-realization.csv,12,tenant_file
