control_id,control_name,domain,owner_role,status,risk_severity,evidence_status,gap_or_condition,regulatory_or_policy_anchor,source_file,source_row,value_source
MER-CTRL-001,HIPAA minimum necessary,privacy,Chief Medical Officer,blocked,critical,missing_machine_readable_evidence,Must attach source citation before AI automation can scale,HIPAA/CMS,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,2,tenant_file
MER-CTRL-002,HITRUST access evidence,security,Chief Health Plan Officer,operating,medium,source_available,Standard review cadence,HITRUST/SOC2,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,3,tenant_file
MER-CTRL-003,FHIR consent scope control,clinical_safety,Chief Digital & Information Officer,operating,medium,source_available,Standard review cadence,SOX/clinical safety policy,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,4,tenant_file
MER-CTRL-004,PHI model review,financial_control,CFO,review_required,high,source_available,Standard review cadence,HIPAA/CMS,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,5,tenant_file
MER-CTRL-005,clinical safety review,privacy,Chief Operating Officer,operating,medium,missing_machine_readable_evidence,Must attach source citation before AI automation can scale,HITRUST/SOC2,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,6,tenant_file
MER-CTRL-006,claims payment control,security,Chief Nursing Officer,blocked,critical,source_available,Standard review cadence,SOX/clinical safety policy,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,7,tenant_file
MER-CTRL-007,CMS interoperability control,clinical_safety,Chief Compliance Officer,review_required,high,source_available,Standard review cadence,HIPAA/CMS,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,8,tenant_file
MER-CTRL-008,HEDIS audit trail,financial_control,Chief Customer Experience Officer,operating,medium,source_available,Standard review cadence,HITRUST/SOC2,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,9,tenant_file
MER-CTRL-009,SOX GL reconciliation,privacy,Chief Medical Officer,operating,medium,missing_machine_readable_evidence,Must attach source citation before AI automation can scale,SOX/clinical safety policy,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,10,tenant_file
MER-CTRL-010,vendor BAA review,security,Chief Health Plan Officer,review_required,high,source_available,Standard review cadence,HIPAA/CMS,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,11,tenant_file
MER-CTRL-011,AI model inventory,clinical_safety,Chief Digital & Information Officer,blocked,critical,source_available,Standard review cadence,HITRUST/SOC2,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,12,tenant_file
MER-CTRL-012,data retention and deletion,financial_control,CFO,operating,medium,source_available,Standard review cadence,SOX/clinical safety policy,family-6-governance-ai-evidence/F16_security-risk-compliance.csv,13,tenant_file
