problem_id,opened_at,closed_at,ci_id,business_service,priority,root_cause_category,known_error,status,owner,linked_incident_count,workaround_available,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
PRB0001800,2026-01-01,2026-05-07,CI-APP-EPIC-HYPERSPACE,Clinical Documentation,P1,Capacity management,false,Closed,Integration Operations,3,true,ServiceNow,PRB1800,Problem Management,2026-05-08,0.82,true,
PRB0001801,2026-02-02,2026-04-02,CI-SVC-CONTACT-CENTER,Contact Center Operations,P3,Configuration drift,false,Resolved,Cloud Platform Services,4,true,ServiceNow,PRB1801,Problem Management,2026-05-01,0.82,true,
PRB0001802,2026-03-03,2026-04-03,CI-APP-ORACLE-ERP,Finance and Procurement,P3,Vendor defect,true,Resolved,Cybersecurity Governance,5,true,ServiceNow,PRB1802,Problem Management,2026-05-01,0.82,true,
PRB0001803,2026-01-04,2026-04-04,CI-PLAT-DATABRICKS,Advanced Analytics,P3,Monitoring gap,false,Known Error,Clinical Informatics,6,true,ServiceNow,PRB1803,Problem Management,2026-05-01,0.82,true,
PRB0001804,2026-02-05,2026-04-05,CI-SEC-IMPRIVATA,Clinical Identity,P2,Ownership gap,true,Resolved,Contact Center Technology,7,false,ServiceNow,PRB1804,Problem Management,2026-05-01,0.82,true,
PRB0001805,2026-03-06,,CI-APP-ENSEMBLE-RCM,Revenue Cycle Operations,P3,Capacity management,false,Open,Payer Platform Operations,8,true,ServiceNow,PRB1805,Problem Management,2026-05-01,0.82,true,
PRB0001806,2026-01-07,2026-04-07,CI-DATA-003,Pharmacy Dispensing,P3,Configuration drift,true,Known Error,Research Technology Office,9,true,ServiceNow,PRB1806,Problem Management,2026-05-01,0.82,true,
PRB0001807,2026-02-08,2026-04-08,CI-DATA-006,Claims Gateway,P3,Vendor defect,false,Resolved,IT Sourcing,10,true,ServiceNow,PRB1807,Problem Management,2026-05-01,0.82,true,
PRB0001808,2026-03-09,2026-04-09,CI-DATA-009,Utilization Management,P2,Monitoring gap,true,Resolved,Integration Operations,11,false,ServiceNow,PRB1808,Problem Management,2026-05-01,0.82,true,
PRB0001809,2026-01-10,2026-04-10,CI-DATA-012,Data De-identification Service,P3,Ownership gap,false,Known Error,Cloud Platform Services,12,true,ServiceNow,PRB1809,Problem Management,2026-05-01,0.82,true,
PRB0001810,2026-02-11,,CI-DATA-015,Telehealth Platform,P3,Capacity management,true,Open,Cybersecurity Governance,13,true,ServiceNow,PRB1810,Problem Management,2026-05-01,0.82,true,
PRB0001811,2026-03-12,2026-04-12,CI-DATA-018,Master Data Management,P1,Configuration drift,false,Resolved,Clinical Informatics,14,true,ServiceNow,PRB1811,Problem Management,2026-05-01,0.82,true,
PRB0001812,2026-01-13,2026-04-13,CI-DATA-021,PACS Imaging,P2,Vendor defect,true,Known Error,Contact Center Technology,15,false,ServiceNow,PRB1812,Problem Management,2026-05-01,0.82,true,
PRB0001813,2026-02-14,2026-04-14,CI-DATA-024,Provider Scheduling,P3,Monitoring gap,false,Resolved,Payer Platform Operations,16,true,ServiceNow,PRB1813,Problem Management,2026-05-01,0.82,true,
