source_row_id,tenant_key,dataset_version,source_file_id,contract_id,vendor_ref,vendor_name,source_page,page_text,page_text_sha256,mapping_status,parser_version,synthetic_policy
page:DOC-MER-TECH-IMS-001-MSA:p1,meridian-health,meridian-managed-services-depth-v1-20260907,DOC-MER-TECH-IMS-001-MSA,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",1,"Synthetic demo evidence. Master services agreement for Enterprise Infrastructure and Service Desk Managed Services Agreement with Kyndryl, Inc.. The agreement states auto-renewal, 90-day notice, annual benchmarking rights for infrastructure and service desk towers, audit rights, data-security obligations, and termination-for-convenience after year two with a capped transition-assistance fee.",e0ab85e778f71240ee9fc78122a53811dd27bbda2855b40fb67003ffaf0a9a7d,mapped_to_register_contract,synthetic-contract-depth-page-text-v2,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-IMS-001-MSA:p2,meridian-health,meridian-managed-services-depth-v1-20260907,DOC-MER-TECH-IMS-001-MSA,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2,"Synthetic demo evidence. Commercial terms define the monthly base run fee, annual committed value, transition-assistance rate cap, quarterly business review evidence obligations, and the rule that repeated change-order services must be reviewed for base-catalog conversion before renewal.",9be64a7f81c7530bc891bfdc4b65d439fb9397cd225066da226677767105028c,mapped_to_register_contract,synthetic-contract-depth-page-text-v2,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-IMS-001-SOW:p1,meridian-health,meridian-managed-services-depth-v1-20260907,DOC-MER-TECH-IMS-001-SOW,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",1,"Synthetic demo evidence. Statement of work covers enterprise service desk, endpoint management, identity operations queue triage, infrastructure operations coordination, ServiceNow queue governance, and clinical integration incident routing. Scope links to five CMDB applications with criticality and ownership.",04b27b4980fb0246b539e9c94b07eb274b7902eb6ec6975c06024316b1968160,mapped_to_register_contract,synthetic-contract-depth-page-text-v2,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-IMS-001-SOW:p2,meridian-health,meridian-managed-services-depth-v1-20260907,DOC-MER-TECH-IMS-001-SOW,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2,"Synthetic demo evidence. The SOW separates fixed run services from discretionary project work. It names Level 1 to Level 3 ticket handling, major incident coordination, patch packaging support, monthly service review, and exclusions for transformation projects unless specifically approved.",4da5d59ed2ea8743b6a9d0b700bc5abf756a49a62fdda5389e523e671ac4d507,mapped_to_register_contract,synthetic-contract-depth-page-text-v2,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-IMS-001-PRICING:p1,meridian-health,meridian-managed-services-depth-v1-20260907,DOC-MER-TECH-IMS-001-PRICING,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",1,"Synthetic demo evidence. Pricing schedule and invoice extract show a USD 990000 monthly committed base run fee for the trailing twelve months, invoice references by month, actual paid amounts, and variance against committed base. Actual spend trends upward from USD 1006000 to USD 1106000 without a matching application-scope increase.",c7dea3fa1620d6acdf29353a39b05e6b996c4c43e00b632f338b7710be33257f,mapped_to_register_contract,synthetic-contract-depth-page-text-v2,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-IMS-001-PRICING:p2,meridian-health,meridian-managed-services-depth-v1-20260907,DOC-MER-TECH-IMS-001-PRICING,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2,Synthetic demo evidence. Invoice reconciliation flags USD 666000 of annual variance to committed base across twelve invoices. The record does not call this realized savings; it requires vendor manager and finance review to separate valid approved change work from recoverable or avoidable run-rate leakage.,5002afbdc6108e495ec28c4ba817cbcf138d8ae1ef78af1c1678c3d45876736a,mapped_to_register_contract,synthetic-contract-depth-page-text-v2,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-IMS-001-SLA:p1,meridian-health,meridian-managed-services-depth-v1-20260907,DOC-MER-TECH-IMS-001-SLA,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",1,Synthetic demo evidence. SLA and ticket report covers twelve monthly periods for tickets resolved within SLA percentage with a committed threshold of 95 percent. Five months missed the threshold and each missed month calculates a USD 19800 service credit equal to 2 percent of the monthly base run fee.,7db9bcaa5a2b9399e38602eed32d69945001e8ad7add642ad14913075f81150f,mapped_to_register_contract,synthetic-contract-depth-page-text-v2,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-IMS-001-SLA:p2,meridian-health,meridian-managed-services-depth-v1-20260907,DOC-MER-TECH-IMS-001-SLA,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2,"Synthetic demo evidence. Ticket volumetrics reconcile to monthly SLA periods by P1, P2, P3, and P4 severity. Breach months show higher average resolution hours and larger month-end backlog, supporting the service-credit claim package without inferring supplier selection.",a28ca33b9339ca29fd53051be11ddfb5c86a35a69d5b6f156a486be74488f66d,mapped_to_register_contract,synthetic-contract-depth-page-text-v2,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-IMS-001-USAGE:p1,meridian-health,meridian-managed-services-depth-v1-20260907,DOC-MER-TECH-IMS-001-USAGE,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",1,"Synthetic demo evidence. Operational utilization and demand report shows steady ServiceNow queue volume, endpoint patch demand, identity-access queue work, infrastructure operations requests, and clinical integration incident routing. It supports scope normalization for a future New Event volumetrics workbook.",0e74acf8bbb566633f7f06961dc9247fa3f11d173934b55c034729f4d03e71d8,mapped_to_register_contract,synthetic-contract-depth-page-text-v2,synthetic_demo_only_not_client_truth
page:DOC-MER-TECH-IMS-001-USAGE:p2,meridian-health,meridian-managed-services-depth-v1-20260907,DOC-MER-TECH-IMS-001-USAGE,MER-TECH-IMS-001,VEN-KYNDRYL,"Kyndryl, Inc.",2,Synthetic demo evidence. The usage record is not a SaaS seat-utilization claim. It is a managed-services demand profile that explains why recurring change orders look like run work and what evidence a sourcing team would request before rebundling the next contract.,2a7d4babf46fb00106e7737a7ce719d96b01d4835ab23971c39831bedec9819b,mapped_to_register_contract,synthetic-contract-depth-page-text-v2,synthetic_demo_only_not_client_truth
