initiative_id,title,status,sponsor_role,business_function,committed_usd,projected_value_usd,posture,stage,linked_app_ids,kpi_id,notes
FCF-INIT-001,FedNow and RTP Modernization,active,SVP Payments Technology,FCF-BF-OPS,18600000,42000000,Restructure,Build,FCF-APP-FEDWIRE-ACH|FCF-APP-FEDNOW-RTP,FCF-KPI-005,"RESTRUCTURE: commercial-deposit value real; core API, sanction screening, 24x7 ops gates unresolved."
FCF-INIT-002,AML Case Triage Automation,active,Chief Risk Officer,FCF-BF-RISK,8900000,21000000,Restructure,Pilot,FCF-APP-NICE-ACTIMIZE|FCF-APP-DATABRICKS,FCF-KPI-002,RESTRUCTURE: case backlog value clear; SR 11-7 validation evidence incomplete. Cannot scale without MRM sign-off.
FCF-INIT-003,Core Banking Future Decision,active,CIO,FCF-BF-RETAIL,14000000,0,Hold,Scope,FCF-APP-FIS-HORIZON,,HOLD: CIO wants RFP now; Sentinel holds until OCC MRA remediation and data migration sequencing resolved.
FCF-INIT-004,Fraud Graph Analytics v2,active,Chief Risk Officer,FCF-BF-RISK,7300000,28600000,Continue,Scale,FCF-APP-DATABRICKS|FCF-APP-NICE-ACTIMIZE,FCF-KPI-001,CONTINUE: verified fraud-loss avoidance $28.6M; engaged sponsor; high spend is justified by evidence.
FCF-INIT-005,Digital Account Opening Recovery,active,Chief Digital Officer,FCF-BF-DIGITAL,4100000,18400000,Continue,Build,FCF-APP-ONLINE-ACCT-OPEN|FCF-APP-SALESFORCE-FSC,FCF-KPI-003,CONTINUE: abandonment rate 64% vs peer 42%; KYC and funding handoff improvements underway.
FCF-INIT-006,Commercial Credit Memo AI,active,SVP Commercial Bank CIO,FCF-BF-COMMBK,3400000,12200000,Continue,Pilot,FCF-APP-NCINO|FCF-APP-DATABRICKS,FCF-KPI-004,CONTINUE: 23-day cycle time gap vs 14-day target; MRM sign-off pending; pilot with 8 analysts proving value.
FCF-INIT-007,Branch Queue Vision AI,active,SVP Retail Bank Ops,FCF-BF-RETAIL,1900000,600000,Kill,Pilot,FCF-APP-MOBILE-BANKING,,KILL: low teller adoption; privacy review unresolved; no verified throughput value after 18 months.
FCF-INIT-008,Contact Center Sentiment AI v1,active,SVP Client Service,FCF-BF-OPS,2400000,800000,Kill,Run,,,KILL: canned sentiment scores created coaching risk; no call-time reduction verified.
FCF-INIT-009,Wealth Advisor Copilot Shadow,active,SVP Wealth Technology,FCF-BF-WEALTH,3100000,1700000,Kill,Pilot,FCF-APP-SALESFORCE-FSC,,KILL: unapproved client-note data path; FINRA supervision gaps unresolved.
FCF-INIT-010,M365 Copilot Controlled Rollout,active,CIO,FCF-BF-TECH,3800000,9200000,Continue,Scale,,FCF-KPI-006,"CONTINUE: 1,200 developer seats showing 28% code-completion time reduction; expanding to ops."
FCF-INIT-011,Mortgage Document Intelligence,active,SVP Consumer Lending CIO,FCF-BF-RETAIL,2800000,7400000,Continue,Pilot,,FCF-KPI-007,CONTINUE: document extraction reduces underwriting cycle 4 days; MRM validation in progress.
FCF-INIT-012,Model Risk Evidence Automation,active,Chief Model Risk Officer,FCF-BF-RISK,1600000,4100000,Continue,Build,FCF-APP-DATABRICKS|FCF-APP-SERVICENOW,,CONTINUE: 47 production models; automated evidence packaging reduces review from 18 to 6 days.
