tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,function_id,function_name,executive_owner,operating_model,primary_kpis,critical_processes
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-001,Operations Control Center / IROPS,v4_synthetic_pack,EVP Operations,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-001,Operations Control Center / IROPS,EVP Operations,"Disruption recovery, day-of-ops command, weather playbooks",Cycle time; unit cost; service quality,"Disruption recovery, day-of-ops command, weather playbooks"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-002,Flight Operations,v4_synthetic_pack,SVP Flight Operations,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-002,Flight Operations,SVP Flight Operations,"Pilots, dispatch, flight planning, flight following",Run cost; forecast accuracy; control defects,"Pilots, dispatch, flight planning, flight following"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-003,Crew Operations,v4_synthetic_pack,SVP Crew Resources,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-003,Crew Operations,SVP Crew Resources,"Crew planning, pairing, recovery, legality, hotel transport",Availability; delivery throughput; adoption,"Crew planning, pairing, recovery, legality, hotel transport"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-004,Airport Customer Service,v4_synthetic_pack,SVP Airport Operations,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-004,Airport Customer Service,SVP Airport Operations,"Stations, gates, baggage, ramp, deicing, turnarounds",Revenue lift; retention; margin,"Stations, gates, baggage, ramp, deicing, turnarounds"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-005,TechOps / MRO,v4_synthetic_pack,President TechOps,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-005,TechOps / MRO,President TechOps,"Line maintenance, heavy checks, engine MRO, parts supply chain",Issue aging; audit readiness; loss events,"Line maintenance, heavy checks, engine MRO, parts supply chain"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-006,Customer Experience,v4_synthetic_pack,Chief Customer Experience Officer,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-006,Customer Experience,Chief Customer Experience Officer,"Contact center, care, service recovery, premium experience",Cycle time; unit cost; service quality,"Contact center, care, service recovery, premium experience"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-007,Digital Commerce,v4_synthetic_pack,SVP Digital Products,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-007,Digital Commerce,SVP Digital Products,"Mobile, web, commerce, subscriptions, offer/order experiences",Run cost; forecast accuracy; control defects,"Mobile, web, commerce, subscriptions, offer/order experiences"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-008,Loyalty and Co-brand,v4_synthetic_pack,President Loyalty,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-008,Loyalty and Co-brand,President Loyalty,"Airline Demo Miles, co-brand economics, member engagement",Availability; delivery throughput; adoption,"Airline Demo Miles, co-brand economics, member engagement"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-009,Revenue Management,v4_synthetic_pack,EVP Commercial,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-009,Revenue Management,EVP Commercial,"Pricing, inventory, forecasting, ancillary optimization",Revenue lift; retention; margin,"Pricing, inventory, forecasting, ancillary optimization"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-010,Network Planning,v4_synthetic_pack,SVP Network,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-010,Network Planning,SVP Network,"Schedules, hubs, joint ventures, fleet assignment",Issue aging; audit readiness; loss events,"Schedules, hubs, joint ventures, fleet assignment"
