application_id,application_name,domain,primary_business_owner,technical_owner_team,platform_type,hosting_model,environment,criticality,annual_run_cost_usd,users_or_entities_supported,integration_count,data_classification,modernization_state,evidence_id,legacy_platform_category,legacy_vendor,source_file,source_row,value_source
APP-00001,Security-Custom-Suite-0001,Cloud,,Cloud,,Azure,,High,9600000,,111,internal,Unsupported,,Analytics,Custom,family-2-technology-estate/F05_applications-systems.csv,2,tenant_file
APP-00002,Disruption-Snowflake-Manager-0002,Data & Analytics,,Data & Analytics,,Mainframe,,Low,12300000,,210,internal,N-1,,SaaS,Snowflake,family-2-technology-estate/F05_applications-systems.csv,3,tenant_file
APP-00003,Digital-SITA-Platform-0003,ERP,,ERP,,Mainframe,,Critical,18010000,,148,pci_pii_confidential,N-1,,Data Platform,SITA,family-2-technology-estate/F05_applications-systems.csv,4,tenant_file
APP-00004,Crew-TCS-Hub-0004,EUC,,EUC,,AWS,,Medium,17520000,,173,internal,Roadmap Pending,,Analytics,TCS,family-2-technology-estate/F05_applications-systems.csv,5,tenant_file
APP-00005,Corporate-SITA-Service-0005,Mainframe,,Mainframe,,Data Center,,Medium,21300000,,0,internal,Unsupported,,Data Platform,SITA,family-2-technology-estate/F05_applications-systems.csv,6,tenant_file
APP-00006,Airworthiness-ServiceNow-Hub-0006,Mainframe,,Mainframe,,Data Center,,Low,9690000,,54,internal,Roadmap Pending,,Data Platform,ServiceNow,family-2-technology-estate/F05_applications-systems.csv,7,tenant_file
APP-00007,Corporate-Lufthansa Systems-Engine-0007,EUC,,EUC,,Data Center,,High,1760000,,4,internal,Latest,,Data Platform,Lufthansa Systems,family-2-technology-estate/F05_applications-systems.csv,8,tenant_file
APP-00008,Inventory-Sabre-Suite-0008,Data & Analytics,,Data & Analytics,,SaaS,,Low,4120000,,130,internal,EOL Approaching,,Data Platform,Sabre,family-2-technology-estate/F05_applications-systems.csv,9,tenant_file
APP-00009,Customer-ServiceNow-Suite-0009,Network,,Network,,Azure,,Low,15720000,,68,internal,EOL Approaching,,Data Platform,ServiceNow,family-2-technology-estate/F05_applications-systems.csv,10,tenant_file
APP-00010,Real-Oracle-Service-0010,Mainframe,,Mainframe,,Azure,,Low,3300000,,187,internal,Unsupported,,Analytics,Oracle,family-2-technology-estate/F05_applications-systems.csv,11,tenant_file
APP-00011,Digital-Hexaware-Service-0011,ERP,,ERP,,Mainframe,,Medium,1350000,,87,internal,Current,,SaaS,Hexaware,family-2-technology-estate/F05_applications-systems.csv,12,tenant_file
APP-00012,Treasury-AIMS-Service-0012,EUC,,EUC,,Data Center,,Medium,970000,,152,internal,Latest,,Microservice,AIMS,family-2-technology-estate/F05_applications-systems.csv,13,tenant_file
