tenant_key,program_name,business_sponsor,technology_owner,objective,scope,status,phase,target_outcomes,dependencies,risks,budget_usd,expected_value_usd,source_file,source_date,confidence,known_gaps,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,use_case,data_domain,systems,value_hypothesis,evidence_needed,legacy_row_flag,source_row_status,migration_action,initiative_status,funding_status,approved_funding_usd,requested_funding_usd,forecast_spend_usd,actual_spend_ytd_usd,planned_value_usd,target_value_usd,realized_value_usd,value_claim_status,executive_owner,finance_owner,tower_measurement_ready,program_code,initiative_id,linked_budget_record_ids,linked_sa02_records,ai_spend_flag,ai_spend_type,ai_spend_category,additive_status,duplicate_risk,caveat,linked_ai_spend_ids,ai_tagged_approved_funding_usd,risk_or_gap,affected_systems,metric_boundary,forbidden_claims,amount_basis,finance_attestation_status,tower_claim_allowed,evidence_type,evidence_location,evidence_owner
meridian-health,Unified clinical + claims lakehouse: EMR clinical,,,"Create a governed longitudinal patient/member view only after EMR, claims, pharmacy, identity, medallion, and governance evidence are certified; quantify value after baseline owners sign off.",,context_only,,,,,0,0,,,high,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,MER-V3-0001,MER-HS,Unified clinical + claims lakehouse: EMR clinical,Unified clinical + claims lakehouse: EMR clinical,09_programs_initiatives,MER-V3-EVID-0100,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Unified clinical + claims lakehouse,EMR clinical,Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS,"Create a governed longitudinal patient/member view only after EMR, claims, pharmacy, identity, medallion, and governance evidence are certified; quantify value after baseline owners sign off.",No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready,true,preserved_legacy_context,reclassified_not_deleted,context_only,not_approved,0,0,0,0,0,0,0,not_claimable,,,false,,,,,false,none,not_ai,excluded_from_program_funding,not_applicable,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,,,,,,,,,,,,
meridian-health,Unified clinical + claims lakehouse: claims,,,"Create a governed longitudinal patient/member view only after EMR, claims, pharmacy, identity, medallion, and governance evidence are certified; quantify value after baseline owners sign off.",,context_only,,,,,0,0,,,high,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,MER-V3-0002,MER-HS,Unified clinical + claims lakehouse: claims,Unified clinical + claims lakehouse: claims,09_programs_initiatives,MER-V3-EVID-0101,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Unified clinical + claims lakehouse,claims,Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS,"Create a governed longitudinal patient/member view only after EMR, claims, pharmacy, identity, medallion, and governance evidence are certified; quantify value after baseline owners sign off.",No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready,true,preserved_legacy_context,reclassified_not_deleted,context_only,not_approved,0,0,0,0,0,0,0,not_claimable,,,false,,,,,false,none,not_ai,excluded_from_program_funding,not_applicable,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,,,,,,,,,,,,
meridian-health,Unified clinical + claims lakehouse: pharmacy,,,"Create a governed longitudinal patient/member view only after EMR, claims, pharmacy, identity, medallion, and governance evidence are certified; quantify value after baseline owners sign off.",,context_only,,,,,0,0,,,high,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,MER-V3-0003,MER-HS,Unified clinical + claims lakehouse: pharmacy,Unified clinical + claims lakehouse: pharmacy,09_programs_initiatives,MER-V3-EVID-0102,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Unified clinical + claims lakehouse,pharmacy,Epic Clarity; Epic Caboodle; Claims administration platform; Pharmacy claims platform; Databricks on AWS,"Create a governed longitudinal patient/member view only after EMR, claims, pharmacy, identity, medallion, and governance evidence are certified; quantify value after baseline owners sign off.",No certified medallion architecture; No patient/member identity spine loaded; Claims and pharmacy harmonization not proven; AWS/Databricks foundation not ready,true,preserved_legacy_context,reclassified_not_deleted,context_only,not_approved,0,0,0,0,0,0,0,not_claimable,,,false,,,,,false,none,not_ai,excluded_from_program_funding,not_applicable,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,,,,,,,,,,,,
meridian-health,Governed data foundation for AI / LLM automation: prior authorization,,,"Enable prior-auth, coding, and UM automation only after governance, semantic ownership, lineage, and control evidence are in place; quantify after workflow baselines and audit requirements are captured.",,context_only,,,,,0,0,,,medium,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,MER-V3-0004,MER-HS,Governed data foundation for AI / LLM automation: prior authorization,Governed data foundation for AI / LLM automation: prior authorization,09_programs_initiatives,MER-V3-EVID-0103,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Governed data foundation for AI / LLM automation,prior authorization,Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS,"Enable prior-auth, coding, and UM automation only after governance, semantic ownership, lineage, and control evidence are in place; quantify after workflow baselines and audit requirements are captured.",No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded,true,preserved_legacy_context,reclassified_not_deleted,context_only,not_approved,0,0,0,0,0,0,0,not_claimable,,,false,,,,,false,none,not_ai,excluded_from_program_funding,not_applicable,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,,,,,,,,,,,,
meridian-health,Governed data foundation for AI / LLM automation: coding,,,"Enable prior-auth, coding, and UM automation only after governance, semantic ownership, lineage, and control evidence are in place; quantify after workflow baselines and audit requirements are captured.",,context_only,,,,,0,0,,,high,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,MER-V3-0005,MER-HS,Governed data foundation for AI / LLM automation: coding,Governed data foundation for AI / LLM automation: coding,09_programs_initiatives,MER-V3-EVID-0104,candidate,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Governed data foundation for AI / LLM automation,coding,Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS,"Enable prior-auth, coding, and UM automation only after governance, semantic ownership, lineage, and control evidence are in place; quantify after workflow baselines and audit requirements are captured.",No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded,true,preserved_legacy_context,reclassified_not_deleted,context_only,not_approved,0,0,0,0,0,0,0,not_claimable,,,false,,,,,false,none,not_ai,excluded_from_program_funding,not_applicable,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,,,,,,,,,,,,
meridian-health,Governed data foundation for AI / LLM automation: utilization management,,,"Enable prior-auth, coding, and UM automation only after governance, semantic ownership, lineage, and control evidence are in place; quantify after workflow baselines and audit requirements are captured.",,context_only,,,,,0,0,,,high,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,MER-V3-0006,MER-HS,Governed data foundation for AI / LLM automation: utilization management,Governed data foundation for AI / LLM automation: utilization management,09_programs_initiatives,MER-V3-EVID-0105,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Governed data foundation for AI / LLM automation,utilization management,Epic Clarity; SQL Server reporting marts; SAS analytics estate; Databricks on AWS,"Enable prior-auth, coding, and UM automation only after governance, semantic ownership, lineage, and control evidence are in place; quantify after workflow baselines and audit requirements are captured.",No formal data governance; No certified semantic layer; No AI audit trail evidence; Data quality rules not loaded,true,preserved_legacy_context,reclassified_not_deleted,context_only,not_approved,0,0,0,0,0,0,0,not_claimable,,,false,,,,,false,none,not_ai,excluded_from_program_funding,not_applicable,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,,,,,,,,,,,,
meridian-health,Call center optimization: transcripts,,,"Improve agent assist and next-best-action only after transcript, CRM, claims, intent, and QA-label evidence is governed; quantify after baseline AHT, containment, and first-call-resolution data are loaded.",,context_only,,,,,0,0,,,high,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,MER-V3-0007,MER-HS,Call center optimization: transcripts,Call center optimization: transcripts,09_programs_initiatives,MER-V3-EVID-0106,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Call center optimization,transcripts,Contact center transcript and telephony platform; CRM / member case management; Claims administration platform; Power BI reporting estate,"Improve agent assist and next-best-action only after transcript, CRM, claims, intent, and QA-label evidence is governed; quantify after baseline AHT, containment, and first-call-resolution data are loaded.",Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven,true,preserved_legacy_context,reclassified_not_deleted,context_only,not_approved,0,0,0,0,0,0,0,not_claimable,,,false,,,,,false,none,not_ai,excluded_from_program_funding,not_applicable,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,,,,,,,,,,,,
meridian-health,Call center optimization: CRM cases,,,"Improve agent assist and next-best-action only after transcript, CRM, claims, intent, and QA-label evidence is governed; quantify after baseline AHT, containment, and first-call-resolution data are loaded.",,context_only,,,,,0,0,,,medium,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,MER-V3-0008,MER-HS,Call center optimization: CRM cases,Call center optimization: CRM cases,09_programs_initiatives,MER-V3-EVID-0107,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Call center optimization,CRM cases,Contact center transcript and telephony platform; CRM / member case management; Claims administration platform; Power BI reporting estate,"Improve agent assist and next-best-action only after transcript, CRM, claims, intent, and QA-label evidence is governed; quantify after baseline AHT, containment, and first-call-resolution data are loaded.",Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven,true,preserved_legacy_context,reclassified_not_deleted,context_only,not_approved,0,0,0,0,0,0,0,not_claimable,,,false,,,,,false,none,not_ai,excluded_from_program_funding,not_applicable,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,,,,,,,,,,,,
meridian-health,Call center optimization: claims status,,,"Improve agent assist and next-best-action only after transcript, CRM, claims, intent, and QA-label evidence is governed; quantify after baseline AHT, containment, and first-call-resolution data are loaded.",,context_only,,,,,0,0,,,high,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,MER-V3-0009,MER-HS,Call center optimization: claims status,Call center optimization: claims status,09_programs_initiatives,MER-V3-EVID-0108,active,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Call center optimization,claims status,Contact center transcript and telephony platform; CRM / member case management; Claims administration platform; Power BI reporting estate,"Improve agent assist and next-best-action only after transcript, CRM, claims, intent, and QA-label evidence is governed; quantify after baseline AHT, containment, and first-call-resolution data are loaded.",Transcript governance not loaded; Real-time integration not proven; Intent taxonomy not certified; Member identity linkage not proven,true,preserved_legacy_context,reclassified_not_deleted,context_only,not_approved,0,0,0,0,0,0,0,not_claimable,,,false,,,,,false,none,not_ai,excluded_from_program_funding,not_applicable,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,,,,,,,,,,,,
meridian-health,Provider quality and performance: HEDIS,,,"Support provider performance management after HEDIS/STAR logic, attribution, contract linkage, and quality semantic models are certified; quantify after measure owner signoff.",,context_only,,,,,0,0,,,high,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,MER-V3-0010,MER-HS,Provider quality and performance: HEDIS,Provider quality and performance: HEDIS,09_programs_initiatives,MER-V3-EVID-0109,candidate,synthetic_v3_context_generation,user_provided_context_plus_synthetic_demo_structuring,synthetic_demo,synthetic_demo_phi_free_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Provider quality and performance,HEDIS,Epic Caboodle; Epic Clarity; Tableau reporting estate; Power BI reporting estate; Provider contract repository,"Support provider performance management after HEDIS/STAR logic, attribution, contract linkage, and quality semantic models are certified; quantify after measure owner signoff.",Measure logic fragmented across BI tools; Attribution ownership not proven; Provider contract linkage not certified; Near-real-time quality layer not proven,true,preserved_legacy_context,reclassified_not_deleted,context_only,not_approved,0,0,0,0,0,0,0,not_claimable,,,false,,,,,false,none,not_ai,excluded_from_program_funding,not_applicable,Preserved legacy program/use-case narrative. Not approved funding unless linked to budget rows.,,,,,,,,,,,,
