tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,vendor_id,vendor_name,contract_id,service,annual_cost_usd,renewal_date,owning_function,linked_systems,contract_risk,pricing_basis
apex-retail,Retail Demo,v6.0,vendor_contract,APX-VND-001,Salesforce,v4_synthetic_pack,COO,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,2,2026-06-18,2026-01-01,2026-07-15,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-VND-001,Salesforce,APX-VND-001,commerce,1200000,2026-07-15,COO,Store Systems and POS,high,commerce
apex-retail,Retail Demo,v6.0,vendor_contract,APX-VND-002,Oracle,v4_synthetic_pack,Chief Digital Officer,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,3,2026-06-18,2026-01-01,2026-08-15,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-VND-002,Oracle,APX-VND-002,erp,2040000,2026-08-15,Chief Digital Officer,Digital Commerce Engineering,low,erp
apex-retail,Retail Demo,v6.0,vendor_contract,APX-VND-003,Manhattan,v4_synthetic_pack,Chief Merchandising Officer,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,4,2026-06-18,2026-01-01,2026-09-15,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-VND-003,Manhattan,APX-VND-003,supply_chain,2880000,2026-09-15,Chief Merchandising Officer,Merchandising and Planning Systems,low,supply_chain
apex-retail,Retail Demo,v6.0,vendor_contract,APX-VND-004,IBM,v4_synthetic_pack,Chief Supply Chain Officer,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,5,2026-06-18,2026-01-01,2026-10-15,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-VND-004,IBM,APX-VND-004,data_ai,3720000,2026-10-15,Chief Supply Chain Officer,Supply Chain Platforms,medium,data_ai
apex-retail,Retail Demo,v6.0,vendor_contract,APX-VND-005,Toshiba,v4_synthetic_pack,Chief Marketing Officer,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,6,2026-06-18,2026-01-01,2026-11-15,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-VND-005,Toshiba,APX-VND-005,security,4560000,2026-11-15,Chief Marketing Officer,Customer Data and Loyalty Platforms,low,security
apex-retail,Retail Demo,v6.0,vendor_contract,APX-VND-006,Adobe,v4_synthetic_pack,CFO,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,7,2026-06-18,2026-01-01,2026-12-15,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-VND-006,Adobe,APX-VND-006,services,5400000,2026-12-15,CFO,ERP and Corporate Systems,high,services
apex-retail,Retail Demo,v6.0,vendor_contract,APX-VND-007,Blue Yonder,v4_synthetic_pack,Chief Risk Officer,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,8,2026-06-18,2026-01-01,2026-07-15,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-VND-007,Blue Yonder,APX-VND-007,commerce,6240000,2026-07-15,Chief Risk Officer,"Data, Analytics and AI",medium,commerce
apex-retail,Retail Demo,v6.0,vendor_contract,APX-VND-008,SAP,v4_synthetic_pack,CIO,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,9,2026-06-18,2026-01-01,2026-08-15,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-VND-008,SAP,APX-VND-008,erp,7080000,2026-08-15,CIO,Cloud Platform and SRE,low,erp
apex-retail,Retail Demo,v6.0,vendor_contract,APX-VND-009,Databricks,v4_synthetic_pack,CHRO,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,10,2026-06-18,2026-01-01,2026-09-15,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-VND-009,Databricks,APX-VND-009,supply_chain,7920000,2026-09-15,CHRO,Cybersecurity,low,supply_chain
apex-retail,Retail Demo,v6.0,vendor_contract,APX-VND-010,Snowflake,v4_synthetic_pack,Chief Procurement Officer,synthetic_demo,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,11,2026-06-18,2026-01-01,2026-10-15,static_snapshot,medium,synthetic_demo,confidential,Source|Tower|Intelligence,renewal|commercial_risk|vendor_dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-VND-010,Snowflake,APX-VND-010,data_ai,8760000,2026-10-15,Chief Procurement Officer,Service Management and End User Tech,medium,data_ai
