evidence_item_id,initiative_id,source_file,source_locator,source_timestamp,review_state,confidence
MER-AI-001-EV-1,MER-AI-001,source-docs/Databricks_AWS_clinical_claims_lakehouse_foundation_Evidence_SYNTHETIC.md,section 2.1,2026-06-01,review_required,0.63
MER-AI-002-EV-2,MER-AI-002,source-docs/Unified_semantic_layer_for_automation_ready_data_products_Evidence_SYNTHETIC.md,section 3.2,2026-06-02,approved,0.86
MER-AI-003-EV-3,MER-AI-003,source-docs/Prior_authorization_automation_evidence_cockpit_Evidence_SYNTHETIC.md,section 4.3,2026-06-03,approved,0.86
MER-AI-004-EV-4,MER-AI-004,source-docs/Call_center_agent_assist_and_next_best_action_Evidence_SYNTHETIC.md,section 5.4,2026-06-04,approved,0.86
MER-AI-005-EV-5,MER-AI-005,source-docs/HEDIS_STAR_provider_quality_performance_mart_Evidence_SYNTHETIC.md,section 6.1,2026-06-05,approved,0.86
MER-AI-006-EV-6,MER-AI-006,source-docs/Cost_of_care_and_margin_transparency_by_population_Evidence_SYNTHETIC.md,section 7.2,2026-06-06,review_required,0.63
MER-AI-007-EV-7,MER-AI-007,source-docs/Payment_integrity_leakage_reduction_analytics_Evidence_SYNTHETIC.md,section 8.3,2026-06-07,approved,0.86
MER-AI-008-EV-8,MER-AI-008,source-docs/Automated_close_and_management_reporting_pipelines_Evidence_SYNTHETIC.md,section 2.4,2026-06-08,approved,0.86
MER-AI-009-EV-9,MER-AI-009,source-docs/Ambient_documentation_scale_with_safety_review_Evidence_SYNTHETIC.md,section 3.1,2026-06-09,approved,0.86
MER-AI-010-EV-10,MER-AI-010,source-docs/Epic_to_lakehouse_FHIR_HL7_modernization_Evidence_SYNTHETIC.md,section 4.2,2026-06-10,approved,0.86
MER-AI-011-EV-11,MER-AI-011,source-docs/Provider_network_contract_analytics_Evidence_SYNTHETIC.md,section 5.3,2026-06-11,review_required,0.63
MER-AI-012-EV-12,MER-AI-012,source-docs/Responsible_AI_and_PHI_model_governance_operating_model_Evidence_SYNTHETIC.md,section 6.4,2026-06-12,approved,0.86
MER-AI-013-EV-13,MER-AI-013,source-docs/M365_Copilot_non_clinical_adoption_Evidence_SYNTHETIC.md,section 7.1,2026-06-13,approved,0.86
MER-AI-014-EV-14,MER-AI-014,source-docs/ServiceNow_Now_Assist_IT_operations_Evidence_SYNTHETIC.md,section 8.2,2026-06-14,approved,0.86
