initiative_id,name,status,closed_quarter,committed_usd,outcome_note
CLOSED-01,Phase 1 CDP Migration,succeeded,2025Q4,2200000,Closed with evidence captured
CLOSED-02,Workday HCM Phase 1,succeeded,2025Q4,4300000,Closed with evidence captured
CLOSED-03,DTC Checkout Modernization,succeeded,2025Q4,6800000,Closed with evidence captured
CLOSED-04,M365 Migration,succeeded,2025Q4,2400000,Closed with evidence captured
CLOSED-05,Okta Identity Phase 1,succeeded,2025Q4,1900000,Closed with evidence captured
CLOSED-06,Mainframe Reporting Refresh,killed,2026Q1,900000,Killed after sponsor change
CLOSED-07,BlueYonder Pricing Phase 1,restructured,2026Q1,2700000,Closed with evidence captured
CLOSED-08,Legacy POS Refresh attempt,killed,2026Q1,3100000,Killed; NCR partnership extended instead
CLOSED-09,ServiceNow CMDB Cleanup,succeeded,2026Q1,1200000,Closed with evidence captured
CLOSED-10,Legacy ESB TIBCO Sunset,succeeded,2026Q1,2100000,Closed with evidence captured
CLOSED-11,Recommendations ML v1,succeeded,2026Q1,2600000,Closed with evidence captured
CLOSED-12,DataDog Rollout,succeeded,2026Q1,1800000,Closed with evidence captured
