kpi_id,metric,category,current_value,unit,peer_median,target_value,direction,owner,source,confidence,decision_relevance
fc-kpi-001,Cost-to-income ratio,Operational efficiency,68,percent,58,55,lower-is-better,Michael Torres CFO,FFIEC Call Report 2025,high,Board target and capital allocation gate
fc-kpi-002,Revenue per employee,Operational efficiency,438000,USD,520000,520000,higher-is-better,Michael Torres CFO,FFIEC Call Report 2025,high,Measures excess operating cost from manual processes
fc-kpi-003,IT spend as percent of revenue,Technology investment,9.2,percent,10.8,12,higher-is-better,Patricia Huang CIO,Gartner Banking IT Spend 2025,medium,Shows underinvestment while carrying legacy cost
fc-kpi-004,Compliance cost as percent of IT budget,Regulatory efficiency,34,percent,22,22,lower-is-better,James Park CRO,Deloitte Banking Compliance Benchmarking 2025,medium,Supports AML and regulatory automation case
fc-kpi-005,Digital adoption rate,Digital banking,41,percent,67,60,higher-is-better,Sandra Liu CDO,Cornerstone Advisors Digital Banking Benchmarks 2025,high,Core digital transformation outcome
fc-kpi-006,Account opening abandonment rate,Digital banking,64,percent,38,35,lower-is-better,Sandra Liu CDO,Digital onboarding analytics,high,Primary digital onboarding outcome
fc-kpi-007,Mobile app rating iOS,Digital banking,2.8,stars,4.1,4.0,higher-is-better,Sandra Liu CDO,App Store analytics March 2026,medium,Public signal of digital product quality
fc-kpi-008,Mobile app rating Android,Digital banking,3.1,stars,4.2,4.0,higher-is-better,Sandra Liu CDO,Google Play analytics March 2026,medium,Public signal of digital product quality
fc-kpi-009,FedNow readiness,Payments modernization,0,live status,68,1,higher-is-better,Patricia Huang CIO,Peer bank FedNow adoption benchmark,high,Commercial deposit retention and OCC remediation
fc-kpi-010,Commercial deposits at attrition risk,Payments modernization,340000000,USD,0,0,lower-is-better,Kevin Walsh Head of Commercial Banking,Commercial banking attrition register,high,Value-at-risk for FedNow funding
fc-kpi-011,Annual fraud losses,Fraud risk,7000000,USD,3200000,4800000,lower-is-better,James Park CRO,Fraud loss benchmark 2025,high,Fraud AI value case
fc-kpi-012,Card fraud annualized losses,Fraud risk,2100000,USD,1200000,1200000,lower-is-better,James Park CRO,Fraud Detection Enhancement program baseline,high,Active program outcome
fc-kpi-013,AML false positive rate,BSA AML,94,percent,45,60,lower-is-better,James Park CRO,OCC MRA-2 findings,high,NICE Actimize upgrade gate
fc-kpi-014,AML automated disposition rate,BSA AML,34,percent,72,60,higher-is-better,James Park CRO,OCC MRA-2 findings,high,Manual review reduction and MRA closure
fc-kpi-015,SAR filings past deadline,BSA AML,8,percent,0,0,lower-is-better,James Park CRO,OCC MRA-2 findings,high,Regulatory remediation metric
fc-kpi-016,Cloud adoption rate,Technology platform,28,percent,62,50,higher-is-better,Patricia Huang CIO,Technology assessment 2026,medium,Data platform modernization signal
fc-kpi-017,Core banking platform age,Technology platform,22,years,14,14,lower-is-better,Patricia Huang CIO,Core banking assessment,high,Core/API modernization urgency
fc-kpi-018,SQL Server warehouse utilization,Data platform,84,percent,65,70,lower-is-better,Patricia Huang CIO,Data warehouse assessment,medium,Data platform reliability risk
fc-kpi-019,Salesforce relationship manager adoption,Vendor value,34,percent,80,80,higher-is-better,Michael Torres CFO,Vendor adoption review,high,Vendor optimization and spend waste
fc-kpi-020,Q2 uptime,SLA and vendor performance,99.4,percent,99.9,99.9,higher-is-better,Sandra Liu CDO,Q2 SLA history,medium,Digital banking renegotiation leverage
fc-kpi-021,Digital onboarding current abandonment,Active initiative,51,percent,38,35,lower-is-better,Sandra Liu CDO,Digital Onboarding Redesign March 2026,high,Shows active program improved but at risk
fc-kpi-022,Fraud detection enhancement current run-rate,Active initiative,1800000,USD annualized,1200000,1200000,lower-is-better,James Park CRO,Fraud Detection Enhancement Q1 2026,high,Shows fraud initiative is on track
fc-kpi-023,Projected annual savings from active initiatives,Portfolio value,8400000,USD,0,8400000,higher-is-better,Patricia Huang CIO,Outcomes portfolio summary,medium,Tower value tracking baseline
fc-kpi-024,Total investment in active initiatives,Portfolio value,6500000,USD,0,6500000,lower-is-better,Michael Torres CFO,Outcomes portfolio summary,medium,Tower ROI denominator
fc-kpi-025,AI opportunity annual value pipeline,AI portfolio,91000000,USD,0,91000000,higher-is-better,Patricia Huang CIO,First Capital AI roadmap,medium,AI portfolio sizing

