vendor,commercial_health,delivery_health,relationship_health,risk_note
Wipro,weak,weak,stable,Distributed legacy SAP Sterling WMS AMS and renegotiation leverage window
SAP,stable,stable,stable,ECC 6.0 extended maintenance support runway
AWS,stable,stable,stable,Primary commerce and service runtime
Workday,stable,stable,stable,HCM platform year 3 of 5
Salesforce,stable,stable,stable,Commerce Cloud and Data Cloud migration anchor
Kyndryl,watch,stable,stable,Mainframe and AS/400 AMS
TCS,stable,weak,stable,ERP Future Decision scoping SOW
NCR,weak,stable,stable,480-store POS estate
Accenture,stable,stable,stable,SFCC extension MSA
Adobe,stable,stable,stable,Marketing and content
o9 Solutions,watch,stable,weak,40% implementation weak vendor signal
ServiceNow,stable,stable,stable,CMDB trust maturity
Cisco,stable,weak,stable,Store network edge
Deloitte,stable,stable,stable,Multi-engagement consulting
IBM Sterling OMS,weak,stable,stable,Behind current release
Verizon,watch,stable,stable,480 store WAN and failover
Splunk,stable,stable,stable,Security log management
UKG,stable,stable,stable,Workforce scheduling
Manhattan,stable,weak,stable,Warehouse platform
ADP,stable,stable,stable,Payroll services
Equinix,watch,stable,stable,Primary DR colocation
SAP Ariba,weak,stable,stable,Procurement network
DataDog,stable,stable,stable,Observability expansion
Segment,stable,stable,stable,Sunsetting to Salesforce Data Cloud
Cornerstone,stable,weak,stable,Learning management
CrowdStrike,watch,stable,stable,Endpoint and MDR
Coupa,stable,stable,stable,Spend management
Punchh,stable,stable,weak,Failing loyalty platform
Looker,weak,stable,stable,Analytics consumption
Pythian,stable,stable,stable,Oracle DBA managed service
Algolia,watch,weak,stable,Product search
Fivetran,stable,stable,stable,Data integration
Vertex,stable,stable,stable,Tax engine
Commvault,stable,stable,stable,Backup and recovery
Mimecast,stable,stable,stable,Email security
dbt Cloud,weak,stable,stable,Analytics engineering
Avalara,stable,weak,stable,Sales tax compliance
Microsoft Premier,stable,stable,stable,Premier support
LaunchDarkly,stable,stable,stable,Feature management
Cursor,stable,stable,stable,50-seat pilot expansion pending
GitHub,watch,stable,stable,Developer platform and Copilot
Anthropic,stable,stable,stable,Enterprise GenAI seats
Okta,weak,weak,stable,Identity SSO
Blue Yonder,stable,stable,stable,Pricing optimization
Stibo,stable,stable,stable,Product information management
