tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,pipeline_id,pipeline_name,source_system,target_system,frequency,monthly_run_count,failure_rate_pct,vendor_responsibility,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-001,Legacy analytics feed 001,claims platform,SQL mart,daily,30,1.2,shared,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-002,Legacy analytics feed 002,membership,Tableau extract,daily,22,2.5,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-003,Legacy analytics feed 003,provider directory,Power BI dataset,weekly,8,3.1,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-004,Legacy analytics feed 004,EHR extract,SAS staging,monthly,1,0.4,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-005,Legacy analytics feed 005,finance GL,S3 landing,daily,30,4.6,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-006,Legacy analytics feed 006,pharmacy claims,Databricks bronze,daily,22,1.8,shared,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-007,Legacy analytics feed 007,claims platform,SQL mart,weekly,8,1.2,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-008,Legacy analytics feed 008,membership,Tableau extract,monthly,1,2.5,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-009,Legacy analytics feed 009,provider directory,Power BI dataset,daily,30,3.1,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-010,Legacy analytics feed 010,EHR extract,SAS staging,daily,22,0.4,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-011,Legacy analytics feed 011,finance GL,S3 landing,weekly,8,4.6,shared,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-012,Legacy analytics feed 012,pharmacy claims,Databricks bronze,monthly,1,1.8,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-013,Legacy analytics feed 013,claims platform,SQL mart,daily,30,1.2,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-014,Legacy analytics feed 014,membership,Tableau extract,daily,22,2.5,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-015,Legacy analytics feed 015,provider directory,Power BI dataset,weekly,8,3.1,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-016,Legacy analytics feed 016,EHR extract,SAS staging,monthly,1,0.4,shared,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-017,Legacy analytics feed 017,finance GL,S3 landing,daily,30,4.6,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-018,Legacy analytics feed 018,pharmacy claims,Databricks bronze,daily,22,1.8,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-019,Legacy analytics feed 019,claims platform,SQL mart,weekly,8,1.2,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-020,Legacy analytics feed 020,membership,Tableau extract,monthly,1,2.5,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-021,Legacy analytics feed 021,provider directory,Power BI dataset,daily,30,3.1,shared,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-022,Legacy analytics feed 022,EHR extract,SAS staging,daily,22,0.4,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-023,Legacy analytics feed 023,finance GL,S3 landing,weekly,8,4.6,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-024,Legacy analytics feed 024,pharmacy claims,Databricks bronze,monthly,1,1.8,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-025,Legacy analytics feed 025,claims platform,SQL mart,daily,30,1.2,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-026,Legacy analytics feed 026,membership,Tableau extract,daily,22,2.5,shared,meridian-laams-new-event-rich-v2-20260908
