cube_model,measure_or_dimension,sql_table,registered_in_consumption_registry,actual_row_count_2026_07_29,upstream_publication,upstream_baseline,source_evidence_status,cube_postgres_parity_result,status,note
EnterpriseKnowledge,evidence_coverage_pct,consumption.enterprise_brief_v1,yes,1,airline-demo-new-source-corpus-v1.0.0:enterprise:domain-publication-v1,airline-demo-new-source-corpus-v1.0.0:knowledge-baseline-v1,traceable_to_1_enterprise_identity_row,not_reported_in_4_passed_or_4_not_applicable_measures,cube_gap,Neither passed nor explicitly not_applicable per foundation-closure-authority-record cube_postgres_parity.passed_measures list -- status unaccounted for.
EnterpriseKnowledge,open_critical_gap_count,consumption.evidence_gap_v1,yes,0,airline-demo-new-source-corpus-v1.0.0:enterprise:domain-publication-v1,airline-demo-new-source-corpus-v1.0.0:knowledge-baseline-v1,"risk-register.csv 650 rows mapped to this object, 0 rows actually landed",passed (per closure record),projection_gap,"Parity 'passed' most likely means 0=0 between Cube and Postgres, not that real risk data reached the projection -- see SD-05. A verified-equal-to-a-broken-empty-state is not the same as a verified-correct metric."
ApplicationPortfolio,application_count,consumption.application_inventory_v1,yes,1405,airline-demo-new-source-corpus-v1.0.0:enterprise:domain-publication-v1,airline-demo-new-source-corpus-v1.0.0:knowledge-baseline-v1,"1495 source rows -> 1405 published, 6.0% attrition, plausible",passed (per closure record),semantically_matched,Strongest-corroborated application-family measure; row-count order of magnitude is plausible given review attrition.
ApplicationPortfolio,critical_application_count,consumption.application_inventory_v1,yes,1405,airline-demo-new-source-corpus-v1.0.0:enterprise:domain-publication-v1,airline-demo-new-source-corpus-v1.0.0:knowledge-baseline-v1,"depends on payload->>'criticality' field, not independently verified from source CSV sample",not_reported,lineage_gap,Could not confirm application-platform-inventory.csv even carries a criticality field in the sampled rows; unverified from repo alone.
ApplicationPortfolio,end_of_life_application_count,consumption.application_inventory_v1,yes,1405,airline-demo-new-source-corpus-v1.0.0:enterprise:domain-publication-v1,airline-demo-new-source-corpus-v1.0.0:knowledge-baseline-v1,depends on payload->>'lifecycle_state',not_reported,lineage_gap,Same caveat as above.
ApplicationPortfolio,unowned_application_count,consumption.application_inventory_v1,yes,1405,airline-demo-new-source-corpus-v1.0.0:enterprise:domain-publication-v1,airline-demo-new-source-corpus-v1.0.0:knowledge-baseline-v1,depends on payload->>'owner_ref' being empty,not_reported,lineage_gap,Same caveat as above.
TechnologyEstate,integration_count,consumption.relationship_edge_v1,yes (edge object registered; technology_estate_v1 sql_table itself is NOT registered),16605,airline-demo-new-source-corpus-v1.0.0:enterprise:domain-publication-v1,airline-demo-new-source-corpus-v1.0.0:knowledge-baseline-v1,"6200 integration-middleware-inventory.csv rows, no confirmed 1:1 mapping to relationship_type integrates_with/feeds/depends_on subset",not_reported,cube_gap,"Model's own sql_table (consumption.technology_estate_v1) is absent from CONSUMPTION_PROJECTION_REGISTRY.json's 14 declared objects even though it has 1405 published rows (matches application count exactly, suggesting technology_estate_v1 may just be a denormalized copy of application_inventory_v1, not a distinct infra/integration object) -- undocumented either way."
DataAnalyticsEstate,data_product_count,consumption.data_product_inventory_v1,NO -- not in registry's 14 objects,6580,airline-demo-new-source-corpus-v1.0.0:enterprise:domain-publication-v1,airline-demo-new-source-corpus-v1.0.0:knowledge-baseline-v1,"1250 source rows vs 6580 published, 5.26x, no documented transformation",not_reported,cube_gap,See SD-04. Undeclared table feeding a live Cube measure -- clearest contract-drift example found in this audit.
VendorContractPortfolio,vendor_count,consumption.vendor_contract_inventory_v1,yes,420,airline-demo-new-source-corpus-v1.0.0:enterprise:domain-publication-v1,airline-demo-new-source-corpus-v1.0.0:knowledge-baseline-v1,"420 vendor-register.csv rows = 420 published, exact match",passed (per closure record),semantically_matched,Best-corroborated vendor-family measure.
VendorContractPortfolio,active_contract_count,consumption.vendor_contract_inventory_v1,yes,420,airline-demo-new-source-corpus-v1.0.0:enterprise:domain-publication-v1,airline-demo-new-source-corpus-v1.0.0:knowledge-baseline-v1,"820 vendor-contract-register.csv rows vs 420 published table (== vendor count, not contract count)",not_reported,lineage_gap,"See SD-07. Grain mismatch risk: if the table is vendor-grain, this measure counting 'active contracts' against it is suspect."
