measure_id,measure_code,measure_name,domain,stars_relevant,cohort_applicability,source_reference,evidence_note
QM-0001,CBP,Controlling High Blood Pressure,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0002,HBD,Hemoglobin A1c Control for Patients With Diabetes,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0003,EED,Eye Exam for Patients With Diabetes,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0004,KED,Kidney Health Evaluation for Patients With Diabetes,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0005,COL-E,Colorectal Cancer Screening,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0006,BCS-E,Breast Cancer Screening,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0007,CCS-E,Cervical Cancer Screening,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0008,TRC,Transitions of Care,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0009,PCR,Plan All-Cause Readmissions,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0010,FUH,Follow-Up After Hospitalization for Mental Illness,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0011,FUM,Follow-Up After Emergency Department Visit for Mental Illness,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0012,FMC,Follow-Up After ED Visit for People With Multiple High-Risk Chronic Conditions,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0013,SNS-E,Social Need Screening and Intervention,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0014,AIS-E,Adult Immunization Status,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0015,TSC-E,Tobacco Use Screening and Cessation Intervention,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0016,PCE,Pharmacotherapy Management of COPD Exacerbation,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0017,OMW,Osteoporosis Management in Women Who Had a Fracture,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0018,SPC-E,Statin Therapy for Patients With Cardiovascular Disease,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0019,BPD-E,Blood Pressure Control for Patients With Diabetes,adult,yes,ma_seniors|medicare_snp|medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0020,MAD,Medication Adherence for Diabetes Medications,medicare,yes,ma_seniors|medicare_snp,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0021,MAH,Medication Adherence for Hypertension,medicare,yes,ma_seniors|medicare_snp,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0022,MAC,Medication Adherence for Cholesterol,medicare,yes,ma_seniors|medicare_snp,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0023,SUPD,Statin Use in Persons With Diabetes,medicare,yes,ma_seniors|medicare_snp,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0024,MRP,Medication Reconciliation Post-Discharge,medicare,yes,ma_seniors|medicare_snp,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0025,COB,Concurrent Use of Opioids and Benzodiazepines,medicare,yes,ma_seniors|medicare_snp,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0026,POLY-ACH,Use of Multiple Anticholinergic Medications in Older Adults,medicare,yes,ma_seniors|medicare_snp,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0027,OMH,Older Adult Health Outcomes Review,medicare,yes,ma_seniors|medicare_snp,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0028,CIS-E,Childhood Immunization Status,child,yes,pediatric_medicaid|pediatric_commercial,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0029,IMA-E,Immunizations for Adolescents,child,no,pediatric_medicaid|pediatric_commercial,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0030,W30,Well-Child Visits in the First 30 Months of Life,child,yes,pediatric_medicaid|pediatric_commercial,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0031,WCV,Child and Adolescent Well-Care Visits,child,no,pediatric_medicaid|pediatric_commercial,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0032,LSC-E,Lead Screening in Children,child,yes,pediatric_medicaid|pediatric_commercial,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0033,ADD-E,Follow-Up Care for Children Prescribed ADHD Medication,child,no,pediatric_medicaid|pediatric_commercial,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0034,CHL,Chlamydia Screening in Women,child,yes,pediatric_medicaid|pediatric_commercial,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0035,AAB,Avoidance of Antibiotic Treatment for Acute Bronchitis,child,no,pediatric_medicaid|pediatric_commercial,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0036,PPC,Prenatal and Postpartum Care,women,yes,medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0037,FUA,Follow-Up After Emergency Department Visit for Substance Use,women,no,medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0038,AMM,Antidepressant Medication Management,women,yes,medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
QM-0039,GSD,Glycemic Status Assessment for Patients With Diabetes,women,no,medicaid_adult|commercial_adult,NCQA HEDIS technical resources and CMS Star Ratings measure categories,synthetic measure catalog; aggregate only
