tenant_key,edge_key,from_node_key,to_node_key,relationship_type,evidence_id,confidence,active_candidate_status,graph_boundary
skyharbor-air,SHA-EDGE-00001,SHA-NODE-00001,SHA-NODE-00038,depends_on,SHA-EVID-00001,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00002,SHA-NODE-00002,SHA-NODE-00039,feeds,SHA-EVID-00002,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00003,SHA-NODE-00003,SHA-NODE-00040,owned_by,SHA-EVID-00003,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00004,SHA-NODE-00004,SHA-NODE-00041,funded_by,SHA-EVID-00004,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00005,SHA-NODE-00005,SHA-NODE-00042,blocked_by,SHA-EVID-00005,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00006,SHA-NODE-00006,SHA-NODE-00043,governed_by,SHA-EVID-00006,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00007,SHA-NODE-00007,SHA-NODE-00044,supports,SHA-EVID-00007,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00008,SHA-NODE-00008,SHA-NODE-00045,depends_on,SHA-EVID-00008,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00009,SHA-NODE-00009,SHA-NODE-00046,feeds,SHA-EVID-00009,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00010,SHA-NODE-00010,SHA-NODE-00047,owned_by,SHA-EVID-00010,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00011,SHA-NODE-00011,SHA-NODE-00048,funded_by,SHA-EVID-00011,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00012,SHA-NODE-00012,SHA-NODE-00049,blocked_by,SHA-EVID-00012,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00013,SHA-NODE-00013,SHA-NODE-00050,governed_by,SHA-EVID-00013,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00014,SHA-NODE-00014,SHA-NODE-00051,supports,SHA-EVID-00014,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00015,SHA-NODE-00015,SHA-NODE-00052,depends_on,SHA-EVID-00015,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00016,SHA-NODE-00016,SHA-NODE-00053,feeds,SHA-EVID-00016,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00017,SHA-NODE-00017,SHA-NODE-00054,owned_by,SHA-EVID-00017,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00018,SHA-NODE-00018,SHA-NODE-00055,funded_by,SHA-EVID-00018,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00019,SHA-NODE-00019,SHA-NODE-00056,blocked_by,SHA-EVID-00019,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00020,SHA-NODE-00020,SHA-NODE-00057,governed_by,SHA-EVID-00020,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00021,SHA-NODE-00021,SHA-NODE-00058,supports,SHA-EVID-00021,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00022,SHA-NODE-00022,SHA-NODE-00059,depends_on,SHA-EVID-00022,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00023,SHA-NODE-00023,SHA-NODE-00060,feeds,SHA-EVID-00023,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00024,SHA-NODE-00024,SHA-NODE-00061,owned_by,SHA-EVID-00024,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00025,SHA-NODE-00025,SHA-NODE-00062,funded_by,SHA-EVID-00601,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00026,SHA-NODE-00026,SHA-NODE-00063,blocked_by,SHA-EVID-00602,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00027,SHA-NODE-00027,SHA-NODE-00064,governed_by,SHA-EVID-00603,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00028,SHA-NODE-00028,SHA-NODE-00065,supports,SHA-EVID-00604,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00029,SHA-NODE-00029,SHA-NODE-00066,depends_on,SHA-EVID-00605,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00030,SHA-NODE-00030,SHA-NODE-00067,feeds,SHA-EVID-00606,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00031,SHA-NODE-00031,SHA-NODE-00068,owned_by,SHA-EVID-00607,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00032,SHA-NODE-00032,SHA-NODE-00069,funded_by,SHA-EVID-00608,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00033,SHA-NODE-00033,SHA-NODE-00070,blocked_by,SHA-EVID-00609,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00034,SHA-NODE-00034,SHA-NODE-00071,governed_by,SHA-EVID-00610,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00035,SHA-NODE-00035,SHA-NODE-00072,supports,SHA-EVID-00611,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00036,SHA-NODE-00036,SHA-NODE-00073,depends_on,SHA-EVID-00612,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00037,SHA-NODE-00037,SHA-NODE-00074,feeds,SHA-EVID-00613,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00038,SHA-NODE-00038,SHA-NODE-00075,owned_by,SHA-EVID-00614,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00039,SHA-NODE-00039,SHA-NODE-00076,funded_by,SHA-EVID-00615,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00040,SHA-NODE-00040,SHA-NODE-00077,blocked_by,SHA-EVID-00616,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00041,SHA-NODE-00041,SHA-NODE-00078,governed_by,SHA-EVID-00617,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00042,SHA-NODE-00042,SHA-NODE-00079,supports,SHA-EVID-00618,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00043,SHA-NODE-00043,SHA-NODE-00080,depends_on,SHA-EVID-00619,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00044,SHA-NODE-00044,SHA-NODE-00081,feeds,SHA-EVID-00620,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00045,SHA-NODE-00045,SHA-NODE-00082,owned_by,SHA-EVID-00621,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00046,SHA-NODE-00046,SHA-NODE-00083,funded_by,SHA-EVID-00622,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00047,SHA-NODE-00047,SHA-NODE-00084,blocked_by,SHA-EVID-00623,medium,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00048,SHA-NODE-00048,SHA-NODE-00085,governed_by,SHA-EVID-00624,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
skyharbor-air,SHA-EDGE-00049,SHA-NODE-00049,SHA-NODE-00086,supports,SHA-EVID-00625,high,candidate,"Graph explains dependency context only and does not calculate spend, savings, ROI, or realized value."
