problem_id,opened_at,closed_at,ci_id,business_service,priority,root_cause_category,known_error,status,owner,linked_incident_count,workaround_available,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
PRB0001800,2026-01-01,,CI-APP-SAP-S4,Finance and Procurement,P1,Capacity management,true,Open,Supply Chain Technology,3,false,ServiceNow,PRB1800,Problem Management,2026-05-01,0.82,true,
PRB0001801,2026-02-02,2026-04-02,CI-SVC-ECOMMERCE,Digital Commerce,P3,Configuration drift,false,Resolved,Contact Center Technology,4,true,ServiceNow,PRB1801,Problem Management,2026-05-01,0.82,true,
PRB0001802,2026-03-03,2026-04-03,CI-APP-BLUEYONDER,Demand Forecasting,P3,Vendor defect,true,Resolved,IT Sourcing,5,true,ServiceNow,PRB1802,Problem Management,2026-05-01,0.82,true,
PRB0001803,2026-01-04,2026-04-04,CI-PLAT-DATABRICKS,Advanced Analytics,P3,Monitoring gap,false,Known Error,Store Technology,6,true,ServiceNow,PRB1803,Problem Management,2026-05-01,0.82,true,
PRB0001804,2026-02-05,2026-04-05,CI-CLOUD-AWS-PROD,Cloud Hosting,P2,Ownership gap,true,Resolved,Merchandising Analytics,7,false,ServiceNow,PRB1804,Problem Management,2026-05-01,0.82,true,
PRB0001805,2026-03-06,,CI-APP-ADOBE-COMMERCE,Digital Experience,P3,Capacity management,false,Open,Cybersecurity Governance,8,true,ServiceNow,PRB1805,Problem Management,2026-05-01,0.82,true,
PRB0001806,2026-01-07,2026-04-07,CI-DATA-003,Loyalty Offer Decisioning,P3,Configuration drift,true,Known Error,Cloud Platform Services,9,true,ServiceNow,PRB1806,Problem Management,2026-05-01,0.82,true,
PRB0001807,2026-02-08,2026-04-08,CI-DATA-006,Retail Media Campaign Ops,P3,Vendor defect,false,Resolved,Finance Technology,10,true,ServiceNow,PRB1807,Problem Management,2026-05-01,0.82,true,
PRB0001808,2026-03-09,2026-04-09,CI-DATA-009,Vendor Scorecarding,P2,Monitoring gap,true,Resolved,Supply Chain Technology,11,false,ServiceNow,PRB1808,Problem Management,2026-05-01,0.82,true,
PRB0001809,2026-01-10,2026-04-10,CI-DATA-012,Fraud Detection,P3,Ownership gap,false,Known Error,Contact Center Technology,12,true,ServiceNow,PRB1809,Problem Management,2026-05-01,0.82,true,
PRB0001810,2026-02-11,,CI-DATA-015,Private Label Quality,P3,Capacity management,true,Open,IT Sourcing,13,true,ServiceNow,PRB1810,Problem Management,2026-05-01,0.82,true,
PRB0001811,2026-03-12,2026-04-12,CI-DATA-018,Promotion Pricing Engine,P1,Configuration drift,false,Resolved,Store Technology,14,true,ServiceNow,PRB1811,Problem Management,2026-05-01,0.82,true,
PRB0001812,2026-01-13,2026-04-13,CI-DATA-021,Marketplace Seller Hub,P2,Vendor defect,true,Known Error,Merchandising Analytics,15,false,ServiceNow,PRB1812,Problem Management,2026-05-01,0.82,true,
PRB0001813,2026-02-14,2026-04-14,CI-DATA-024,Category P&L Analytics,P3,Monitoring gap,false,Resolved,Cybersecurity Governance,16,true,ServiceNow,PRB1813,Problem Management,2026-05-01,0.82,true,
PRB0001814,2026-03-15,2026-04-15,CI-DATA-027,Last Mile Delivery,P3,Ownership gap,true,Resolved,Commerce Platform Engineering,3,true,ServiceNow,PRB1814,Problem Management,2026-05-01,0.82,true,
PRB0001815,2026-01-16,,CI-DATA-030,Associate Productivity,P3,Capacity management,false,Open,Customer Data Platform Office,4,true,ServiceNow,PRB1815,Problem Management,2026-05-01,0.82,true,
PRB0001816,2026-02-17,2026-04-17,CI-DATA-033,Store Inventory Visibility,P2,Configuration drift,true,Resolved,Cloud Platform Services,5,false,ServiceNow,PRB1816,Problem Management,2026-05-01,0.82,true,
PRB0001817,2026-03-18,2026-04-18,CI-DATA-036,Returns Optimization,P3,Vendor defect,false,Resolved,Finance Technology,6,true,ServiceNow,PRB1817,Problem Management,2026-05-01,0.82,true,
PRB0001818,2026-01-19,2026-04-19,CI-DATA-039,Store Labor Scheduling,P3,Monitoring gap,true,Known Error,Supply Chain Technology,7,true,ServiceNow,PRB1818,Problem Management,2026-05-01,0.82,true,
PRB0001819,2026-02-20,2026-04-20,CI-DATA-042,Assortment Planning,P3,Ownership gap,false,Resolved,Contact Center Technology,8,true,ServiceNow,PRB1819,Problem Management,2026-05-01,0.82,true,
PRB0001820,2026-03-21,,CI-DATA-045,Customer Identity Resolution,P2,Capacity management,true,Open,IT Sourcing,9,false,ServiceNow,PRB1820,Problem Management,2026-05-01,0.82,true,
PRB0001821,2026-01-22,2026-04-02,CI-DATA-048,Demand Signal Repository,P3,Configuration drift,false,Known Error,Store Technology,10,true,ServiceNow,PRB1821,Problem Management,2026-05-01,0.82,true,
PRB0001822,2026-02-23,2026-04-03,CI-DATA-051,Loyalty Offer Decisioning,P1,Vendor defect,true,Resolved,Merchandising Analytics,11,true,ServiceNow,PRB1822,Problem Management,2026-05-01,0.82,true,
PRB0001823,2026-03-24,2026-04-04,CI-DATA-054,Retail Media Campaign Ops,P3,Monitoring gap,false,Resolved,Cybersecurity Governance,12,true,ServiceNow,PRB1823,Problem Management,2026-05-01,0.82,true,
PRB0001824,2026-01-25,2026-04-05,CI-DATA-057,Vendor Scorecarding,P2,Ownership gap,true,Known Error,Commerce Platform Engineering,13,false,ServiceNow,PRB1824,Problem Management,2026-05-01,0.82,true,
PRB0001825,2026-02-01,,CI-DATA-060,Fraud Detection,P3,Capacity management,false,Open,Customer Data Platform Office,14,true,ServiceNow,PRB1825,Problem Management,2026-05-01,0.82,true,
PRB0001826,2026-03-02,2026-04-07,CI-DATA-063,Private Label Quality,P3,Configuration drift,true,Resolved,Cloud Platform Services,15,true,ServiceNow,PRB1826,Problem Management,2026-05-01,0.82,true,
PRB0001827,2026-01-03,2026-04-08,CI-DATA-066,Promotion Pricing Engine,P3,Vendor defect,false,Known Error,Finance Technology,16,true,ServiceNow,PRB1827,Problem Management,2026-05-01,0.82,true,
PRB0001828,2026-02-04,2026-04-09,CI-APP-NCR-POS,Store Checkout,P2,Monitoring gap,true,Resolved,Merchandising Analytics,3,false,ServiceNow,PRB1828,Problem Management,2026-05-01,0.82,true,
PRB0001829,2026-03-05,2026-04-10,CI-SVC-CONTACT-CENTER,Customer Experience,P3,Ownership gap,false,Resolved,Cybersecurity Governance,4,true,ServiceNow,PRB1829,Problem Management,2026-05-01,0.82,true,
PRB0001830,2026-01-06,,CI-WH-SNOWFLAKE,Enterprise Retail Analytics,P3,Capacity management,true,Open,Commerce Platform Engineering,5,true,ServiceNow,PRB1830,Problem Management,2026-05-01,0.82,true,
PRB0001831,2026-02-07,2026-04-12,CI-SEC-OKTA,Identity and Access,P3,Configuration drift,false,Resolved,Customer Data Platform Office,6,true,ServiceNow,PRB1831,Problem Management,2026-05-01,0.82,true,
PRB0001832,2026-03-08,2026-04-13,CI-APP-WORKDAY-HCM,Workforce Management,P2,Vendor defect,true,Resolved,Cloud Platform Services,7,false,ServiceNow,PRB1832,Problem Management,2026-05-01,0.82,true,
PRB0001833,2026-01-09,2026-04-14,CI-SVC-002,Promotion Pricing Engine,P1,Monitoring gap,false,Known Error,Contact Center Technology,8,true,ServiceNow,PRB1833,Problem Management,2026-05-01,0.82,true,
PRB0001834,2026-02-10,2026-04-15,CI-SVC-005,Marketplace Seller Hub,P3,Ownership gap,true,Resolved,IT Sourcing,9,true,ServiceNow,PRB1834,Problem Management,2026-05-01,0.82,true,
