tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,month,period_start,period_end,committed_base_amount_usd,invoice_amount_usd,paid_amount_usd,actual_spend_usd,variance_to_committed_usd,currency,invoice_ref,source_file_id
meridian-health,meridian-managed-services-depth-v1-20260907,monthly_spend:MER-TECH-IMS-001:2026-07,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-07,2026-07-01,2026-07-31,990000,1006000,1006000,1006000,16000,USD,INV-MER-TECH-IMS-001-202607,DOC-MER-TECH-IMS-001-PRICING
meridian-health,meridian-managed-services-depth-v1-20260907,monthly_spend:MER-TECH-IMS-001:2026-08,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-08,2026-08-01,2026-08-31,990000,1012000,1012000,1012000,22000,USD,INV-MER-TECH-IMS-001-202608,DOC-MER-TECH-IMS-001-PRICING
meridian-health,meridian-managed-services-depth-v1-20260907,monthly_spend:MER-TECH-IMS-001:2026-09,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-09,2026-09-01,2026-09-30,990000,1018000,1018000,1018000,28000,USD,INV-MER-TECH-IMS-001-202609,DOC-MER-TECH-IMS-001-PRICING
meridian-health,meridian-managed-services-depth-v1-20260907,monthly_spend:MER-TECH-IMS-001:2026-10,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-10,2026-10-01,2026-10-31,990000,1025000,1025000,1025000,35000,USD,INV-MER-TECH-IMS-001-202610,DOC-MER-TECH-IMS-001-PRICING
meridian-health,meridian-managed-services-depth-v1-20260907,monthly_spend:MER-TECH-IMS-001:2026-11,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-11,2026-11-01,2026-11-30,990000,1031000,1031000,1031000,41000,USD,INV-MER-TECH-IMS-001-202611,DOC-MER-TECH-IMS-001-PRICING
meridian-health,meridian-managed-services-depth-v1-20260907,monthly_spend:MER-TECH-IMS-001:2026-12,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2026-12,2026-12-01,2026-12-31,990000,1038000,1038000,1038000,48000,USD,INV-MER-TECH-IMS-001-202612,DOC-MER-TECH-IMS-001-PRICING
meridian-health,meridian-managed-services-depth-v1-20260907,monthly_spend:MER-TECH-IMS-001:2027-01,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-01,2027-01-01,2027-01-31,990000,1044000,1044000,1044000,54000,USD,INV-MER-TECH-IMS-001-202701,DOC-MER-TECH-IMS-001-PRICING
meridian-health,meridian-managed-services-depth-v1-20260907,monthly_spend:MER-TECH-IMS-001:2027-02,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-02,2027-02-01,2027-02-28,990000,1051000,1051000,1051000,61000,USD,INV-MER-TECH-IMS-001-202702,DOC-MER-TECH-IMS-001-PRICING
meridian-health,meridian-managed-services-depth-v1-20260907,monthly_spend:MER-TECH-IMS-001:2027-03,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-03,2027-03-01,2027-03-31,990000,1058000,1058000,1058000,68000,USD,INV-MER-TECH-IMS-001-202703,DOC-MER-TECH-IMS-001-PRICING
meridian-health,meridian-managed-services-depth-v1-20260907,monthly_spend:MER-TECH-IMS-001:2027-04,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-04,2027-04-01,2027-04-30,990000,1065000,1065000,1065000,75000,USD,INV-MER-TECH-IMS-001-202704,DOC-MER-TECH-IMS-001-PRICING
meridian-health,meridian-managed-services-depth-v1-20260907,monthly_spend:MER-TECH-IMS-001:2027-05,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-05,2027-05-01,2027-05-31,990000,1092000,1092000,1092000,102000,USD,INV-MER-TECH-IMS-001-202705,DOC-MER-TECH-IMS-001-PRICING
meridian-health,meridian-managed-services-depth-v1-20260907,monthly_spend:MER-TECH-IMS-001:2027-06,MER-TECH-IMS-001,VEN-HCLTECH,HCLTech Healthcare Services,2027-06,2027-06-01,2027-06-30,990000,1106000,1106000,1106000,116000,USD,INV-MER-TECH-IMS-001-202706,DOC-MER-TECH-IMS-001-PRICING
