app_id,name,description,stack_era,primary_language,primary_framework,vintage_year,hosting,hosting_detail,lifecycle,criticality_tier,time_classification,workload_type,owning_team_id,in_house_fte,contractor_fte,si_fte,ams_vendor,ams_annual_usd,license_annual_usd,infra_annual_usd,changes_per_year,deploys_per_week,lead_time_hours,mttr_hours,change_failure_rate_pct,regulatory_scope,channels,ai_fit_score,modernization_init_id,depends_on_count,consumed_by_count,notes
APX-INV-MAINFRAME,Master Inventory Mainframe,Authoritative inventory of record across 480 stores and 4 DCs; nightly position calc + real-time deltas via legacy bridge to modern services,mainframe,COBOL,CICS/DB2,1987,mainframe,Primary z/OS site + DR (Equinix),mature_with_debt,1,migrate,oltp+batch,TEAM-MAINFRAME-LEGACY,4,0,6,Kyndryl,4200000,0,1800000,8,0.15,672,14,22,sox,store|dtc|wholesale|marketplaces,25,INIT-MAINFRAME-MOD-ASSESS,2,12,Sunset decision overdue 18mo; AI comprehension wedge candidate (P-IT-04); coupled to SAP ERP Future Decision sequencing.
APX-GL-MAINFRAME,General Ledger Mainframe,Core financial GL on COBOL/IMS; SOX-bounded; freeze window during year-end close,mainframe,COBOL,IMS,1991,mainframe,Primary z/OS site + DR,change_freeze,1,tolerate,batch+oltp,TEAM-MAINFRAME-LEGACY,2,0,4,Kyndryl,2800000,0,1200000,2,0.04,1080,8,18,sox,wholesale|store|dtc,10,INIT-SAP-ERP-FUTURE,1,8,SOX-bounded freeze until SAP ERP Future Decision concludes; cannot touch until S/4 or alternative is selected.
APX-AS400-MERCH,Legacy Merchandising AS/400,Vendor item master + assortment + base-price authority; predates SAP/Sterling and still source-of-truth for 14% of SKUs,as400,RPG IV,Native AS/400,1996,on_prem_dist,Single AS/400 cluster + cold standby,sunset_planned,2,eliminate,oltp+batch,TEAM-MAINFRAME-LEGACY,1,2,4,Kyndryl,1600000,480000,620000,3,0.06,768,12,24,,store|dtc|wholesale,15,INIT-AS400-SUNSET,1,4,KILL CANDIDATE. $890K committed with zero progress 18mo. Modernization plan stalled at design phase. 4 downstream consumers block sunset (Sterling OMS / Commerce Cloud / Pricing Svc / Databricks).
APX-AS400-VENDOR-COMPL,AS/400 Vendor Compliance,Vendor compliance + ASN validation + import customs tagging; depends on AS400-MERCH for vendor master,as400,RPG IV,Native AS/400,1998,on_prem_dist,Shared AS/400 cluster,mature_with_debt,3,migrate,batch,TEAM-MAINFRAME-LEGACY,0.5,1,2,Kyndryl,920000,240000,380000,4,0.08,480,10,21,customs,wholesale|marketplaces,18,INIT-AS400-SUNSET,1,3,Chained legacy. Depends-on APX-AS400-MERCH for vendor master; sunset only possible after parent migrates.
APX-SAP-ECC,SAP ECC 6.0 Core ERP,Core ERP platform; ~8400 ABAP customizations accumulated since 2010; Extended Maintenance through 2030,sap_ecc,ABAP,SAP NetWeaver,2010,on_prem_dist,Private cloud (Equinix colo) + DR,mature_with_debt,1,migrate,oltp+batch,TEAM-SAP-CORE,18,8,12,Wipro,12000000,22000000,4600000,47,0.9,504,8,18,sox|ccpa,store|dtc|wholesale|marketplaces,30,INIT-SAP-ERP-FUTURE,4,14,CONTESTED. SAP ECC 6.0 14yrs old. Migration decision in scoping ($14M TCS). Sentinel: HOLD (Oracle DB migration must precede). CIO sponsor: push to RFP now.
APX-SAP-FI,SAP FI Financials Module,SOX-bounded financial accounting module; AP/AR/Treasury sub-ledgers; tight integration with GL Mainframe via batch,sap_ecc,ABAP,SAP NetWeaver,2010,on_prem_dist,Shared SAP ECC stack,mature,1,migrate,oltp+batch,TEAM-SAP-FINANCE,6,2,4,Wipro,3200000,0,0,18,0.34,360,10,16,sox,store|dtc|wholesale,28,INIT-SAP-ERP-FUTURE,3,7,SOX-critical. AMS exit requires 6mo audit lead. Heavy custom for revenue recognition (12% of total ECC customization count).
APX-SAP-MM,SAP MM Materials Management,Procurement/purchasing/inventory mgmt module; integrates with Sterling OMS and Manhattan WMS,sap_ecc,ABAP,SAP NetWeaver,2010,on_prem_dist,Shared SAP ECC stack,mature,2,migrate,oltp,TEAM-SAP-CORE,4,2,3,Wipro,2400000,0,0,22,0.42,288,8,14,sox,store|dtc|wholesale,32,INIT-SAP-ERP-FUTURE,4,9,Couples to AS-400 vendor compliance via direct DB link (legacy integration pattern; brittle).
APX-SAP-SD,SAP SD Sales & Distribution,Order management module overlap with Sterling OMS; some customers route via SAP others via Sterling,sap_ecc,ABAP,SAP NetWeaver,2010,on_prem_dist,Shared SAP ECC stack,mature,1,migrate,oltp,TEAM-SAP-CORE,3,1,2,Wipro,1800000,0,0,12,0.23,408,9,15,sox|pci,store|dtc|wholesale|marketplaces,30,INIT-SAP-ERP-FUTURE,3,8,PCI scope: handles customer payment posting. Overlap with Sterling OMS is technical-debt source.
APX-SAP-CUSTOM-PROMO,SAP Custom Promotion Engine,Heavy ABAP custom built 2014-2018 to handle complex multi-channel promotions; ~12% of total ECC customization volume lives here,sap_ecc,ABAP,SAP NetWeaver,2014,on_prem_dist,Shared SAP ECC stack,mature_with_debt,1,migrate,batch+oltp,TEAM-SAP-CORE,5,3,4,Wipro,1900000,0,0,28,0.54,336,12,22,,store|dtc|wholesale,22,INIT-SAP-ERP-FUTURE,3,6,Single largest barrier to clean S/4 migration. Drives 60% of SAP-Custom rework estimate in TCS scoping.
APX-STERLING-OMS,IBM Sterling OMS + Extensions,Order orchestration platform with significant Java extensions for retail-specific workflows; behind current Sterling release,legacy_java,Java 1.8,Spring 3.x + Sterling SDK,2014,on_prem_dist,Private cloud VMware,mature_with_debt,1,migrate,oltp+orchestration,TEAM-ORDER-LEGACY,8,4,10,Wipro,3800000,2800000,1100000,84,1.6,216,6,14,pci,store|dtc|marketplaces,38,INIT-ORDER-MOD,5,11,Modernization-in-progress to APX-ORDER-ORCH; strangler pattern; 40% of orders now routed to modern.
