adapter_id,source_feed,source_owner,emits_canonical_type,canonical_target_file,input_rows,lineage_policy,status
skyharbor_adapter_ap_invoice_lines,ap_invoice_lines.csv,finance_ops_ap,InvoiceLine,canonical_invoice_lines.csv,96,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_approval_decisions,approval_decisions.csv,source_workflow,ApprovalDecision,canonical_approval_decisions.csv,12,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_calculation_inputs,calculation_inputs.csv,source_optimizer,CalculationInput,canonical_calculation_inputs.csv,64,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_calculation_outputs,calculation_outputs.csv,source_optimizer,CalculationOutput,canonical_calculation_outputs.csv,24,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_case_lifecycle_events,case_lifecycle_events.csv,source_workflow,CaseLifecycleEvent,canonical_case_lifecycle_events.csv,48,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_cloud_billing_export,cloud_billing_export.csv,finops,CloudBillingLine,canonical_cloud_billing_lines.csv,72,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_commercial_learning_patterns,commercial_learning_patterns.csv,procurement_excellence,CommercialLearningPattern,canonical_commercial_learning_patterns.csv,16,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_contract_document_inventory,contract_document_inventory.csv,legal_ops,ContractDocument,canonical_documents.csv,30,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_contract_evidence_applicability,contract_evidence_applicability.csv,source_governance,EvidenceApplicability,canonical_evidence_applicability.csv,46,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_contract_pricing_schedule,contract_pricing_schedule.csv,procurement_ops,PricingLine,canonical_pricing_lines.csv,16,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_contract_register,contract_register.csv,procurement_ops,Contract,canonical_contracts.csv,2,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_document_clause_extractions,document_clause_extractions.csv,legal_ops,DocumentClause,canonical_clauses.csv,120,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_evidence_entity_links,evidence_entity_links.csv,data_steward,EvidenceLink,canonical_evidence_links.csv,27,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_fact_assertions,fact_assertions.csv,data_steward,FactAssertion,canonical_fact_assertions.csv,20,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_fact_conflicts,fact_conflicts.csv,data_steward,FactConflict,canonical_fact_conflicts.csv,7,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_finance_realization_period,finance_realization_period.csv,fpna,FinanceRealizationPeriod,canonical_finance_periods.csv,8,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_new_event_controls_from_lessons,new_event_controls_from_lessons.csv,procurement_excellence,NewEventControl,canonical_new_event_controls.csv,16,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_optimization_opportunities,optimization_opportunities.csv,source_optimizer,Opportunity,canonical_opportunities.csv,8,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_po_line_extract,po_line_extract.csv,procurement_ops,PurchaseOrderLine,canonical_purchase_order_lines.csv,16,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_renewal_negotiation_history,renewal_negotiation_history.csv,strategic_sourcing,RenewalNegotiationEvent,canonical_renewal_negotiations.csv,32,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_reviewer_decisions,reviewer_decisions.csv,source_reviewer,ReviewerDecision,canonical_reviewer_decisions.csv,23,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_sla_event_extract,sla_event_extract.csv,service_management,SlaEvent,canonical_sla_events.csv,72,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_supplier_master,supplier_master.csv,vendor_management,VendorSupplier,canonical_vendors_suppliers.csv,6,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_usage_entitlement_detail,usage_entitlement_detail.csv,platform_admin,UsageEntitlement,canonical_usage_entitlements.csv,288,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
skyharbor_adapter_vms_work_order_rate_card,vms_work_order_rate_card.csv,vms_owner,VmsRateCardLine,canonical_vms_rate_card_lines.csv,48,preserve_source_file_source_row_source_system_source_record_id,offline_adapter_projection_complete
