tenant_key,line_id,initiative_id,vendor_or_tool,spend_category,budget_fy26_usd,actual_ytd_usd,contract_value_usd,renewal_date,unit_economic_note,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
apex-retail,APX-INIT-001-2,APX-INIT-001,Microsoft,not_applicable,3000000,1200000,9000000,2026-08-20,identity and item-location data quality,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,2,tenant_file,
apex-retail,APX-INIT-002-3,APX-INIT-002,Databricks,not_applicable,3760000,1620000,11400000,2026-09-20,forecast explainability by category,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,3,tenant_file,
apex-retail,APX-INIT-003-4,APX-INIT-003,Salesforce,not_applicable,4520000,2040000,13800000,2026-10-20,labor-rule integration and manager adoption,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,4,tenant_file,
apex-retail,APX-INIT-004-5,APX-INIT-004,Adobe,not_applicable,5280000,2460000,16200000,2026-11-20,camera/POS evidence linkage,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,5,tenant_file,
apex-retail,APX-INIT-005-6,APX-INIT-005,ServiceNow,not_applicable,6040000,2880000,18600000,2026-12-20,consent and customer identity gaps,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,6,tenant_file,
apex-retail,APX-INIT-006-7,APX-INIT-006,AWS,not_applicable,6800000,3300000,21000000,2026-08-20,incrementality proof missing,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,7,tenant_file,
apex-retail,APX-INIT-007-8,APX-INIT-007,Oracle,not_applicable,7560000,3720000,23400000,2026-09-20,store inventory accuracy,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,8,tenant_file,
apex-retail,APX-INIT-008-9,APX-INIT-008,Microsoft,not_applicable,8320000,4140000,25800000,2026-10-20,fairness and customer friction review,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,9,tenant_file,
apex-retail,APX-INIT-009-10,APX-INIT-009,Databricks,not_applicable,9080000,4560000,28200000,2026-11-20,vendor funding lineage,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,10,tenant_file,
apex-retail,APX-INIT-010-11,APX-INIT-010,Salesforce,not_applicable,9840000,4980000,30600000,2026-12-20,knowledge base quality,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,11,tenant_file,
apex-retail,APX-INIT-011-12,APX-INIT-011,Adobe,not_applicable,10600000,5400000,33000000,2026-08-20,planner workflow fit,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,12,tenant_file,
apex-retail,APX-INIT-012-13,APX-INIT-012,ServiceNow,not_applicable,11360000,5820000,35400000,2026-09-20,mobile device and policy readiness,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,13,tenant_file,
apex-retail,APX-INIT-013-14,APX-INIT-013,AWS,not_applicable,12120000,6240000,37800000,2026-10-20,carrier API latency,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,14,tenant_file,
apex-retail,APX-INIT-014-15,APX-INIT-014,Oracle,not_applicable,12880000,6660000,40200000,2026-11-20,measurement by product team incomplete,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,15,tenant_file,
