tenant_key,entity_id,entity_name,entity_short_name,entity_scope,parent_entity_id,parent_entity_name,evidence_id,source_artifact_uri,source_artifact_label,evidence_purpose,validation_status,sensitivity,owner,freshness,data_provider_name,data_provider_role,source_artifact_type,source_artifact_name,capture_method,extraction_method,generated_by,validated_by,source_validation_status,source_as_of_date,known_gaps
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,Lakeshore,holdco,,,EVID-HOLDCO-001-enterprise-profile,synthetic://lakeshore-industries/lakeshore/enterprise-profile.xlsx,Lakeshore enterprise profile,profile and financial baseline,synthetic_demo,confidential,Corporate CIO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,Lakeshore,holdco,,,EVID-HOLDCO-002-application-inventory,synthetic://lakeshore-industries/lakeshore/application-inventory.xlsx,Lakeshore application inventory,"systems, owners, costs, criticality",synthetic_demo,confidential,Corporate CIO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,Lakeshore,holdco,,,EVID-HOLDCO-003-org-and-persona-roster,synthetic://lakeshore-industries/lakeshore/org-and-persona-roster.xlsx,Lakeshore org and persona roster,"roles, decision rights, personas",synthetic_demo,confidential,Corporate CIO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,Lakeshore,holdco,,,EVID-HOLDCO-004-vendor-and-contract-extr,synthetic://lakeshore-industries/lakeshore/vendor-and-contract-extract.xlsx,Lakeshore vendor and contract extract,"vendor cost, renewal, risk",synthetic_demo,confidential,Corporate CIO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,Lakeshore,holdco,,,EVID-HOLDCO-005-process-and-kpi-pack,synthetic://lakeshore-industries/lakeshore/process-and-kpi-pack.xlsx,Lakeshore process and KPI pack,"functions, process baselines, metrics",synthetic_demo,confidential,Corporate CIO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
lakeshore-industries,LSH-HOLDCO,Lakeshore Holdings,Lakeshore,holdco,,,EVID-HOLDCO-006-data-product-catalog,synthetic://lakeshore-industries/lakeshore/data-product-catalog.xlsx,Lakeshore data product catalog,"data owners, quality, lineage, AI readiness",synthetic_demo,confidential,Corporate CIO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,EVID-OPCO-NLS-001-enterprise-profile,synthetic://lakeshore-industries/northline/enterprise-profile.xlsx,Northline enterprise profile,profile and financial baseline,synthetic_demo,confidential,Northline CIO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,EVID-OPCO-NLS-002-application-inventory,synthetic://lakeshore-industries/northline/application-inventory.xlsx,Northline application inventory,"systems, owners, costs, criticality",synthetic_demo,confidential,Northline CIO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,EVID-OPCO-NLS-003-org-and-persona-roster,synthetic://lakeshore-industries/northline/org-and-persona-roster.xlsx,Northline org and persona roster,"roles, decision rights, personas",synthetic_demo,confidential,Northline CIO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,EVID-OPCO-NLS-004-vendor-and-contract-extr,synthetic://lakeshore-industries/northline/vendor-and-contract-extract.xlsx,Northline vendor and contract extract,"vendor cost, renewal, risk",synthetic_demo,confidential,Northline CIO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,EVID-OPCO-NLS-005-process-and-kpi-pack,synthetic://lakeshore-industries/northline/process-and-kpi-pack.xlsx,Northline process and KPI pack,"functions, process baselines, metrics",synthetic_demo,confidential,Northline CIO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
lakeshore-industries,LSH-OPCO-NLS,Northline Supply Chain,Northline,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,EVID-OPCO-NLS-006-data-product-catalog,synthetic://lakeshore-industries/northline/data-product-catalog.xlsx,Northline data product catalog,"data owners, quality, lineage, AI readiness",synthetic_demo,confidential,Northline CIO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,EVID-OPCO-BMS-001-enterprise-profile,synthetic://lakeshore-industries/brightmark/enterprise-profile.xlsx,Brightmark enterprise profile,profile and financial baseline,synthetic_demo,confidential,Brightmark CTO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,EVID-OPCO-BMS-002-application-inventory,synthetic://lakeshore-industries/brightmark/application-inventory.xlsx,Brightmark application inventory,"systems, owners, costs, criticality",synthetic_demo,confidential,Brightmark CTO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,EVID-OPCO-BMS-003-org-and-persona-roster,synthetic://lakeshore-industries/brightmark/org-and-persona-roster.xlsx,Brightmark org and persona roster,"roles, decision rights, personas",synthetic_demo,confidential,Brightmark CTO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,EVID-OPCO-BMS-004-vendor-and-contract-extr,synthetic://lakeshore-industries/brightmark/vendor-and-contract-extract.xlsx,Brightmark vendor and contract extract,"vendor cost, renewal, risk",synthetic_demo,confidential,Brightmark CTO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,EVID-OPCO-BMS-005-process-and-kpi-pack,synthetic://lakeshore-industries/brightmark/process-and-kpi-pack.xlsx,Brightmark process and KPI pack,"functions, process baselines, metrics",synthetic_demo,confidential,Brightmark CTO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
lakeshore-industries,LSH-OPCO-BMS,Brightmark Marketing Services,Brightmark,portfolio_company,LSH-HOLDCO,Lakeshore Holdings,EVID-OPCO-BMS-006-data-product-catalog,synthetic://lakeshore-industries/brightmark/data-product-catalog.xlsx,Brightmark data product catalog,"data owners, quality, lineage, AI readiness",synthetic_demo,confidential,Brightmark CTO,current_static_snapshot,AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,codex_lakeshore_pilot_contract_fix,AbarVa QA,pilot_reconciled_pending_client_confirmation,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use. Entity scope reconciled to 1 holdco, shared services, 4 approved opcos, and an allocation bucket."
