team_id,measured_at,deploy_freq_per_week,lead_time_hours,mttr_hours,change_failure_rate_pct,reliability_pct
TEAM-FCF-CORE,2026-01-01,3,30,7,7,98.1
TEAM-FCF-CORE,2026-01-08,4,39,12,10,98.2
TEAM-FCF-CORE,2026-01-15,5,48,17,13,98.3
TEAM-FCF-CORE,2026-01-22,6,57,22,16,98.4
TEAM-FCF-CORE,2026-02-01,7,66,5,19,98.5
TEAM-FCF-CORE,2026-02-08,8,75,10,4,98.6
TEAM-FCF-PAYMENTS,2026-01-01,7,34,7,7,98.1
TEAM-FCF-PAYMENTS,2026-01-08,8,43,12,10,98.2
TEAM-FCF-PAYMENTS,2026-01-15,9,52,17,13,98.3
TEAM-FCF-PAYMENTS,2026-01-22,10,61,22,16,98.4
TEAM-FCF-PAYMENTS,2026-02-01,11,70,5,19,98.5
TEAM-FCF-PAYMENTS,2026-02-08,12,79,10,4,98.6
TEAM-FCF-DIGITAL,2026-01-01,6,33,7,7,98.1
TEAM-FCF-DIGITAL,2026-01-08,7,42,12,10,98.2
TEAM-FCF-DIGITAL,2026-01-15,8,51,17,13,98.3
TEAM-FCF-DIGITAL,2026-01-22,9,60,22,16,98.4
TEAM-FCF-DIGITAL,2026-02-01,10,69,5,19,98.5
TEAM-FCF-DIGITAL,2026-02-08,11,78,10,4,98.6
TEAM-FCF-COMMLEND,2026-01-01,7,34,7,7,98.1
TEAM-FCF-COMMLEND,2026-01-08,8,43,12,10,98.2
TEAM-FCF-COMMLEND,2026-01-15,9,52,17,13,98.3
TEAM-FCF-COMMLEND,2026-01-22,10,61,22,16,98.4
TEAM-FCF-COMMLEND,2026-02-01,11,70,5,19,98.5
TEAM-FCF-COMMLEND,2026-02-08,12,79,10,4,98.6
TEAM-FCF-WEALTH,2026-01-01,5,32,7,7,98.1
TEAM-FCF-WEALTH,2026-01-08,6,41,12,10,98.2
TEAM-FCF-WEALTH,2026-01-15,7,50,17,13,98.3
TEAM-FCF-WEALTH,2026-01-22,8,59,22,16,98.4
TEAM-FCF-WEALTH,2026-02-01,9,68,5,19,98.5
TEAM-FCF-WEALTH,2026-02-08,10,77,10,4,98.6
TEAM-FCF-RISK,2026-01-01,3,30,7,7,98.1
TEAM-FCF-RISK,2026-01-08,4,39,12,10,98.2
TEAM-FCF-RISK,2026-01-15,5,48,17,13,98.3
TEAM-FCF-RISK,2026-01-22,6,57,22,16,98.4
TEAM-FCF-RISK,2026-02-01,7,66,5,19,98.5
TEAM-FCF-RISK,2026-02-08,8,75,10,4,98.6
TEAM-FCF-DATA,2026-01-01,3,30,7,7,98.1
TEAM-FCF-DATA,2026-01-08,4,39,12,10,98.2
TEAM-FCF-DATA,2026-01-15,5,48,17,13,98.3
TEAM-FCF-DATA,2026-01-22,6,57,22,16,98.4
TEAM-FCF-DATA,2026-02-01,7,66,5,19,98.5
TEAM-FCF-DATA,2026-02-08,8,75,10,4,98.6
TEAM-FCF-CLOUD,2026-01-01,4,31,7,7,98.1
TEAM-FCF-CLOUD,2026-01-08,5,40,12,10,98.2
TEAM-FCF-CLOUD,2026-01-15,6,49,17,13,98.3
TEAM-FCF-CLOUD,2026-01-22,7,58,22,16,98.4
TEAM-FCF-CLOUD,2026-02-01,8,67,5,19,98.5
TEAM-FCF-CLOUD,2026-02-08,9,76,10,4,98.6
TEAM-FCF-CYBER,2026-01-01,4,31,7,7,98.1
TEAM-FCF-CYBER,2026-01-08,5,40,12,10,98.2
TEAM-FCF-CYBER,2026-01-15,6,49,17,13,98.3
TEAM-FCF-CYBER,2026-01-22,7,58,22,16,98.4
TEAM-FCF-CYBER,2026-02-01,8,67,5,19,98.5
TEAM-FCF-CYBER,2026-02-08,9,76,10,4,98.6
TEAM-FCF-ERP,2026-01-01,2,29,7,7,98.1
TEAM-FCF-ERP,2026-01-08,3,38,12,10,98.2
TEAM-FCF-ERP,2026-01-15,4,47,17,13,98.3
TEAM-FCF-ERP,2026-01-22,5,56,22,16,98.4
TEAM-FCF-ERP,2026-02-01,6,65,5,19,98.5
TEAM-FCF-ERP,2026-02-08,7,74,10,4,98.6
TEAM-FCF-BRANCH,2026-01-01,5,32,7,7,98.1
TEAM-FCF-BRANCH,2026-01-08,6,41,12,10,98.2
TEAM-FCF-BRANCH,2026-01-15,7,50,17,13,98.3
TEAM-FCF-BRANCH,2026-01-22,8,59,22,16,98.4
TEAM-FCF-BRANCH,2026-02-01,9,68,5,19,98.5
TEAM-FCF-BRANCH,2026-02-08,10,77,10,4,98.6
TEAM-FCF-CONTACT,2026-01-01,6,33,7,7,98.1
TEAM-FCF-CONTACT,2026-01-08,7,42,12,10,98.2
TEAM-FCF-CONTACT,2026-01-15,8,51,17,13,98.3
TEAM-FCF-CONTACT,2026-01-22,9,60,22,16,98.4
TEAM-FCF-CONTACT,2026-02-01,10,69,5,19,98.5
TEAM-FCF-CONTACT,2026-02-08,11,78,10,4,98.6
TEAM-FCF-MRM,2026-01-01,2,29,7,7,98.1
TEAM-FCF-MRM,2026-01-08,3,38,12,10,98.2
TEAM-FCF-MRM,2026-01-15,4,47,17,13,98.3
TEAM-FCF-MRM,2026-01-22,5,56,22,16,98.4
TEAM-FCF-MRM,2026-02-01,6,65,5,19,98.5
TEAM-FCF-MRM,2026-02-08,7,74,10,4,98.6
TEAM-FCF-OPS,2026-01-01,2,29,7,7,98.1
TEAM-FCF-OPS,2026-01-08,3,38,12,10,98.2
TEAM-FCF-OPS,2026-01-15,4,47,17,13,98.3
TEAM-FCF-OPS,2026-01-22,5,56,22,16,98.4
TEAM-FCF-OPS,2026-02-01,6,65,5,19,98.5
TEAM-FCF-OPS,2026-02-08,7,74,10,4,98.6
TEAM-FCF-OPENBANK,2026-01-01,7,34,7,7,98.1
TEAM-FCF-OPENBANK,2026-01-08,8,43,12,10,98.2
TEAM-FCF-OPENBANK,2026-01-15,9,52,17,13,98.3
TEAM-FCF-OPENBANK,2026-01-22,10,61,22,16,98.4
TEAM-FCF-OPENBANK,2026-02-01,11,70,5,19,98.5
TEAM-FCF-OPENBANK,2026-02-08,12,79,10,4,98.6
TEAM-FCF-TREASURY,2026-01-01,7,34,7,7,98.1
TEAM-FCF-TREASURY,2026-01-08,8,43,12,10,98.2
TEAM-FCF-TREASURY,2026-01-15,9,52,17,13,98.3
TEAM-FCF-TREASURY,2026-01-22,10,61,22,16,98.4
TEAM-FCF-TREASURY,2026-02-01,11,70,5,19,98.5
TEAM-FCF-TREASURY,2026-02-08,12,79,10,4,98.6
TEAM-FCF-MORTGAGE,2026-01-01,7,34,7,7,98.1
TEAM-FCF-MORTGAGE,2026-01-08,8,43,12,10,98.2
TEAM-FCF-MORTGAGE,2026-01-15,9,52,17,13,98.3
TEAM-FCF-MORTGAGE,2026-01-22,10,61,22,16,98.4
