tenant_key,source_file,source_row,source_record_id,source_label,view,amount_type,basis,period,amount_usd,is_rollup_of,component_of,formula,formula_version,value_source,reconciles_to_view,reconciles_to_record_id,reconciliation_envelope_usd,notes
apex-retail,derived/tower_financial_amounts_fy2025_trend.csv,2,APX-INIT-001-FY2025-d330e86833,Retail lakehouse and customer inventory graph FY2025 trend baseline,value,none,baseline,fy25,39900000,,,synthetic_backcast_from_fy26:APX-INIT-001:2; multiplier=0.42,tower_synthetic_fy2025_trend_v1,synthetic,value,APX-INIT-001,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
apex-retail,derived/tower_financial_amounts_fy2025_trend.csv,3,APX-INIT-001-FY2025-baeeddc580,Retail lakehouse and customer inventory graph FY2025 trend baseline,value,none,baseline,fy25,5040000,,,synthetic_backcast_from_fy26:APX-INIT-001:2; multiplier=0.42,tower_synthetic_fy2025_trend_v1,synthetic,value,APX-INIT-001,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
apex-retail,derived/tower_financial_amounts_fy2025_trend.csv,4,APX-INIT-002-FY2025-609290177d,AI demand forecasting and replenishment FY2025 trend baseline,value,none,baseline,fy25,30240000,,,synthetic_backcast_from_fy26:APX-INIT-002:3; multiplier=0.42,tower_synthetic_fy2025_trend_v1,synthetic,value,APX-INIT-002,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
apex-retail,derived/tower_financial_amounts_fy2025_trend.csv,5,APX-INIT-002-FY2025-521f82d857,AI demand forecasting and replenishment FY2025 trend baseline,value,none,baseline,fy25,8820000,,,synthetic_backcast_from_fy26:APX-INIT-002:3; multiplier=0.42,tower_synthetic_fy2025_trend_v1,synthetic,value,APX-INIT-002,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
apex-retail,derived/tower_financial_amounts_fy2025_trend.csv,6,APX-INIT-003-FY2025-713b59f066,Store labor scheduling optimization FY2025 trend baseline,value,none,baseline,fy25,21420000,,,synthetic_backcast_from_fy26:APX-INIT-003:4; multiplier=0.42,tower_synthetic_fy2025_trend_v1,synthetic,value,APX-INIT-003,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
apex-retail,derived/tower_financial_amounts_fy2025_trend.csv,7,APX-INIT-003-FY2025-1fb91681be,Store labor scheduling optimization FY2025 trend baseline,value,none,baseline,fy25,3780000,,,synthetic_backcast_from_fy26:APX-INIT-003:4; multiplier=0.42,tower_synthetic_fy2025_trend_v1,synthetic,value,APX-INIT-003,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
apex-retail,derived/tower_financial_amounts_fy2025_trend.csv,8,APX-INIT-004-FY2025-fcb1d30046,Shrink anomaly detection FY2025 trend baseline,value,none,baseline,fy25,28560000,,,synthetic_backcast_from_fy26:APX-INIT-004:5; multiplier=0.42,tower_synthetic_fy2025_trend_v1,synthetic,value,APX-INIT-004,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
apex-retail,derived/tower_financial_amounts_fy2025_trend.csv,9,APX-INIT-004-FY2025-46bc84db46,Shrink anomaly detection FY2025 trend baseline,value,none,baseline,fy25,2856000,,,synthetic_backcast_from_fy26:APX-INIT-004:5; multiplier=0.42,tower_synthetic_fy2025_trend_v1,synthetic,value,APX-INIT-004,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
apex-retail,derived/tower_financial_amounts_fy2025_trend.csv,10,APX-INIT-005-FY2025-b4c24038ed,Search and personalization AI FY2025 trend baseline,value,none,baseline,fy25,35280000,,,synthetic_backcast_from_fy26:APX-INIT-005:6; multiplier=0.42,tower_synthetic_fy2025_trend_v1,synthetic,value,APX-INIT-005,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
apex-retail,derived/tower_financial_amounts_fy2025_trend.csv,11,APX-INIT-005-FY2025-cb6f267a5c,Search and personalization AI FY2025 trend baseline,value,none,baseline,fy25,17640000,,,synthetic_backcast_from_fy26:APX-INIT-005:6; multiplier=0.42,tower_synthetic_fy2025_trend_v1,synthetic,value,APX-INIT-005,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
apex-retail,derived/tower_financial_amounts_fy2025_trend.csv,12,APX-INIT-006-FY2025-c5b7a3e5ce,Retail media measurement clean room FY2025 trend baseline,value,none,baseline,fy25,15960000,,,synthetic_backcast_from_fy26:APX-INIT-006:7; multiplier=0.42,tower_synthetic_fy2025_trend_v1,synthetic,value,APX-INIT-006,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
apex-retail,derived/tower_financial_amounts_fy2025_trend.csv,13,APX-INIT-006-FY2025-d36da1c525,Retail media measurement clean room FY2025 trend baseline,value,none,baseline,fy25,1680000,,,synthetic_backcast_from_fy26:APX-INIT-006:7; multiplier=0.42,tower_synthetic_fy2025_trend_v1,synthetic,value,APX-INIT-006,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
apex-retail,derived/tower_financial_amounts_fy2025_trend.csv,14,APX-INIT-007-FY2025-36d0be51f4,BOPIS exception prediction FY2025 trend baseline,value,none,baseline,fy25,14280000,,,synthetic_backcast_from_fy26:APX-INIT-007:8; multiplier=0.42,tower_synthetic_fy2025_trend_v1,synthetic,value,APX-INIT-007,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
apex-retail,derived/tower_financial_amounts_fy2025_trend.csv,15,APX-INIT-007-FY2025-825ff1e097,BOPIS exception prediction FY2025 trend baseline,value,none,baseline,fy25,3108000,,,synthetic_backcast_from_fy26:APX-INIT-007:8; multiplier=0.42,tower_synthetic_fy2025_trend_v1,synthetic,value,APX-INIT-007,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
apex-retail,derived/tower_financial_amounts_fy2025_trend.csv,16,APX-INIT-008-FY2025-d94f4ba8bb,Returns fraud triage FY2025 trend baseline,value,none,baseline,fy25,10920000,,,synthetic_backcast_from_fy26:APX-INIT-008:9; multiplier=0.42,tower_synthetic_fy2025_trend_v1,synthetic,value,APX-INIT-008,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
apex-retail,derived/tower_financial_amounts_fy2025_trend.csv,17,APX-INIT-008-FY2025-0ccc0e5425,Returns fraud triage FY2025 trend baseline,value,none,baseline,fy25,1344000,,,synthetic_backcast_from_fy26:APX-INIT-008:9; multiplier=0.42,tower_synthetic_fy2025_trend_v1,synthetic,value,APX-INIT-008,,Synthetic FY2025 trend baseline for demo trend views. Not client-attested; replace with client actuals when provided.
