canonical_id,canonical_type,tenant_key,contract_id,fact_type,fact_field,fact_value_text,fact_value_numeric,evidence_entity_link_id,review_state
FACT-MER-CTR-RCM-001-1,fact,meridian-health,MER-CTR-RCM-001,commercial_term,annual_value_usd,,18600000,LINK-0001,accepted
FACT-MER-CTR-RCM-001-2,fact,meridian-health,MER-CTR-RCM-001,commercial_term,notice_deadline,2027-06-30,,LINK-0001,accepted
FACT-MER-CTR-RCM-001-3,fact,meridian-health,MER-CTR-RCM-001,pricing,current_pricing_total_usd,,18600000,LINK-0004,accepted
FACT-MER-CTR-RCM-001-4,fact,meridian-health,MER-CTR-RCM-001,sla,service_credit_available_usd,,6458.33,LINK-0006,accepted
FACT-MER-CTR-RCM-001-5,fact,meridian-health,MER-CTR-RCM-001,finance,finance_confirmed_value_usd,,420000,LINK-0007,accepted
FACT-MER-CTR-RCM-001-6,fact,meridian-health,MER-CTR-RCM-001,gate,action_gate_state,allowed,,LINK-0001,accepted
FACT-MER-CTR-HR-BPO-001-1,fact,meridian-health,MER-CTR-HR-BPO-001,commercial_term,annual_value_usd,,12400000,LINK-0008,diagnosis_only_or_blocked
FACT-MER-CTR-HR-BPO-001-2,fact,meridian-health,MER-CTR-HR-BPO-001,commercial_term,notice_deadline,2029-03-31,,LINK-0008,diagnosis_only_or_blocked
FACT-MER-CTR-HR-BPO-001-3,fact,meridian-health,MER-CTR-HR-BPO-001,pricing,current_pricing_total_usd,,12400000,LINK-0011,diagnosis_only_or_blocked
FACT-MER-CTR-HR-BPO-001-4,fact,meridian-health,MER-CTR-HR-BPO-001,sla,service_credit_available_usd,,4305.56,LINK-0013,diagnosis_only_or_blocked
FACT-MER-CTR-HR-BPO-001-5,fact,meridian-health,MER-CTR-HR-BPO-001,finance,finance_confirmed_value_usd,,0,LINK-0014,diagnosis_only_or_blocked
FACT-MER-CTR-HR-BPO-001-6,fact,meridian-health,MER-CTR-HR-BPO-001,gate,action_gate_state,blocked,,LINK-0008,diagnosis_only_or_blocked
FACT-MER-CTR-FIN-BPO-001-1,fact,meridian-health,MER-CTR-FIN-BPO-001,commercial_term,annual_value_usd,,14200000,LINK-0015,diagnosis_only_or_blocked
FACT-MER-CTR-FIN-BPO-001-2,fact,meridian-health,MER-CTR-FIN-BPO-001,commercial_term,notice_deadline,2029-04-30,,LINK-0015,diagnosis_only_or_blocked
FACT-MER-CTR-FIN-BPO-001-3,fact,meridian-health,MER-CTR-FIN-BPO-001,pricing,current_pricing_total_usd,,14200000,LINK-0018,diagnosis_only_or_blocked
FACT-MER-CTR-FIN-BPO-001-4,fact,meridian-health,MER-CTR-FIN-BPO-001,sla,service_credit_available_usd,,4930.56,LINK-0020,diagnosis_only_or_blocked
FACT-MER-CTR-FIN-BPO-001-5,fact,meridian-health,MER-CTR-FIN-BPO-001,finance,finance_confirmed_value_usd,,0,LINK-0021,diagnosis_only_or_blocked
FACT-MER-CTR-FIN-BPO-001-6,fact,meridian-health,MER-CTR-FIN-BPO-001,gate,action_gate_state,blocked,,LINK-0015,diagnosis_only_or_blocked
FACT-MER-CTR-SC-BPO-001-1,fact,meridian-health,MER-CTR-SC-BPO-001,commercial_term,annual_value_usd,,9900000,LINK-0022,diagnosis_only_or_blocked
FACT-MER-CTR-SC-BPO-001-2,fact,meridian-health,MER-CTR-SC-BPO-001,commercial_term,notice_deadline,2029-06-30,,LINK-0022,diagnosis_only_or_blocked
FACT-MER-CTR-SC-BPO-001-3,fact,meridian-health,MER-CTR-SC-BPO-001,pricing,current_pricing_total_usd,,9900000,LINK-0025,diagnosis_only_or_blocked
FACT-MER-CTR-SC-BPO-001-4,fact,meridian-health,MER-CTR-SC-BPO-001,sla,service_credit_available_usd,,3437.5,LINK-0027,diagnosis_only_or_blocked
FACT-MER-CTR-SC-BPO-001-5,fact,meridian-health,MER-CTR-SC-BPO-001,finance,finance_confirmed_value_usd,,0,LINK-0028,diagnosis_only_or_blocked
FACT-MER-CTR-SC-BPO-001-6,fact,meridian-health,MER-CTR-SC-BPO-001,gate,action_gate_state,blocked,,LINK-0022,diagnosis_only_or_blocked
FACT-MER-CTR-SSO-BPO-001-1,fact,meridian-health,MER-CTR-SSO-BPO-001,commercial_term,annual_value_usd,,24800000,LINK-0029,diagnosis_only_or_blocked
FACT-MER-CTR-SSO-BPO-001-2,fact,meridian-health,MER-CTR-SSO-BPO-001,commercial_term,notice_deadline,2029-07-31,,LINK-0029,diagnosis_only_or_blocked
FACT-MER-CTR-SSO-BPO-001-3,fact,meridian-health,MER-CTR-SSO-BPO-001,pricing,current_pricing_total_usd,,24800000,LINK-0032,diagnosis_only_or_blocked
FACT-MER-CTR-SSO-BPO-001-4,fact,meridian-health,MER-CTR-SSO-BPO-001,sla,service_credit_available_usd,,8611.11,LINK-0034,diagnosis_only_or_blocked
FACT-MER-CTR-SSO-BPO-001-5,fact,meridian-health,MER-CTR-SSO-BPO-001,finance,finance_confirmed_value_usd,,0,LINK-0035,diagnosis_only_or_blocked
FACT-MER-CTR-SSO-BPO-001-6,fact,meridian-health,MER-CTR-SSO-BPO-001,gate,action_gate_state,blocked,,LINK-0029,diagnosis_only_or_blocked
