tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,application_ref,application_name,business_function,criticality,hosting_model,scope_role,relationship_method,relationship_confidence,source_file_id
meridian-health,meridian-contract-depth-v1-20260828,app_scope:MER-TECH-M365-001:APP-M365-EXCH,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,APP-M365-EXCH,Exchange Online,Corporate Services,Tier 2,SaaS,primary,explicit_sow_scope,0.92,DOC-MER-TECH-M365-001-SOW
meridian-health,meridian-contract-depth-v1-20260828,app_scope:MER-TECH-M365-001:APP-M365-TEAMS,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,APP-M365-TEAMS,Teams Collaboration,Enterprise Operations,Tier 2,SaaS,supporting,explicit_sow_scope,0.92,DOC-MER-TECH-M365-001-SOW
meridian-health,meridian-contract-depth-v1-20260828,app_scope:MER-TECH-M365-001:APP-M365-ENTRA,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,APP-M365-ENTRA,Entra ID,Security,Tier 1,SaaS,supporting,explicit_sow_scope,0.92,DOC-MER-TECH-M365-001-SOW
meridian-health,meridian-contract-depth-v1-20260828,app_scope:MER-TECH-M365-001:APP-ENDPOINT-MGMT,MER-TECH-M365-001,VEN-MICROSOFT,Microsoft Corporation,APP-ENDPOINT-MGMT,Endpoint Management,Infrastructure,Tier 2,Hybrid,supporting,explicit_sow_scope,0.92,DOC-MER-TECH-M365-001-SOW
meridian-health,meridian-contract-depth-v1-20260828,app_scope:MER-TECH-SFDC-001:APP-SFDC-PATIENT,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",APP-SFDC-PATIENT,Patient Access CRM,Patient Access,Tier 1,SaaS,primary,explicit_sow_scope,0.92,DOC-MER-TECH-SFDC-001-SOW
meridian-health,meridian-contract-depth-v1-20260828,app_scope:MER-TECH-SFDC-001:APP-SFDC-SERVICE,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",APP-SFDC-SERVICE,Service Cloud Case Management,Patient Access,Tier 1,SaaS,supporting,explicit_sow_scope,0.92,DOC-MER-TECH-SFDC-001-SOW
meridian-health,meridian-contract-depth-v1-20260828,app_scope:MER-TECH-SFDC-001:APP-HL7-INTEGRATION,MER-TECH-SFDC-001,VEN-SALESFORCE,"Salesforce, Inc.",APP-HL7-INTEGRATION,Integration Engine,Enterprise Integration,Tier 1,Hybrid,supporting,explicit_sow_scope,0.92,DOC-MER-TECH-SFDC-001-SOW
meridian-health,meridian-contract-depth-v1-20260828,app_scope:MER-TECH-AWS-001:APP-AWS-DATALAKE,MER-TECH-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",APP-AWS-DATALAKE,Clinical Data Lake,Analytics,Tier 1,Cloud,primary,explicit_sow_scope,0.92,DOC-MER-TECH-AWS-001-SOW
meridian-health,meridian-contract-depth-v1-20260828,app_scope:MER-TECH-AWS-001:APP-AWS-PORTAL,MER-TECH-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",APP-AWS-PORTAL,Patient Portal Hosting,Digital Health,Tier 1,Cloud,supporting,explicit_sow_scope,0.92,DOC-MER-TECH-AWS-001-SOW
meridian-health,meridian-contract-depth-v1-20260828,app_scope:MER-TECH-AWS-001:APP-HL7-INTEGRATION,MER-TECH-AWS-001,VEN-AWS,"Amazon Web Services, Inc.",APP-HL7-INTEGRATION,Integration Engine,Enterprise Integration,Tier 1,Hybrid,supporting,explicit_sow_scope,0.92,DOC-MER-TECH-AWS-001-SOW
