tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,pattern_id,pattern_name,industry_domain,when_to_apply,signals,recommended_actions,corpus_context_label
meridian-health,Healthcare Demo,v6.0,industry_corpus_pattern,mer-clinical-claims-lakehouse,Clinical and claims lakehouse foundation,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,corpus-patterns/move-patterns.jsonl,1,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,mer-clinical-claims-lakehouse,Clinical and claims lakehouse foundation,healthcare_data_platform,"Use when EMR, claims, pharmacy, and CRM must support longitudinal views.",Epic|claims|pharmacy|FHIR|EDI,build patient/member 360|govern PHI|certify semantic products,industry_pattern_context_not_tenant_fact
meridian-health,Healthcare Demo,v6.0,industry_corpus_pattern,mer-prior-auth-evidence,Prior authorization automation evidence gate,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,corpus-patterns/move-patterns.jsonl,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,mer-prior-auth-evidence,Prior authorization automation evidence gate,healthcare_operations_ai,Use when prior auth AI is proposed.,medical policy|appeals|utilization management|audit trail,require explainability|measure cycle time|monitor denial quality,industry_pattern_context_not_tenant_fact
meridian-health,Healthcare Demo,v6.0,industry_corpus_pattern,mer-payment-integrity-leakage,Payment integrity leakage reduction,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,corpus-patterns/move-patterns.jsonl,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,mer-payment-integrity-leakage,Payment integrity leakage reduction,healthcare_finance,Use when claims analytics can reduce FWA and billing leakage.,provider patterns|claims anomalies|recovery feedback,link investigation outcomes|measure recoveries|control false positives,industry_pattern_context_not_tenant_fact
meridian-health,Healthcare Demo,v6.0,industry_corpus_pattern,meridian-health-v4-pattern-04,Healthcare Demo V4 context-to-move pattern 4,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,corpus-patterns/move-patterns.jsonl,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:recommended_actions_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,meridian-health-v4-pattern-04,Healthcare Demo V4 context-to-move pattern 4,cost_takeout,"Apply when context, corpus, Tower spend, and evidence rows together show an executive decision point.",cross_dimension_dependency|evidence_gap|benefit_realization_gap|governance_or_adoption_blocker,data_thin:recommended_actions_missing,industry_pattern_context_not_tenant_fact
meridian-health,Healthcare Demo,v6.0,industry_corpus_pattern,meridian-health-v4-pattern-05,Healthcare Demo V4 context-to-move pattern 5,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,corpus-patterns/move-patterns.jsonl,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:recommended_actions_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,meridian-health-v4-pattern-05,Healthcare Demo V4 context-to-move pattern 5,value_realization,"Apply when context, corpus, Tower spend, and evidence rows together show an executive decision point.",cross_dimension_dependency|evidence_gap|benefit_realization_gap|governance_or_adoption_blocker,data_thin:recommended_actions_missing,industry_pattern_context_not_tenant_fact
meridian-health,Healthcare Demo,v6.0,industry_corpus_pattern,meridian-health-v4-pattern-06,Healthcare Demo V4 context-to-move pattern 6,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,corpus-patterns/move-patterns.jsonl,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:recommended_actions_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,meridian-health-v4-pattern-06,Healthcare Demo V4 context-to-move pattern 6,data_foundation,"Apply when context, corpus, Tower spend, and evidence rows together show an executive decision point.",cross_dimension_dependency|evidence_gap|benefit_realization_gap|governance_or_adoption_blocker,data_thin:recommended_actions_missing,industry_pattern_context_not_tenant_fact
meridian-health,Healthcare Demo,v6.0,industry_corpus_pattern,MERIDIANHEALTH-MET-0001,industry_corpus_pattern record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,family-7-outcome-intelligence/O02_industry-benchmarks.csv,2,2026-06-18,2026-04-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:when_to_apply_missing|data_thin:signals_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-BM-0001,industry_corpus_pattern record,large enterprise peer group,data_thin:when_to_apply_missing,data_thin:signals_missing,13,industry_pattern_context_not_tenant_fact
meridian-health,Healthcare Demo,v6.0,industry_corpus_pattern,MERIDIANHEALTH-MET-0002,industry_corpus_pattern record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,family-7-outcome-intelligence/O02_industry-benchmarks.csv,3,2026-06-18,2026-04-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:when_to_apply_missing|data_thin:signals_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-BM-0002,industry_corpus_pattern record,large enterprise peer group,data_thin:when_to_apply_missing,data_thin:signals_missing,14,industry_pattern_context_not_tenant_fact
meridian-health,Healthcare Demo,v6.0,industry_corpus_pattern,MERIDIANHEALTH-MET-0003,industry_corpus_pattern record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,family-7-outcome-intelligence/O02_industry-benchmarks.csv,4,2026-06-18,2026-04-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:when_to_apply_missing|data_thin:signals_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-BM-0003,industry_corpus_pattern record,large enterprise peer group,data_thin:when_to_apply_missing,data_thin:signals_missing,15,industry_pattern_context_not_tenant_fact
meridian-health,Healthcare Demo,v6.0,industry_corpus_pattern,MERIDIANHEALTH-MET-0004,industry_corpus_pattern record,v4_synthetic_pack,data_thin:source_owner_missing,synthetic_demo,family-7-outcome-intelligence/O02_industry-benchmarks.csv,5,2026-06-18,2026-04-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Intelligence|Moves,industry_pattern_context|recommendation_hypothesis|gap,tenant_fact|board_grade_value|audited_claim,data_thin:source_owner_missing|data_thin:when_to_apply_missing|data_thin:signals_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-BM-0004,industry_corpus_pattern record,large enterprise peer group,data_thin:when_to_apply_missing,data_thin:signals_missing,16,industry_pattern_context_not_tenant_fact
