tenant_key,node_id,business_label,node_type,source_file,readable_summary,confidence,caveat,source_file,source_row,value_source
apex-retail,APX-IT-001,Store Systems and POS,org_team,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,2,tenant_file
apex-retail,APX-IT-002,Digital Commerce Engineering,org_team,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,3,tenant_file
apex-retail,APX-IT-003,Merchandising and Planning Systems,org_team,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,4,tenant_file
apex-retail,APX-IT-004,Supply Chain Platforms,org_team,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,5,tenant_file
apex-retail,APX-IT-005,Customer Data and Loyalty Platforms,org_team,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,6,tenant_file
apex-retail,APX-IT-006,ERP and Corporate Systems,org_team,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,7,tenant_file
apex-retail,APX-IT-007,"Data, Analytics and AI",org_team,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,8,tenant_file
apex-retail,APX-IT-008,Cloud Platform and SRE,org_team,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,9,tenant_file
apex-retail,APX-IT-009,Cybersecurity,org_team,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,10,tenant_file
apex-retail,APX-IT-010,Service Management and End User Tech,org_team,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Org Team node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,11,tenant_file
apex-retail,APX-BF-001,Store Operations,business_function,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Business Function node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,12,tenant_file
apex-retail,APX-BF-002,Digital Commerce,business_function,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Business Function node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,13,tenant_file
apex-retail,APX-BF-003,Merchandising,business_function,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Business Function node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,14,tenant_file
apex-retail,APX-BF-004,Supply Chain and Fulfillment,business_function,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Business Function node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,15,tenant_file
apex-retail,APX-BF-005,Loyalty and Customer Growth,business_function,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Business Function node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,16,tenant_file
apex-retail,APX-BF-006,Finance and FP&A,business_function,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Business Function node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,17,tenant_file
apex-retail,APX-BF-007,Loss Prevention and Risk,business_function,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Business Function node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,18,tenant_file
apex-retail,APX-BF-008,Technology,business_function,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Business Function node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,19,tenant_file
apex-retail,APX-BF-009,Human Resources,business_function,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Business Function node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,20,tenant_file
apex-retail,APX-BF-010,Procurement and Vendor Management,business_function,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Business Function node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,21,tenant_file
apex-retail,APX-BF-011,Real Estate and Facilities,business_function,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Business Function node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,22,tenant_file
apex-retail,APX-BF-012,Private Brands,business_function,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Business Function node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,23,tenant_file
apex-retail,APX-APP-001,Oracle Retail Merchandising,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,24,tenant_file
apex-retail,APX-APP-002,Manhattan Active WMS,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,25,tenant_file
apex-retail,APX-APP-003,IBM Sterling OMS,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,26,tenant_file
apex-retail,APX-APP-004,Toshiba POS,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,27,tenant_file
apex-retail,APX-APP-005,Salesforce Commerce Cloud,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,28,tenant_file
apex-retail,APX-APP-006,Adobe Experience Cloud,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,29,tenant_file
apex-retail,APX-APP-007,Blue Yonder Demand Planning,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,30,tenant_file
apex-retail,APX-APP-008,SAP S/4 Finance,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,31,tenant_file
apex-retail,APX-APP-009,ServiceNow ITSM,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,32,tenant_file
apex-retail,APX-APP-010,Databricks Retail Lakehouse,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,33,tenant_file
apex-retail,APX-APP-011,Snowflake Marketing Data Cloud,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,34,tenant_file
apex-retail,APX-APP-012,Kronos Workforce Central,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,35,tenant_file
apex-retail,APX-APP-013,Oracle Retail Merchandising regional/service component 2,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,36,tenant_file
apex-retail,APX-APP-014,Manhattan Active WMS regional/service component 2,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,37,tenant_file
apex-retail,APX-APP-015,IBM Sterling OMS regional/service component 2,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,38,tenant_file
apex-retail,APX-APP-016,Toshiba POS regional/service component 2,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,39,tenant_file
apex-retail,APX-APP-017,Salesforce Commerce Cloud regional/service component 2,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,40,tenant_file
apex-retail,APX-APP-018,Adobe Experience Cloud regional/service component 2,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,41,tenant_file
apex-retail,APX-APP-019,Blue Yonder Demand Planning regional/service component 2,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,42,tenant_file
apex-retail,APX-APP-020,SAP S/4 Finance regional/service component 2,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,43,tenant_file
apex-retail,APX-APP-021,ServiceNow ITSM regional/service component 2,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,44,tenant_file
apex-retail,APX-APP-022,Databricks Retail Lakehouse regional/service component 2,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,45,tenant_file
apex-retail,APX-APP-023,Snowflake Marketing Data Cloud regional/service component 2,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,46,tenant_file
apex-retail,APX-APP-024,Kronos Workforce Central regional/service component 2,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,47,tenant_file
apex-retail,APX-APP-025,Oracle Retail Merchandising regional/service component 3,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,48,tenant_file
apex-retail,APX-APP-026,Manhattan Active WMS regional/service component 3,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,49,tenant_file
apex-retail,APX-APP-027,IBM Sterling OMS regional/service component 3,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,50,tenant_file
apex-retail,APX-APP-028,Toshiba POS regional/service component 3,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,51,tenant_file
apex-retail,APX-APP-029,Salesforce Commerce Cloud regional/service component 3,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,52,tenant_file
apex-retail,APX-APP-030,Adobe Experience Cloud regional/service component 3,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,53,tenant_file
apex-retail,APX-APP-031,Blue Yonder Demand Planning regional/service component 3,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,54,tenant_file
apex-retail,APX-APP-032,SAP S/4 Finance regional/service component 3,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,55,tenant_file
apex-retail,APX-APP-033,ServiceNow ITSM regional/service component 3,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,56,tenant_file
apex-retail,APX-APP-034,Databricks Retail Lakehouse regional/service component 3,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,57,tenant_file
apex-retail,APX-APP-035,Snowflake Marketing Data Cloud regional/service component 3,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,58,tenant_file
apex-retail,APX-APP-036,Kronos Workforce Central regional/service component 3,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,59,tenant_file
apex-retail,APX-APP-037,Oracle Retail Merchandising regional/service component 4,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,60,tenant_file
apex-retail,APX-APP-038,Manhattan Active WMS regional/service component 4,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,61,tenant_file
apex-retail,APX-APP-039,IBM Sterling OMS regional/service component 4,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,62,tenant_file
apex-retail,APX-APP-040,Toshiba POS regional/service component 4,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,63,tenant_file
apex-retail,APX-APP-041,Salesforce Commerce Cloud regional/service component 4,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,64,tenant_file
apex-retail,APX-APP-042,Adobe Experience Cloud regional/service component 4,application,family-8-semantic-enrichment/F25_context-node-dictionary.csv,Application node used for semantic graph and diagram answers.,0.68,Generated dictionary row from loaded source records; explicit business glossary can improve labels.,family-8-semantic-enrichment/F25_context-node-dictionary.csv,65,tenant_file
