ai_asset_id,asset_name,asset_type,business_function,parent_system_id,status,regulated_workflow,approved_data_scope,model_risk_status,notes
SHA-AI-001,IROPS AI asset 1,agent,SHA-BF-001,APP-00001,active_approved,true,public/internal,not_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-002,crew AI asset 2,copilot_tool,SHA-BF-002,APP-00002,pilot,false,operational confidential,pre_assessment,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-003,baggage AI asset 3,model,SHA-BF-003,APP-00003,blocked,false,masked PII only,validation_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-004,customer AI asset 4,workflow_automation,SHA-BF-004,APP-00004,planned,true,restricted safety data,approved,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-005,MRO AI asset 5,analytics_ai,SHA-BF-005,APP-00005,active_conditional,false,pending,blocked_missing_evidence,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-006,revenue AI asset 6,agent,SHA-BF-006,APP-00006,active_approved,false,public/internal,not_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-007,loyalty AI asset 7,copilot_tool,SHA-BF-007,APP-00007,pilot,true,operational confidential,pre_assessment,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-008,contact center AI asset 8,model,SHA-BF-008,APP-00008,blocked,false,masked PII only,validation_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-009,SAP finance AI asset 9,workflow_automation,SHA-BF-009,APP-00009,planned,false,restricted safety data,approved,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-010,ServiceNow AI asset 10,analytics_ai,SHA-BF-010,APP-00010,active_conditional,true,pending,blocked_missing_evidence,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-011,developer AI asset 11,agent,SHA-BF-011,APP-00011,active_approved,false,public/internal,not_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-012,cyber AI asset 12,copilot_tool,SHA-BF-012,APP-00012,pilot,false,operational confidential,pre_assessment,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-013,IROPS AI asset 13,model,SHA-BF-013,APP-00013,blocked,true,masked PII only,validation_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-014,crew AI asset 14,workflow_automation,SHA-BF-014,APP-00014,planned,false,restricted safety data,approved,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-015,baggage AI asset 15,analytics_ai,SHA-BF-015,APP-00015,active_conditional,false,pending,blocked_missing_evidence,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-016,customer AI asset 16,agent,SHA-BF-016,APP-00016,active_approved,true,public/internal,not_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-017,MRO AI asset 17,copilot_tool,SHA-BF-017,APP-00017,pilot,false,operational confidential,pre_assessment,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-018,revenue AI asset 18,model,SHA-BF-018,APP-00018,blocked,false,masked PII only,validation_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-019,loyalty AI asset 19,workflow_automation,SHA-BF-019,APP-00019,planned,true,restricted safety data,approved,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-020,contact center AI asset 20,analytics_ai,SHA-BF-020,APP-00020,active_conditional,false,pending,blocked_missing_evidence,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-021,SAP finance AI asset 21,agent,SHA-BF-001,APP-00021,active_approved,false,public/internal,not_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-022,ServiceNow AI asset 22,copilot_tool,SHA-BF-002,APP-00022,pilot,true,operational confidential,pre_assessment,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-023,developer AI asset 23,model,SHA-BF-003,APP-00100,blocked,false,masked PII only,validation_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-024,cyber AI asset 24,workflow_automation,SHA-BF-004,APP-00101,planned,false,restricted safety data,approved,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-025,IROPS AI asset 25,analytics_ai,SHA-BF-005,APP-00102,active_conditional,true,pending,blocked_missing_evidence,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-026,crew AI asset 26,agent,SHA-BF-006,APP-00103,active_approved,false,public/internal,not_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-027,baggage AI asset 27,copilot_tool,SHA-BF-007,APP-00104,pilot,false,operational confidential,pre_assessment,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-028,customer AI asset 28,model,SHA-BF-008,APP-00105,blocked,true,masked PII only,validation_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-029,MRO AI asset 29,workflow_automation,SHA-BF-009,APP-00106,planned,false,restricted safety data,approved,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-030,revenue AI asset 30,analytics_ai,SHA-BF-010,APP-00107,active_conditional,false,pending,blocked_missing_evidence,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-031,loyalty AI asset 31,agent,SHA-BF-011,APP-00108,active_approved,true,public/internal,not_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-032,contact center AI asset 32,copilot_tool,SHA-BF-012,APP-00109,pilot,false,operational confidential,pre_assessment,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-033,SAP finance AI asset 33,model,SHA-BF-013,APP-00110,blocked,false,masked PII only,validation_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-034,ServiceNow AI asset 34,workflow_automation,SHA-BF-014,APP-00111,planned,true,restricted safety data,approved,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-035,developer AI asset 35,analytics_ai,SHA-BF-015,APP-00112,active_conditional,false,pending,blocked_missing_evidence,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-036,cyber AI asset 36,agent,SHA-BF-016,APP-00113,active_approved,false,public/internal,not_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-037,IROPS AI asset 37,copilot_tool,SHA-BF-017,APP-00114,pilot,true,operational confidential,pre_assessment,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-038,crew AI asset 38,model,SHA-BF-018,APP-00115,blocked,false,masked PII only,validation_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-039,baggage AI asset 39,workflow_automation,SHA-BF-019,APP-00116,planned,false,restricted safety data,approved,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-040,customer AI asset 40,analytics_ai,SHA-BF-020,APP-00117,active_conditional,true,pending,blocked_missing_evidence,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-041,MRO AI asset 41,agent,SHA-BF-001,APP-00118,active_approved,false,public/internal,not_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-042,revenue AI asset 42,copilot_tool,SHA-BF-002,APP-00119,pilot,false,operational confidential,pre_assessment,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-043,loyalty AI asset 43,model,SHA-BF-003,APP-00120,blocked,true,masked PII only,validation_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-044,contact center AI asset 44,workflow_automation,SHA-BF-004,APP-00121,planned,false,restricted safety data,approved,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-045,SAP finance AI asset 45,analytics_ai,SHA-BF-005,APP-00122,active_conditional,false,pending,blocked_missing_evidence,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-046,ServiceNow AI asset 46,agent,SHA-BF-006,APP-00123,active_approved,true,public/internal,not_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-047,developer AI asset 47,copilot_tool,SHA-BF-007,APP-00124,pilot,false,operational confidential,pre_assessment,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-048,cyber AI asset 48,model,SHA-BF-008,APP-00125,blocked,false,masked PII only,validation_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-049,IROPS AI asset 49,workflow_automation,SHA-BF-009,APP-00126,planned,true,restricted safety data,approved,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-050,crew AI asset 50,analytics_ai,SHA-BF-010,APP-00127,active_conditional,false,pending,blocked_missing_evidence,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-051,baggage AI asset 51,agent,SHA-BF-011,APP-00128,active_approved,false,public/internal,not_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-052,customer AI asset 52,copilot_tool,SHA-BF-012,APP-00129,pilot,true,operational confidential,pre_assessment,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-053,MRO AI asset 53,model,SHA-BF-013,APP-00130,blocked,false,masked PII only,validation_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-054,revenue AI asset 54,workflow_automation,SHA-BF-014,APP-00131,planned,false,restricted safety data,approved,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-055,loyalty AI asset 55,analytics_ai,SHA-BF-015,APP-00132,active_conditional,true,pending,blocked_missing_evidence,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-056,contact center AI asset 56,agent,SHA-BF-016,APP-00133,active_approved,false,public/internal,not_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-057,SAP finance AI asset 57,copilot_tool,SHA-BF-017,APP-00134,pilot,false,operational confidential,pre_assessment,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-058,ServiceNow AI asset 58,model,SHA-BF-018,APP-00135,blocked,true,masked PII only,validation_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-059,developer AI asset 59,workflow_automation,SHA-BF-019,APP-00136,planned,false,restricted safety data,approved,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-060,cyber AI asset 60,analytics_ai,SHA-BF-020,APP-00137,active_conditional,false,pending,blocked_missing_evidence,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-061,IROPS AI asset 61,agent,SHA-BF-001,APP-00138,active_approved,true,public/internal,not_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-062,crew AI asset 62,copilot_tool,SHA-BF-002,APP-00139,pilot,false,operational confidential,pre_assessment,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-063,baggage AI asset 63,model,SHA-BF-003,APP-00140,blocked,false,masked PII only,validation_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-064,customer AI asset 64,workflow_automation,SHA-BF-004,APP-00141,planned,true,restricted safety data,approved,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-065,MRO AI asset 65,analytics_ai,SHA-BF-005,APP-00142,active_conditional,false,pending,blocked_missing_evidence,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-066,revenue AI asset 66,agent,SHA-BF-006,APP-00143,active_approved,false,public/internal,not_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-067,loyalty AI asset 67,copilot_tool,SHA-BF-007,APP-00144,pilot,true,operational confidential,pre_assessment,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-068,contact center AI asset 68,model,SHA-BF-008,APP-00145,blocked,false,masked PII only,validation_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-069,SAP finance AI asset 69,workflow_automation,SHA-BF-009,APP-00146,planned,false,restricted safety data,approved,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-070,ServiceNow AI asset 70,analytics_ai,SHA-BF-010,APP-00147,active_conditional,true,pending,blocked_missing_evidence,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-071,developer AI asset 71,agent,SHA-BF-011,APP-00148,active_approved,false,public/internal,not_required,AI footprint record feeds Intelligence and AI Control Tower
SHA-AI-072,cyber AI asset 72,copilot_tool,SHA-BF-012,APP-00149,pilot,false,operational confidential,pre_assessment,AI footprint record feeds Intelligence and AI Control Tower
