tenant_key,check,expected,observed,status,detail
first-capital-financial,source template file count,19,19,pass,
first-capital-financial,source row threshold,>=4000,4840,pass,
first-capital-financial,canonical records manifest match,4840,4840,pass,
first-capital-financial,canonical facts manifest match,9680,9680,pass,
first-capital-financial,facts have evidence ids,0,0,pass,
first-capital-financial,no orphan canonical facts,0,0,pass,
first-capital-financial,evidence registry count,140,140,pass,
first-capital-financial,graph node threshold,>=1500,1600,pass,
first-capital-financial,graph edge threshold,>=2500,2600,pass,
first-capital-financial,no orphan graph edges,0,0,pass,
first-capital-financial,gap threshold,>=2000,2100,pass,
first-capital-financial,retrieval chunk threshold,>=4000,4600,pass,
first-capital-financial,retrieval chunks candidate-preview only,0,0,pass,
first-capital-financial,Home dimensions,19,19,pass,
first-capital-financial,Tower approved programs,12,12,pass,
first-capital-financial,Tower candidate AI opportunities,12,12,pass,
first-capital-financial,Moves candidate opportunities,12,12,pass,
first-capital-financial,Source vendor contexts,12,12,pass,
first-capital-financial,no Azure/Postgres mutation,false,false,pass,
first-capital-financial,no active pointer update,false,false,pass,
