surface,label,value,basis_or_status,evidence_refs
metric_family,"Whether formal stewardship, semantic ownership, and quality gates exist.","Whether formal stewardship, semantic ownership, and quality gates exist.",evidence required before outcome proof,meridian-health-14_metrics_outcomes-MER-MET-004-r5-evidence
metric_family,Roughly 80 percent maintenance / ad hoc support work,Roughly 80 percent maintenance / ad hoc support work,evidence required before outcome proof,meridian-health-08_spend_value-MER-SPEND-002-r3-evidence
metric_family,Roughly 20 percent net-new request work,Roughly 20 percent net-new request work,evidence required before outcome proof,meridian-health-08_spend_value-MER-SPEND-003-r4-evidence
metric_family,measurement readiness,128 analytics/data resources modeled from user-provided 120+ resource constraint,evidence required before outcome proof,meridian-health-08_spend_value-MER-SPEND-001-r2-evidence
metric_family,measurement readiness,"Create a governed longitudinal patient/member view only after EMR, claims, pharmacy, identity, medallion, and governance evidence are certified; quantify value after baseline owners sign off.",evidence required before outcome proof,meridian-health-08_spend_value-MER-SPEND-004-r5-evidence
metric_family,measurement readiness,"Enable prior-auth, coding, and UM automation only after governance, semantic ownership, lineage, and control evidence are in place; quantify after workflow baselines and audit requirements are captured.",evidence required before outcome proof,meridian-health-08_spend_value-MER-SPEND-005-r6-evidence
metric_family,measurement readiness,"Improve agent assist and next-best-action only after transcript, CRM, claims, intent, and QA-label evidence is governed; quantify after baseline AHT, containment, and first-call-resolution data are loaded.",evidence required before outcome proof,meridian-health-08_spend_value-MER-SPEND-006-r7-evidence
metric_family,measurement readiness,"Support provider performance management after HEDIS/STAR logic, attribution, contract linkage, and quality semantic models are certified; quantify after measure owner signoff.",evidence required before outcome proof,meridian-health-08_spend_value-MER-SPEND-007-r8-evidence
metric_family,measurement readiness,"Create cost-of-care and margin visibility only after claims, capitation, contract, and GL reconciliation evidence is governed; quantify after finance and actuarial baseline signoff.",evidence required before outcome proof,meridian-health-08_spend_value-MER-SPEND-008-r9-evidence
metric_family,measurement readiness,"Reduce leakage after claims anomaly features, provider resolution, rules lineage, and recovery workflow evidence are governed; quantify after finance validates recoveries.",evidence required before outcome proof,meridian-health-08_spend_value-MER-SPEND-009-r10-evidence
metric_family,measurement readiness,"Accelerate close and reporting after GL, reconciliation, metric, and dashboard lineage are governed; quantify after close-cycle baseline and control owner signoff.",evidence required before outcome proof,meridian-health-08_spend_value-MER-SPEND-010-r11-evidence
metric_family,analytics_resource_count,analytics_resource_count,evidence required before outcome proof,meridian-health-08_spend_value-MER-HS-r2-evidence
value_hypothesis,planned value,$58.0M,forecast:caveated,meridian-health-09_programs_initiatives-MER-INIT-001-r2-evidence
value_hypothesis,planned value,$18.0M,forecast:caveated,meridian-health-09_programs_initiatives-MER-INIT-002-r3-evidence
value_hypothesis,planned value,$22.0M,forecast:caveated,meridian-health-09_programs_initiatives-MER-INIT-003-r4-evidence
value_hypothesis,planned value,$26.0M,forecast:caveated,meridian-health-09_programs_initiatives-MER-INIT-004-r5-evidence
value_hypothesis,planned value,$16.0M,forecast:caveated,meridian-health-09_programs_initiatives-MER-INIT-005-r6-evidence
value_hypothesis,planned value,$19.0M,forecast:caveated,meridian-health-09_programs_initiatives-MER-INIT-006-r7-evidence
value_hypothesis,planned value,$14.0M,forecast:caveated,meridian-health-09_programs_initiatives-MER-INIT-007-r8-evidence
value_hypothesis,planned value,$12.0M,forecast:caveated,meridian-health-09_programs_initiatives-MER-INIT-008-r9-evidence
