source_id,tool_id,tool_name,vendor,team,persona,period_start,period_end,licensed_seats,active_users,usage_events,accepted_events,monthly_spend_usd,evidence_state
src-ai-tools,FCF-AI-TOOL-01,M365 Copilot,M365,EVP Technology Operations,EVP Technology Operations,2026-07-01,2026-07-28,1572,786,2051,2046,20833,review_required
src-ai-tools,FCF-AI-TOOL-02,GitHub Copilot,GitHub,SVP Payments Technology,SVP Payments Technology,2026-08-01,2026-08-28,1646,823,2149,2143,46667,review_required
src-ai-tools,FCF-AI-TOOL-03,Databricks Mosaic AI,Databricks,Chief Digital Officer,Chief Digital Officer,2026-09-01,2026-09-28,1720,860,2247,2240,72500,review_required
src-ai-tools,FCF-AI-TOOL-04,Snowflake Cortex,Snowflake,SVP Commercial Bank CIO,SVP Commercial Bank CIO,2026-10-01,2026-10-28,1794,897,2345,2337,98333,review_required
src-ai-tools,FCF-AI-TOOL-05,NICE X-Sight AI,NICE,SVP Wealth Technology,SVP Wealth Technology,2026-11-01,2026-11-28,1868,934,2443,2434,124167,review_required
src-ai-tools,FCF-AI-TOOL-06,Salesforce Einstein,Salesforce,Chief Risk Officer,Chief Risk Officer,2026-12-01,2026-12-28,1942,971,2541,2531,150000,review_required
src-ai-tools,FCF-AI-TOOL-07,ServiceNow Now Assist,ServiceNow,Chief Data and Analytics Officer,Chief Data and Analytics Officer,2026-07-01,2026-07-28,684,342,888,882,175833,review_required
src-ai-tools,FCF-AI-TOOL-08,SAS Viya AI,SAS,SVP Infrastructure,SVP Infrastructure,2026-08-01,2026-08-28,758,379,986,979,201667,review_required
src-ai-tools,FCF-AI-TOOL-09,Pega GenAI Blueprint,Pega,CISO,CISO,2026-09-01,2026-09-28,832,416,1084,1076,227500,review_required
src-ai-tools,FCF-AI-TOOL-10,M365 Copilot,M365,CFO,CFO,2026-10-01,2026-10-28,906,453,1182,1173,253333,review_required
src-ai-tools,FCF-AI-TOOL-11,GitHub Copilot,GitHub,SVP Retail Bank Ops,SVP Retail Bank Ops,2026-11-01,2026-11-28,980,490,1280,1270,45833,review_required
src-ai-tools,FCF-AI-TOOL-12,Databricks Mosaic AI,Databricks,SVP Client Service,SVP Client Service,2026-12-01,2026-12-28,1054,527,1378,1367,71667,review_required
src-ai-tools,FCF-AI-TOOL-13,Snowflake Cortex,Snowflake,Chief Model Risk Officer,Chief Model Risk Officer,2026-07-01,2026-07-28,2460,1230,3214,3210,97500,review_required
src-ai-tools,FCF-AI-TOOL-14,NICE X-Sight AI,NICE,COO,COO,2026-08-01,2026-08-28,2534,1267,3312,3307,123333,review_required
src-ai-tools,FCF-AI-TOOL-15,Salesforce Einstein,Salesforce,Chief Product Officer,Chief Product Officer,2026-09-01,2026-09-28,2608,1304,3410,3404,149167,review_required
src-ai-tools,FCF-AI-TOOL-16,ServiceNow Now Assist,ServiceNow,Treasurer,Treasurer,2026-10-01,2026-10-28,2682,1341,3508,3501,175000,review_required
src-ai-tools,FCF-AI-TOOL-17,SAS Viya AI,SAS,SVP Consumer Lending CIO,SVP Consumer Lending CIO,2026-11-01,2026-11-28,2756,1378,3606,3598,200833,review_required
src-ai-tools,FCF-AI-TOOL-18,Pega GenAI Blueprint,Pega,SVP Cards,SVP Cards,2026-12-01,2026-12-28,2830,1415,3704,3695,226667,review_required
