program_code,program_name,approved_funding_usd,ai_tagged_spend_usd,ai_spend_category,executive_owner,usage_metric,usage_actual,adoption_rate_pct,partial_finance_validated_value_usd,value_claim_status,tower_claim_allowed,posture,caveat
PROG-DATA-FOUNDATION,Data Foundation / Lakehouse Modernization,42500000,0,data_ai_platform,CDAO,certified domains,4,0.18,0,readiness_only,no,watch_foundation_or_not_claimable,Platform enablement is a prerequisite; no direct realized AI value claim.
PROG-API-MOD,Integration / API Modernization,25800000,0,not_ai,Chief Architect,,,,0,not_loaded,not_loaded,watch_measurement_required,Budget-linked approved program; benefits require usage/KPI/finance evidence.
PROG-DEV-PRODUCTIVITY,Developer Productivity AI / SDLC Automation,2900000,2900000,developer_productivity_ai,VP Engineering,active developers,650,0.54,500000,measured_partial,partial,working_partial_value,Do not count savings without delivery-capacity or cost impact evidence.
PROG-PHI-IAM,Cybersecurity / Identity / PHI Control Uplift,24000000,0,ai_governance,CISO,,,,0,not_loaded,not_loaded,watch_measurement_required,Budget-linked approved program; benefits require usage/KPI/finance evidence.
PROG-EHR-CLIN,EHR / Clinical Analytics Modernization,22000000,0,not_ai,CMIO,,,,0,not_loaded,not_loaded,watch_measurement_required,Budget-linked approved program; benefits require usage/KPI/finance evidence.
PROG-CONTACT-KNOW,Contact Center Platform / Knowledge Modernization,16000000,0,crm_contact_center_ai,Chief Experience Officer,knowledge searches,0,0,0,baseline_only,no,watch_foundation_or_not_claimable,Foundation spend only; does not fund Member Service AI Assist and cannot claim AI Assist value.
PROG-FINOPS,Cloud Cost Governance / FinOps,10000000,0,not_ai,SVP Infrastructure and Cloud,,,,0,not_loaded,not_loaded,watch_measurement_required,Budget-linked approved program; benefits require usage/KPI/finance evidence.
PROG-AI-GOV,AI Governance / Model Risk Controls,8000000,0,ai_governance,Chief Risk Officer,registered AI systems,12,0.2,0,readiness_only,no,watch_foundation_or_not_claimable,Governance spend reduces risk and gates scale; do not claim financial value.
PROG-MSO,Managed Services Optimization,125000000,0,not_ai,VP IT Operations,,,,0,not_loaded,not_loaded,watch_measurement_required,Budget-linked approved program; benefits require usage/KPI/finance evidence.
PROG-COPILOT-ADOPT,Microsoft 365 Copilot Productivity Enablement,10500000,10500000,copilot_productivity,VP Workplace Technology,monthly active users,4800,0.62,2100000,measured_partial,partial,working_partial_value,Savings not yet labor-released; count as partial finance-validated productivity value only.
PROG-SNOW-AI,ServiceNow AI / ITSM Automation Pilot,4000000,4000000,servicenow_ai,VP Service Management,AI-assisted ticket resolutions,18500,0.38,800000,measured_partial,partial,working_partial_value,Value is productivity capacity; do not claim headcount reduction without operating decision.
PROG-WORKDAY-AI,Workday HR/Finance AI Workflow Pilot,1200000,1200000,workday_ai,CHRO and CFO,AI-assisted HR/finance cases,3200,0.29,400000,measured_partial,partial,working_partial_value,Early pilot; value is operational improvement until finance validates durable capacity release.
