initiative_id,initiative_name,sponsor,initiative_owner,status,stage,start_date,target_date,value_hypothesis,dependent_ci_ids,dependent_contract_ids,policy_constraints,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
INIT-001,CDP Vendor Selection 1,Chief Information Officer,Commerce Platform Engineering,Proposed,P1 Charter,2026-01-01,2026-06-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-SAP-S4|CI-APP-MANHATTAN-WMS,CON-SAP-2026,POL-001|POL-004,Enterprise PMO,INIT-1,Enterprise PMO,2026-05-01,0.8,true,
INIT-002,Contact Center AI Platform 1,Chief Data Officer,Store Technology,In Design,P2 Diagnose,2026-02-01,2026-07-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-ORACLE-RETAIL|CI-WH-SNOWFLAKE,CON-ORACLE-2026,POL-002|POL-005,Enterprise PMO,INIT-2,Enterprise PMO,2026-05-01,0.8,true,
INIT-003,Store Associate Productivity Tools 1,Chief Financial Officer,Supply Chain Technology,Approved,P3 Design,2026-03-01,2026-08-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-NCR-POS|CI-PLAT-DATABRICKS,CON-SALESFORCE-2026,POL-003|POL-006,Enterprise PMO,INIT-3,Enterprise PMO,2026-05-01,0.8,true,
INIT-004,AMS Consolidation Renewal 1,Chief Operating Officer,Customer Data Platform Office,In Flight,P4 Roadmap,2026-04-01,2026-09-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SVC-ECOMMERCE|CI-APP-SERVICENOW,CON-SEGMENT-2026,POL-004|POL-007,Enterprise PMO,INIT-4,Enterprise PMO,2026-05-01,0.8,true,
INIT-005,Demand Forecasting Control Tower 1,Chief Information Officer,Merchandising Analytics,Proposed,P1 Charter,2026-05-01,2026-10-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-DATA-CDP|CI-SEC-OKTA,CON-BLUEYONDER-2026,POL-005|POL-008,Enterprise PMO,INIT-5,Enterprise PMO,2026-05-01,0.8,true,
INIT-006,Retail Media Data Clean Room 1,Chief Data Officer,Contact Center Technology,In Design,P2 Diagnose,2026-06-01,2026-11-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SVC-CONTACT-CENTER|CI-CLOUD-AWS-PROD,CON-MANHATTAN-2026,POL-006|POL-009,Enterprise PMO,INIT-6,Enterprise PMO,2026-05-01,0.8,true,
INIT-007,Inventory Accuracy AI 1,Chief Financial Officer,Cloud Platform Services,Approved,P3 Design,2026-01-01,2026-12-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-BLUEYONDER|CI-CLOUD-AZURE-PROD,CON-NCR-2026,POL-007|POL-010,Enterprise PMO,INIT-7,Enterprise PMO,2026-05-01,0.8,true,
INIT-008,Cloud Cost Governance 1,Chief Operating Officer,Cybersecurity Governance,In Flight,P4 Roadmap,2026-02-01,2026-01-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-MANHATTAN-WMS|CI-APP-WORKDAY-HCM,CON-ADOBE-2026,POL-008|POL-011,Enterprise PMO,INIT-8,Enterprise PMO,2026-05-01,0.8,true,
INIT-009,CDP Vendor Selection 2,Chief Information Officer,IT Sourcing,Proposed,P1 Charter,2026-03-01,2026-02-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-WH-SNOWFLAKE|CI-APP-ADOBE-COMMERCE,CON-GENESYS-2026,POL-009|POL-012,Enterprise PMO,INIT-9,Enterprise PMO,2026-05-01,0.8,true,
INIT-010,Contact Center AI Platform 2,Chief Data Officer,Finance Technology,In Design,P2 Diagnose,2026-04-01,2026-03-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-PLAT-DATABRICKS|CI-APP-001,CON-RELEX-2026,POL-010|POL-013,Enterprise PMO,INIT-10,Enterprise PMO,2026-05-01,0.8,true,
INIT-011,Store Associate Productivity Tools 2,Chief Financial Officer,Commerce Platform Engineering,Approved,P3 Design,2026-05-01,2026-04-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-SERVICENOW|CI-SVC-002,CON-SNOW-2026,POL-011|POL-014,Enterprise PMO,INIT-11,Enterprise PMO,2026-05-01,0.8,true,
INIT-012,AMS Consolidation Renewal 2,Chief Operating Officer,Store Technology,In Flight,P4 Roadmap,2026-06-01,2026-05-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SEC-OKTA|CI-DATA-003,CON-MICROSOFT-2026,POL-012|POL-015,Enterprise PMO,INIT-12,Enterprise PMO,2026-05-01,0.8,true,
INIT-013,Demand Forecasting Control Tower 2,Chief Information Officer,Supply Chain Technology,Proposed,P1 Charter,2026-01-01,2026-06-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-CLOUD-AWS-PROD|CI-APP-004,CON-AWS-2026,POL-013|POL-016,Enterprise PMO,INIT-13,Enterprise PMO,2026-05-01,0.8,true,
INIT-014,Retail Media Data Clean Room 2,Chief Data Officer,Customer Data Platform Office,In Design,P2 Diagnose,2026-02-01,2026-07-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-CLOUD-AZURE-PROD|CI-SVC-005,CON-AZURE-2026,POL-014|POL-017,Enterprise PMO,INIT-14,Enterprise PMO,2026-05-01,0.8,true,
INIT-015,Inventory Accuracy AI 2,Chief Financial Officer,Merchandising Analytics,Approved,P3 Design,2026-03-01,2026-08-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-WORKDAY-HCM|CI-DATA-006,CON-DATABRICKS-2026,POL-015|POL-018,Enterprise PMO,INIT-15,Enterprise PMO,2026-05-01,0.8,true,
INIT-016,Cloud Cost Governance 2,Chief Operating Officer,Contact Center Technology,In Flight,P4 Roadmap,2026-04-01,2026-09-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-ADOBE-COMMERCE|CI-APP-007,CON-SNOWFLAKE-2026,POL-016|POL-019,Enterprise PMO,INIT-16,Enterprise PMO,2026-05-01,0.8,true,
INIT-017,CDP Vendor Selection 3,Chief Information Officer,Cloud Platform Services,Proposed,P1 Charter,2026-05-01,2026-10-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-001|CI-SVC-008,CON-OKTA-2026,POL-017|POL-020,Enterprise PMO,INIT-17,Enterprise PMO,2026-05-01,0.8,true,
INIT-018,Contact Center AI Platform 3,Chief Data Officer,Cybersecurity Governance,In Design,P2 Diagnose,2026-06-01,2026-11-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SVC-002|CI-DATA-009,CON-CROWDSTRIKE-2026,POL-018|POL-021,Enterprise PMO,INIT-18,Enterprise PMO,2026-05-01,0.8,true,
INIT-019,Store Associate Productivity Tools 3,Chief Financial Officer,IT Sourcing,Approved,P3 Design,2026-01-01,2026-12-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-DATA-003|CI-APP-010,CON-PALOALTO-2026,POL-019|POL-022,Enterprise PMO,INIT-19,Enterprise PMO,2026-05-01,0.8,true,
INIT-020,AMS Consolidation Renewal 3,Chief Operating Officer,Finance Technology,In Flight,P4 Roadmap,2026-02-01,2026-01-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-004|CI-SVC-011,CON-ZSCALER-2026,POL-020|POL-023,Enterprise PMO,INIT-20,Enterprise PMO,2026-05-01,0.8,true,
INIT-021,Demand Forecasting Control Tower 3,Chief Information Officer,Commerce Platform Engineering,Proposed,P1 Charter,2026-03-01,2026-02-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SVC-005|CI-DATA-012,CON-BROADCOM-2026,POL-021|POL-024,Enterprise PMO,INIT-21,Enterprise PMO,2026-05-01,0.8,true,
INIT-022,Retail Media Data Clean Room 3,Chief Data Officer,Store Technology,In Design,P2 Diagnose,2026-04-01,2026-03-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-DATA-006|CI-APP-013,CON-CISCO-2026,POL-022|POL-025,Enterprise PMO,INIT-22,Enterprise PMO,2026-05-01,0.8,true,
INIT-023,Inventory Accuracy AI 3,Chief Financial Officer,Supply Chain Technology,Approved,P3 Design,2026-05-01,2026-04-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-007|CI-SVC-014,CON-VEEAM-2026,POL-023|POL-026,Enterprise PMO,INIT-23,Enterprise PMO,2026-05-01,0.8,true,
INIT-024,Cloud Cost Governance 3,Chief Operating Officer,Customer Data Platform Office,In Flight,P4 Roadmap,2026-06-01,2026-05-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SVC-008|CI-DATA-015,CON-HASHICORP-2026,POL-024|POL-027,Enterprise PMO,INIT-24,Enterprise PMO,2026-05-01,0.8,true,
INIT-025,CDP Vendor Selection 4,Chief Information Officer,Merchandising Analytics,Proposed,P1 Charter,2026-01-01,2026-06-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-DATA-009|CI-APP-016,CON-QLIK-2026,POL-025|POL-028,Enterprise PMO,INIT-25,Enterprise PMO,2026-05-01,0.8,true,
INIT-026,Contact Center AI Platform 4,Chief Data Officer,Contact Center Technology,In Design,P2 Diagnose,2026-02-01,2026-07-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-010|CI-SVC-017,CON-QUALTRICS-2026,POL-026|POL-029,Enterprise PMO,INIT-26,Enterprise PMO,2026-05-01,0.8,true,
INIT-027,Store Associate Productivity Tools 4,Chief Financial Officer,Cloud Platform Services,Approved,P3 Design,2026-03-01,2026-08-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SVC-011|CI-DATA-018,CON-WORKDAY-2026,POL-027|POL-030,Enterprise PMO,INIT-27,Enterprise PMO,2026-05-01,0.8,true,
INIT-028,AMS Consolidation Renewal 4,Chief Operating Officer,Cybersecurity Governance,In Flight,P4 Roadmap,2026-04-01,2026-09-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-DATA-012|CI-APP-019,CON-SAP-2026,POL-028|POL-031,Enterprise PMO,INIT-28,Enterprise PMO,2026-05-01,0.8,true,
INIT-029,Demand Forecasting Control Tower 4,Chief Information Officer,IT Sourcing,Proposed,P1 Charter,2026-05-01,2026-10-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-013|CI-SVC-020,CON-ORACLE-2026,POL-029|POL-032,Enterprise PMO,INIT-29,Enterprise PMO,2026-05-01,0.8,true,
INIT-030,Retail Media Data Clean Room 4,Chief Data Officer,Finance Technology,In Design,P2 Diagnose,2026-06-01,2026-11-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-SVC-014|CI-DATA-021,CON-SALESFORCE-2026,POL-030|POL-001,Enterprise PMO,INIT-30,Enterprise PMO,2026-05-01,0.8,true,
INIT-031,Inventory Accuracy AI 4,Chief Financial Officer,Commerce Platform Engineering,Approved,P3 Design,2026-01-01,2026-12-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-DATA-015|CI-APP-022,CON-SEGMENT-2026,POL-031|POL-002,Enterprise PMO,INIT-31,Enterprise PMO,2026-05-01,0.8,true,
INIT-032,Cloud Cost Governance 4,Chief Operating Officer,Store Technology,In Flight,P4 Roadmap,2026-02-01,2026-01-28,"Improve service reliability, reduce operational friction, and strengthen decision evidence.",CI-APP-016|CI-SVC-023,CON-BLUEYONDER-2026,POL-032|POL-003,Enterprise PMO,INIT-32,Enterprise PMO,2026-05-01,0.8,true,
