integration_id,source_system,target_system,interface_type,protocol_or_standard,cadence,data_domain,avg_daily_volume,latency_sla_minutes,failure_rate_30d_pct,owning_team,control_gap,evidence_id
FC-INT-0001,Featurespace SAR Filing,ServiceNow CMDB,EDI,NACHA ACH,near_real_time,core,3364225,60,0.14,Integration & API Platform,none_reported,FC-EVID-013
FC-INT-0002,Alkami Digital Onboarding,Oracle Expense,Streaming,SFTP batch,near_real_time,core,3367478,15,1.42,Integration & API Platform,none_reported,FC-EVID-016
FC-INT-0003,Q2 Online Banking,Temenos GL Posting Engine 4,API,REST/JSON OAuth2,intraday,risk,3811711,5,1.17,Integration & API Platform,none_reported,FC-EVID-030
FC-INT-0004,SAS Sanctions Screening,Murex Credit Risk Engine 3,FHIR_NA,MQ Series,streaming,treasury,1783674,1,1.13,Integration & API Platform,none_reported,FC-EVID-023
FC-INT-0005,Thought Machine Loan Servicing,Moody's Limits Manager,MQ,Kafka stream,batch_daily,aml_fraud,1385702,240,0.71,Integration & API Platform,none_reported,FC-EVID-017
FC-INT-0006,Calypso Collateral Manager,dbt Labs Catalog & Lineage,Streaming,SFTP batch,batch_daily,payments,1721463,60,0.17,Integration & API Platform,none_reported,FC-EVID-004
FC-INT-0007,Databricks BI Semantic Layer 2,FIS Covenant Tracker 2,MQ,Kafka stream,near_real_time,aml_fraud,3890580,15,1.01,Integration & API Platform,none_reported,FC-EVID-017
FC-INT-0008,Fiserv Account Master 3,Marqeta Card Issuance 3,EDI,NACHA ACH,streaming,customer,566311,60,1.07,Integration & API Platform,none_reported,FC-EVID-030
FC-INT-0009,Microsoft Dynamics Customer 360,BlackRock Aladdin Performance Reporting,Streaming,SFTP batch,batch_daily,risk,724622,60,1.43,Integration & API Platform,none_reported,FC-EVID-004
FC-INT-0010,Q2 Spreading Engine 2,Backbase Campaign Engine,ISO20022,ISO 20022 pacs/pain,intraday,cards,2514371,5,1.70,Integration & API Platform,none_reported,FC-EVID-034
FC-INT-0011,BlackRock Aladdin Advisory Workstation 3,Collibra ML Serving 2,FHIR_NA,MQ Series,batch_daily,payments,2130946,15,1.28,Integration & API Platform,no_replay,FC-EVID-033
FC-INT-0012,Thought Machine Loan Servicing 3,Kyriba Liquidity Monitor 3,Streaming,SFTP batch,batch_daily,risk,633179,60,1.79,Integration & API Platform,none_reported,FC-EVID-008
FC-INT-0013,Thought Machine Account Master 4,Numerix Limits Manager 2,MQ,Kafka stream,streaming,treasury,3925739,5,1.21,Integration & API Platform,manual_repair,FC-EVID-022
FC-INT-0014,Envestnet Advisory Workstation 2,Thought Machine Loan Servicing 2,File,SWIFT MT/MX,intraday,payments,3957954,1,0.68,Integration & API Platform,none_reported,FC-EVID-034
