event_id,event_type,product_family_id,severity,opened_at,capa_id,audit_reference,opco,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
RISK-001,SOX control,PF-LSH-HOLDCO-001,low,2025-09-01,CAPA-001,SOX-ITGC,Holdco,GRC register,grc-register-0001,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-002,PCI scope,PF-NLS-002,medium,2025-09-06,,PCI-DSS,Northline,GRC register,grc-register-0002,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-003,GDPR transfer,PF-BMS-003,high,2025-09-11,,GDPR-DPIA,Brightmark,GRC register,grc-register-0003,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-004,Vendor risk,PF-FFF-004,critical,2025-09-16,CAPA-004,Vendor-TPRM,Forge & Field,GRC register,grc-register-0004,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-005,AI policy exception,PF-GLP-005,low,2025-09-21,,AI-GOV,Great Lakes Pantry,GRC register,grc-register-0005,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-006,Security incident,PF-LSH-HOLDCO-006,medium,2025-09-26,,SOX-ITGC,Holdco,GRC register,grc-register-0006,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-007,SOX control,PF-NLS-007,high,2025-10-01,CAPA-007,PCI-DSS,Northline,GRC register,grc-register-0007,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-008,PCI scope,PF-BMS-008,critical,2025-10-06,,GDPR-DPIA,Brightmark,GRC register,grc-register-0008,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-009,GDPR transfer,PF-FFF-009,low,2025-10-11,,Vendor-TPRM,Forge & Field,GRC register,grc-register-0009,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-010,Vendor risk,PF-GLP-010,medium,2025-10-16,CAPA-010,AI-GOV,Great Lakes Pantry,GRC register,grc-register-0010,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-011,AI policy exception,PF-LSH-HOLDCO-011,high,2025-10-21,,SOX-ITGC,Holdco,GRC register,grc-register-0011,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-012,Security incident,PF-NLS-012,critical,2025-10-26,,PCI-DSS,Northline,GRC register,grc-register-0012,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-013,SOX control,PF-BMS-013,low,2025-10-31,CAPA-013,GDPR-DPIA,Brightmark,GRC register,grc-register-0013,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-014,PCI scope,PF-FFF-014,medium,2025-11-05,,Vendor-TPRM,Forge & Field,GRC register,grc-register-0014,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-015,GDPR transfer,PF-GLP-015,high,2025-11-10,,AI-GOV,Great Lakes Pantry,GRC register,grc-register-0015,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-016,Vendor risk,PF-LSH-HOLDCO-016,critical,2025-11-15,CAPA-016,SOX-ITGC,Holdco,GRC register,grc-register-0016,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-017,AI policy exception,PF-NLS-017,low,2025-11-20,,PCI-DSS,Northline,GRC register,grc-register-0017,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-018,Security incident,PF-BMS-018,medium,2025-11-25,,GDPR-DPIA,Brightmark,GRC register,grc-register-0018,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-019,SOX control,PF-FFF-019,high,2025-11-30,CAPA-019,Vendor-TPRM,Forge & Field,GRC register,grc-register-0019,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-020,PCI scope,PF-GLP-020,critical,2025-12-05,,AI-GOV,Great Lakes Pantry,GRC register,grc-register-0020,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-021,GDPR transfer,PF-LSH-HOLDCO-001,low,2025-12-10,,SOX-ITGC,Holdco,GRC register,grc-register-0021,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-022,Vendor risk,PF-NLS-002,medium,2025-12-15,CAPA-022,PCI-DSS,Northline,GRC register,grc-register-0022,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-023,AI policy exception,PF-BMS-003,high,2025-12-20,,GDPR-DPIA,Brightmark,GRC register,grc-register-0023,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
RISK-024,Security incident,PF-FFF-004,critical,2025-12-25,,Vendor-TPRM,Forge & Field,GRC register,grc-register-0024,Chief Risk and Compliance Officer,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
