tenant_key,entity_id,entity_name,entity_short_name,entity_scope,parent_entity_id,parent_entity_name,metric_id,metric_name,metric_definition,metric_owner,unit,target_value,baseline_source,data_provider_name,data_provider_role,source_artifact_type,source_artifact_name,capture_method,extraction_method,generated_by,validated_by,source_validation_status,source_as_of_date,known_gaps
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-MET-001,Analytics maintenance share,Share of data/analytics resources consumed by maintenance and ad hoc work.,CDAO,percent,not_loaded,maintenance resources / total analytics resources,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-MET-002,Net-new analytics capacity share,Share of resources available for net-new analytics delivery.,CDAO,percent,not_loaded,net-new resources / total analytics resources,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-MET-003,Medallion certification status,Whether bronze/silver/gold data product layers are certified.,Data Platform,status,not_loaded,evidence review,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-MET-004,Governance operating model status,"Whether formal stewardship, semantic ownership, and quality gates exist.",CDAO,status,not_loaded,evidence review,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-MET-005,Unified clinical + claims lakehouse baseline readiness,Evidence readiness for Unified clinical + claims lakehouse.,Operations,status,not_loaded,phase evidence checklist,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-MET-006,Governed data foundation for AI / LLM automation baseline readiness,Evidence readiness for Governed data foundation for AI / LLM automation.,Operations,status,not_loaded,phase evidence checklist,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-MET-007,Call center optimization baseline readiness,Evidence readiness for Call center optimization.,Operations,status,not_loaded,phase evidence checklist,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-MET-008,Provider quality and performance baseline readiness,Evidence readiness for Provider quality and performance.,Clinical,status,not_loaded,phase evidence checklist,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-MET-009,End-to-end cost transparency baseline readiness,Evidence readiness for End-to-end cost transparency.,Finance,status,not_loaded,phase evidence checklist,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
meridian-health,MER-HS,Meridian Health System,Meridian,enterprise,,,MER-MET-010,Payment integrity and leakage reduction baseline readiness,Evidence readiness for Payment integrity and leakage reduction.,Finance,status,not_loaded,phase evidence checklist,AbarVa synthetic data steward,Synthetic data generation,repo_generated_current_state_pack,meridian-health-v6-v7-current-state-v1,tenant_config_plus_deterministic_derivation,scripts/lib/v6-v7/tenant-pack-builder.mjs,scripts/tenant-v6/generate-tenant-v6-pack.mjs,scripts/tenant-v6/validate-tenant-v6-pack.mjs,synthetic_demo_manifest_gated,2026-07-09,"Synthetic PHI-free planning-grade substrate; not real Meridian production data. | AWS Databricks aspiration is not proof that the platform foundation is complete. | No certified medallion architecture is loaded. | No platform, network, or security foundation evidence is loaded. | No formal data governance operating model is loaded. | Do not convert planning hypotheses into realized ROI or audited clinical/financial claims."
