tenant_key,application_id,application_name,business_domain,business_owner_role,owning_team_id,owning_team_name,executive_owner_role,technical_owner_role,source_basis,source_files,confidence,caveat,source_file,source_row,value_source
skyharbor-air,APP-00001,Security-Custom-Suite-0001,Analytics,VP Cloud Platform,SHA-IT-010,AWS Cloud Platform Engineering,VP Cloud Platform,Cloud,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,2,tenant_file
skyharbor-air,APP-00002,Disruption-Snowflake-Manager-0002,SaaS,,Data & Analytics,Data & Analytics,,Data & Analytics,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,3,tenant_file
skyharbor-air,APP-00003,Digital-SITA-Platform-0003,Data Platform,VP Corporate Platforms,SHA-IT-013,SAP and Corporate Systems,VP Corporate Platforms,ERP,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,4,tenant_file
skyharbor-air,APP-00004,Crew-TCS-Hub-0004,Analytics,,EUC,EUC,,EUC,V4 application row with unresolved owner join,F03_it-org-ownership.csv; F05_applications-systems.csv,0.50,Requires client validation for exact team ownership.,family-8-semantic-enrichment/F19_team-application-ownership.csv,5,tenant_file
skyharbor-air,APP-00005,Corporate-SITA-Service-0005,Data Platform,VP Enterprise Platforms,SHA-IT-009,Enterprise Platforms / IBM Z,VP Enterprise Platforms,Mainframe,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,6,tenant_file
skyharbor-air,APP-00006,Airworthiness-ServiceNow-Hub-0006,Data Platform,VP Enterprise Platforms,SHA-IT-009,Enterprise Platforms / IBM Z,VP Enterprise Platforms,Mainframe,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,7,tenant_file
skyharbor-air,APP-00007,Corporate-Lufthansa Systems-Engine-0007,Data Platform,VP Data Platforms,SHA-IT-011,Data Platforms and BI,VP Data Platforms,EUC,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,8,tenant_file
skyharbor-air,APP-00008,Inventory-Sabre-Suite-0008,Data Platform,VP Data Platforms,SHA-IT-011,Data Platforms and BI,VP Data Platforms,Data & Analytics,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,9,tenant_file
skyharbor-air,APP-00009,Customer-ServiceNow-Suite-0009,Data Platform,VP Data Platforms,SHA-IT-011,Data Platforms and BI,VP Data Platforms,Network,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,10,tenant_file
skyharbor-air,APP-00010,Real-Oracle-Service-0010,Analytics,VP Enterprise Platforms,SHA-IT-009,Enterprise Platforms / IBM Z,VP Enterprise Platforms,Mainframe,direct or domain-matched V4 application-to-team ownership,F03_it-org-ownership.csv; F05_applications-systems.csv,0.78,Team/domain accountability is loaded.,family-8-semantic-enrichment/F19_team-application-ownership.csv,11,tenant_file
