contract_id,vendor_id,vendor_public_reference,contract_type,service_tower,business_function,scope,effective_date,expiration_date,term_status,pricing_model,value_disclosure_mode,termination_rights,minimum_commitment,rate_card_id,service_credit_terms,inflation_provision,change_control_terms,subcontracting_terms,data_residency,transition_assistance,sla_history_source,invoice_source,change_order_source,lot_id,proposal_id,bafo_revision_id,evaluation_criteria_id,risk_note
CONT-HCDN-0001,VEND-HCDN-008,Synthetic Healthcare Supplier 008,SOW,Payer Platform Operations,Revenue Cycle,claims operations,2021-02-01,2027-12-31,renewal within 24 months,T&M,range,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-002,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-002,SRC-HCDN-INV-002,SRC-HCDN-CO-002,LOT-HCDN-02,,,EVAL-HCDN-002,standard commercial review
CONT-HCDN-0002,VEND-HCDN-015,Synthetic Healthcare Supplier 015,rate card,Data Analytics and AI,Patient Access,Medicare Advantage quality services,2022-03-01,2028-12-31,active multi-year,unit rate,indexed,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-003,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-003,SRC-HCDN-INV-003,SRC-HCDN-CO-003,LOT-HCDN-03,,,EVAL-HCDN-003,standard commercial review
CONT-HCDN-0003,VEND-HCDN-022,Synthetic Healthcare Supplier 022,Epic support agreement,Revenue Cycle Technology,Interoperability,risk adjustment analytics,2023-04-01,2026-12-31,extension option,per member per month,trend-only,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-004,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-004,SRC-HCDN-INV-004,SRC-HCDN-CO-004,LOT-HCDN-04,PROP-HCDN-01,,EVAL-HCDN-004,standard commercial review
CONT-HCDN-0004,VEND-HCDN-029,Synthetic Healthcare Supplier 029,claims admin agreement,Cloud Infrastructure and Data Center,Population Health,prior authorization operations,2020-05-01,2027-12-31,transition assistance required,per claim,withheld,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-005,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance explicit,SRC-HCDN-SLA-005,SRC-HCDN-INV-005,SRC-HCDN-CO-005,LOT-HCDN-05,,,EVAL-HCDN-005,standard commercial review
CONT-HCDN-0005,VEND-HCDN-036,Synthetic Healthcare Supplier 036,PBM services SOW,Workplace and Contact Center,Health Plan Operations,revenue-cycle outsourcing,2021-06-01,2028-12-31,exit rights need review,per encounter,exact,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-006,service credits capped and under-defined,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-006,SRC-HCDN-INV-006,SRC-HCDN-CO-006,LOT-HCDN-06,,,EVAL-HCDN-006,standard commercial review
CONT-HCDN-0006,VEND-HCDN-043,Synthetic Healthcare Supplier 043,BPO services SOW,Security Identity and Compliance,Medicare Advantage,cloud/data platform operations,2022-07-01,2026-12-31,renewal within 12 months,consumption,range,termination for convenience with notice,no minimum beyond SOW baseline,RATE-HCDN-007,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-007,SRC-HCDN-INV-007,SRC-HCDN-CO-007,LOT-HCDN-07,PROP-HCDN-01,BAFO-HCDN-01,EVAL-HCDN-007,standard commercial review
CONT-HCDN-0007,VEND-HCDN-050,Synthetic Healthcare Supplier 050,cloud commit,Integration and Interoperability,Claims Operations,SQL Server/EDW managed services,2023-08-01,2027-12-31,renewal within 24 months,hybrid fixed plus variable,indexed,standard termination rights,minimum annual commitment applies,RATE-HCDN-008,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-008,SRC-HCDN-INV-008,SRC-HCDN-CO-008,LOT-HCDN-08,,,EVAL-HCDN-008,standard commercial review
CONT-HCDN-0008,VEND-HCDN-057,Synthetic Healthcare Supplier 057,data platform subscription,ERP and Corporate Platforms,Utilization Management,contact center operations,2020-09-01,2028-12-31,active multi-year,committed spend,trend-only,termination limited during transition,no minimum beyond SOW baseline,RATE-HCDN-009,standard service credits,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance explicit,SRC-HCDN-SLA-009,SRC-HCDN-INV-009,SRC-HCDN-CO-009,LOT-HCDN-09,,,EVAL-HCDN-009,high exit-term sensitivity
CONT-HCDN-0009,VEND-HCDN-064,Synthetic Healthcare Supplier 064,software subscription,Clinical and Epic AMS,Member Services,payment integrity,2021-01-01,2026-12-31,extension option,outcome-linked,withheld,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-010,standard service credits,CPI escalator above threshold,standard change-control language,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-010,SRC-HCDN-INV-010,SRC-HCDN-CO-010,LOT-HCDN-01,PROP-HCDN-01,,EVAL-HCDN-010,standard commercial review
CONT-HCDN-0010,VEND-HCDN-071,Synthetic Healthcare Supplier 071,professional services SOW,Payer Platform Operations,Quality and Stars,identity/security operations,2022-02-01,2027-12-31,transition assistance required,fixed fee,exact,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-011,service credits capped and under-defined,fixed or negotiated escalator,standard change-control language,subcontracting permitted with controls,PHI/data residency review required,transition assistance to confirm,SRC-HCDN-SLA-011,SRC-HCDN-INV-011,SRC-HCDN-CO-011,LOT-HCDN-02,,,EVAL-HCDN-011,supplier concentration
CONT-HCDN-0011,VEND-HCDN-078,Synthetic Healthcare Supplier 078,maintenance agreement,Data Analytics and AI,Risk Adjustment,interoperability services,2023-03-01,2028-12-31,exit rights need review,T&M,range,standard termination rights,no minimum beyond SOW baseline,RATE-HCDN-012,standard service credits,fixed or negotiated escalator,change-control ambiguity,subcontracting permitted with controls,US data residency,transition assistance to confirm,SRC-HCDN-SLA-012,SRC-HCDN-INV-012,SRC-HCDN-CO-012,LOT-HCDN-03,,,EVAL-HCDN-012,standard commercial review
