tenant_key,dimension_key,dimension_name,evidence_refs,relationship_edges,gaps,validation_status,generated_by
meridian-health,00_enterprise_profile,Enterprise Profile,6,1,1,passed,approved_executive_narrative_seed
meridian-health,01_business_functions,Business Functions,6,1,1,passed,approved_executive_narrative_seed
meridian-health,02_org_ownership,Org Ownership,6,1,1,passed,approved_executive_narrative_seed
meridian-health,03_workforce_roles,Workforce Roles,6,1,1,passed,approved_executive_narrative_seed
meridian-health,04_applications_systems,Applications & Systems,6,2,3,passed,approved_executive_narrative_seed
meridian-health,05_data_assets_integrations,Data Assets & Integrations,6,1,2,passed,approved_executive_narrative_seed
meridian-health,06_infrastructure_platforms,Infrastructure & Platforms,6,1,1,passed,approved_executive_narrative_seed
meridian-health,07_vendors_contracts,Vendors & Contracts,6,1,1,passed,approved_executive_narrative_seed
meridian-health,08_it_budget_spend_value,"IT Budget, Spend & Value",6,1,1,passed,approved_executive_narrative_seed
meridian-health,09_programs_initiatives,Programs & Initiatives,6,1,1,passed,approved_executive_narrative_seed
meridian-health,10_ai_automation_use_cases,AI & Automation Use Cases,6,1,2,passed,approved_executive_narrative_seed
meridian-health,11_risks_controls,Risks & Controls,6,1,2,passed,approved_executive_narrative_seed
meridian-health,12_relationships,Relationships,6,2,1,passed,approved_executive_narrative_seed
meridian-health,13_evidence_sources,Evidence Sources,6,1,1,passed,approved_executive_narrative_seed
meridian-health,14_metrics_outcomes,Metrics & Outcomes,6,1,1,passed,approved_executive_narrative_seed
meridian-health,15_industry_context_patterns,Industry Context Patterns,6,1,1,passed,approved_executive_narrative_seed
meridian-health,16_expert_lenses,Expert Lenses,6,1,1,passed,approved_executive_narrative_seed
meridian-health,17_managed_services_scope,Managed Services Scope,6,1,1,passed,approved_executive_narrative_seed
meridian-health,18_operational_process_evidence,Operational Process Evidence,6,1,2,passed,approved_executive_narrative_seed
