tenant_key,vendor_name,contract_name,service_category,business_owner,contract_owner,annual_spend_usd,term_start,term_end,renewal_date,commercial_model,supported_systems,supported_functions,risk_rating,pricing_history,utilization_evidence,contract_terms_detail,renegotiation_levers,source_file,source_date,confidence,known_gaps,auto_renew_flag,notice_period_days,benchmark_clause,exit_cost_usd,concentration_risk
meridian-health,Epic Systems Corporation,Epic Systems Corporation Rate Card Agreement,EHR / core clinical & revenue-cycle platform,CMIO,VP Epic Applications,86184000,2023-09-01,2028-12-31,2027-12-30,time_and_materials,Epic Hyperspace — Production; Epic Hyperspace — Test; Epic Hyperspace — Training; Epic Chronicles — Production; Epic Chronicles — Test; Epic Chronicles — Training,Clinical Informatics,medium,FY25 $82.87M → FY26 $86.18M (+4.0%). Increase driven by list-price uplift and added entitlements under the time_and_materials model; no corresponding change in contracted scope was recorded.,8% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2028-12-31, auto-renewing for 12 months unless written notice is given 60 days before term end. time_and_materials commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 8% unused entitlements at renewal — approximately $4.14M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 60-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,120,none,15703000,high
meridian-health,Microsoft Corporation,Microsoft Corporation Rate Card Agreement,productivity (Microsoft 365) / on-prem identity; no live cloud data platform contracted,CIO,VP Infrastructure & Cloud,44989000,2023-11-01,2030-12-31,2029-09-30,fixed_annual_fee,(no 04_applications_systems row for Microsoft Corporation — services/advisory engagement only),Information Technology & Digital,medium,FY25 $40.53M → FY26 $44.99M (+11.0%). Increase driven by list-price uplift and added entitlements under the fixed_annual_fee model; no corresponding change in contracted scope was recorded.,19% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2030-12-31, auto-renewing for 12 months unless written notice is given 90 days before term end. fixed_annual_fee commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 19% unused entitlements at renewal — approximately $5.13M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 90-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,180,yes_annual,7107000,medium
meridian-health,Cerner Corporation (Oracle Health),Cerner Corporation Rate Card Agreement,legacy EHR (single-hospital residual),VP HR Business Partnering,"Director, Vendor & Contract Management",6574000,2021-02-01,2027-12-31,2026-12-30,per_user_subscription,Cerner Millennium (legacy — St. Anselm),Clinical Informatics,low,FY25 $6.32M → FY26 $6.57M (+4.0%). Increase driven by list-price uplift and added entitlements under the per_user_subscription model; no corresponding change in contracted scope was recorded.,30% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"5-year term ending 2027-12-31, auto-renewing for 12 months unless written notice is given 120 days before term end. per_user_subscription commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 30% unused entitlements at renewal — approximately $1.18M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 120-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,60,yes_once_per_term,3160000,low
meridian-health,GE HealthCare,GE HealthCare Enterprise License Agreement,imaging / PACS / biomed devices,VP Data & AI Platforms,"Director, Vendor & Contract Management",7941000,2022-09-01,2026-12-31,2025-09-30,time_and_materials,GE HealthCare PACS (Radiology Imaging) — Meridian Regional Medical Center; GE HealthCare PACS (Radiology Imaging) — St. Anselm Community Hospital; GE HealthCare PACS (Radiology Imaging) — Meridian West Hospital; GE HealthCare PACS (Radiology Imaging) — Cedar Bluff Specialty Hospital; GE HealthCare PACS (Radiology Imaging) — Meridian Cancer Institute; GE HealthCare PACS (Radiology Imaging) — Meridian Children's Hospital,Acute Care Clinical Operations,medium,FY25 $7.15M → FY26 $7.94M (+11.0%). Increase driven by list-price uplift and added entitlements under the time_and_materials model; no corresponding change in contracted scope was recorded.,14% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2026-12-31, auto-renewing for 12 months unless written notice is given 180 days before term end. time_and_materials commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 14% unused entitlements at renewal — approximately $0.67M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 180-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,90,none,2830000,low
meridian-health,Philips Healthcare,Philips Healthcare Subscription Services Agreement,imaging / patient monitoring,VP Pharmacy Services,"Director, Vendor & Contract Management",1930000,2022-08-01,2029-12-31,2028-06-30,tiered_volume,Philips Patient Monitoring Network — Meridian Regional Medical Center; Philips Patient Monitoring Network — St. Anselm Community Hospital; Philips Patient Monitoring Network — Meridian West Hospital; Philips Patient Monitoring Network — Cedar Bluff Specialty Hospital; Philips Patient Monitoring Network — Meridian Cancer Institute; Philips Patient Monitoring Network — Meridian Children's Hospital,Acute Care Clinical Operations,medium,FY25 $1.86M → FY26 $1.93M (+4.0%). Increase driven by list-price uplift and added entitlements under the tiered_volume model; no corresponding change in contracted scope was recorded.,25% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2029-12-31, auto-renewing for 12 months unless written notice is given 60 days before term end. tiered_volume commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 25% unused entitlements at renewal — approximately $0.29M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 60-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,90,yes_once_per_term,925000,low
meridian-health,Sunquest Information Systems,Sunquest Information Systems Enterprise License Agreement,laboratory information system interfaces,VP HR Business Partnering,"Director, Vendor & Contract Management",8646000,2020-08-01,2023-12-31,2022-12-30,per_user_subscription,Sunquest Laboratory Information System Interface — Meridian Regional Medical Center; Sunquest Laboratory Information System Interface — St. Anselm Community Hospital; Sunquest Laboratory Information System Interface — Meridian West Hospital; Sunquest Laboratory Information System Interface — Cedar Bluff Specialty Hospital; Sunquest Laboratory Information System Interface — Meridian Cancer Institute; Sunquest Laboratory Information System Interface — Meridian Children's Hospital,Acute Care Clinical Operations,medium,FY25 $7.79M → FY26 $8.65M (+11.0%). Increase driven by list-price uplift and added entitlements under the per_user_subscription model; no corresponding change in contracted scope was recorded.,9% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"5-year term ending 2023-12-31, auto-renewing for 12 months unless written notice is given 90 days before term end. per_user_subscription commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 9% unused entitlements at renewal — approximately $0.47M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 90-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,90,yes_once_per_term,2940000,low
meridian-health,Haemonetics (SafeTrace Tx),Haemonetics Subscription Services Agreement,blood bank / transfusion management,VP Risk Adjustment & RAF Programs,"Director, Vendor & Contract Management",350000,2021-05-01,2028-12-31,2027-09-30,per_member_per_month,SafeTrace Tx Blood Bank System — Meridian Regional Medical Center; SafeTrace Tx Blood Bank System — St. Anselm Community Hospital; SafeTrace Tx Blood Bank System — Meridian West Hospital; SafeTrace Tx Blood Bank System — Cedar Bluff Specialty Hospital; SafeTrace Tx Blood Bank System — Meridian Cancer Institute; SafeTrace Tx Blood Bank System — Meridian Children's Hospital,Acute Care Clinical Operations,low,FY25 $0.34M → FY26 $0.35M (+4.0%). Increase driven by list-price uplift and added entitlements under the per_member_per_month model; no corresponding change in contracted scope was recorded.,20% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2028-12-31, auto-renewing for 12 months unless written notice is given 120 days before term end. per_member_per_month commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 20% unused entitlements at renewal — approximately $0.04M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 120-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,30,yes_annual,100000,low
meridian-health,Vocera Communications,Vocera Communications Master Services Agreement (Amendment 2),clinical communication devices,VP Risk Adjustment & RAF Programs,"Director, Vendor & Contract Management",5306000,2020-06-01,2024-12-31,2023-12-30,per_member_per_month,Vocera Clinical Communication Platform — Meridian Regional Medical Center; Vocera Clinical Communication Platform — St. Anselm Community Hospital; Vocera Clinical Communication Platform — Meridian West Hospital; Vocera Clinical Communication Platform — Cedar Bluff Specialty Hospital; Vocera Clinical Communication Platform — Meridian Cancer Institute; Vocera Clinical Communication Platform — Meridian Children's Hospital,Clinical Informatics,medium,FY25 $4.78M → FY26 $5.31M (+11.0%). Increase driven by list-price uplift and added entitlements under the per_member_per_month model; no corresponding change in contracted scope was recorded.,31% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2024-12-31, auto-renewing for 12 months unless written notice is given 180 days before term end. per_member_per_month commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 31% unused entitlements at renewal — approximately $0.99M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 180-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,90,none,2004000,low
meridian-health,Imprivata,Imprivata Software License & Support Agreement,clinical single sign-on / badge tap authentication,VP Risk Adjustment & RAF Programs,"Director, Vendor & Contract Management",3599000,2023-08-01,2029-12-31,2028-12-30,per_bed_per_month,Imprivata Clinical Single Sign-On,Clinical Informatics,medium,FY25 $3.46M → FY26 $3.60M (+4.0%). Increase driven by list-price uplift and added entitlements under the per_bed_per_month model; no corresponding change in contracted scope was recorded.,15% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"5-year term ending 2029-12-31, auto-renewing for 12 months unless written notice is given 60 days before term end. per_bed_per_month commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 15% unused entitlements at renewal — approximately $0.32M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 60-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,90,yes_annual,1627000,low
meridian-health,Change Healthcare,Change Healthcare Master Services Agreement (Amendment 2),EDI clearinghouse / claims transactions,VP Patient Access & Registration,"Director, Vendor & Contract Management",375000,2019-11-01,2025-12-31,2024-09-30,time_and_materials,Change Healthcare EDI Clearinghouse Gateway,Health Plan & Payer Operations,medium,FY25 $0.34M → FY26 $0.38M (+11.0%). Increase driven by list-price uplift and added entitlements under the time_and_materials model; no corresponding change in contracted scope was recorded.,26% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2025-12-31, auto-renewing for 12 months unless written notice is given 90 days before term end. time_and_materials commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 26% unused entitlements at renewal — approximately $0.06M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 90-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,90,yes_annual,90000,low
