initiative_id,vendor_or_tool,ytd_spend_usd,annual_budget_usd,contract_value_usd,renewal_date,unit_economic_note
LAK-AI-001,Kyriba,9460000,15480000,950000,2026-07-06,Scale only after evidence gate
LAK-AI-002,SAP,3584000,5628000,1675000,2026-08-07,Within portfolio threshold
LAK-AI-003,BlackLine,5694000,8658000,2400000,2026-09-08,Within portfolio threshold
LAK-AI-004,Oracle Hyperion,7544000,11178000,3125000,2026-10-09,Within portfolio threshold
LAK-AI-005,Power BI,2548000,2520000,3850000,2026-11-10,Scale only after evidence gate
LAK-AI-006,Tableau,1870000,3417000,4575000,2026-12-11,Within portfolio threshold
LAK-AI-007,Informatica,3328000,5772000,5300000,2026-07-12,Within portfolio threshold
LAK-AI-008,DataStage,1606000,2673000,6025000,2026-08-13,Within portfolio threshold
LAK-AI-009,Coupa,14104000,15480000,6750000,2026-09-14,Scale only after evidence gate
LAK-AI-010,Kinaxis,5096000,5628000,7475000,2026-10-15,Within portfolio threshold
