tenant_key,from_object_type,from_object_name,relationship_type,to_object_type,to_object_name,relationship_strength,evidence_basis,current_state_or_target_state,source_file,source_date,confidence,known_gaps,record_id,evidence_id,source_row_id,dimension_key,dimension_name,active_candidate_status,candidate_contract_version,load_run_id,generated_at,generation_method,source_basis,truth_statement
skyharbor-air,system,crew scheduling platform,depends_on,program,Passenger Service Modernization,medium,SHA-EVID-07201,target_state_planning_grade_active,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,high,PCI evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,SHA-12-00001,SHA-EVID-07201,SHA-12_RELATIONSHIPS-SRC-00001,12_relationships,Relationships,active_planning_grade,skyharbor-air-rich-standard-active-planning-20260721,SHA-RELATIONSHIP-PROMOTION-20260721,2026-07-21T16:51:28.062Z,validated_candidate_promotion,validated promotion from rich synthetic airline relationship candidate,Planning-grade synthetic airline relationship context; not real airline production data and not client-certified.
skyharbor-air,data_asset,flight planning platform,feeds,ai_candidate,Passenger rebooking personalization,high,SHA-EVID-07202,current_state_planning_grade_active,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,medium,cyber risk evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,SHA-12-00002,SHA-EVID-07202,SHA-12_RELATIONSHIPS-SRC-00002,12_relationships,Relationships,active_planning_grade,skyharbor-air-rich-standard-active-planning-20260721,SHA-RELATIONSHIP-PROMOTION-20260721,2026-07-21T16:51:28.062Z,validated_candidate_promotion,validated promotion from rich synthetic airline relationship candidate,Planning-grade synthetic airline relationship context; not real airline production data and not client-certified.
skyharbor-air,program,operations control and IROPS platform,funds,control,Crew Operations Optimization,medium,SHA-EVID-07203,current_state_planning_grade_active,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,medium,identity and access evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,SHA-12-00003,SHA-EVID-07203,SHA-12_RELATIONSHIPS-SRC-00003,12_relationships,Relationships,active_planning_grade,skyharbor-air-rich-standard-active-planning-20260721,SHA-RELATIONSHIP-PROMOTION-20260721,2026-07-21T16:51:28.062Z,validated_candidate_promotion,validated promotion from rich synthetic airline relationship candidate,Planning-grade synthetic airline relationship context; not real airline production data and not client-certified.
skyharbor-air,vendor,maintenance and MRO platform,blocked_by,vendor,Airport turnaround risk predictor,candidate,SHA-EVID-07204,current_state_planning_grade_active,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,high,vendor concentration evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,SHA-12-00004,SHA-EVID-07204,SHA-12_RELATIONSHIPS-SRC-00004,12_relationships,Relationships,active_planning_grade,skyharbor-air-rich-standard-active-planning-20260721,SHA-RELATIONSHIP-PROMOTION-20260721,2026-07-21T16:51:28.062Z,validated_candidate_promotion,validated promotion from rich synthetic airline relationship candidate,Planning-grade synthetic airline relationship context; not real airline production data and not client-certified.
skyharbor-air,risk_control,cargo management platform,owned_by,metric,Airport Turnaround Performance Program,medium,SHA-EVID-07205,current_state_planning_grade_active,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,high,model explainability evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,SHA-12-00005,SHA-EVID-07205,SHA-12_RELATIONSHIPS-SRC-00005,12_relationships,Relationships,active_planning_grade,skyharbor-air-rich-standard-active-planning-20260721,SHA-RELATIONSHIP-PROMOTION-20260721,2026-07-21T16:51:28.062Z,validated_candidate_promotion,validated promotion from rich synthetic airline relationship candidate,Planning-grade synthetic airline relationship context; not real airline production data and not client-certified.
skyharbor-air,metric,revenue management platform,supports,data_asset,Loyalty next-best-action assistant,high,SHA-EVID-07206,current_state_planning_grade_active,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,medium,human-in-the-loop operations evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,SHA-12-00006,SHA-EVID-07206,SHA-12_RELATIONSHIPS-SRC-00006,12_relationships,Relationships,active_planning_grade,skyharbor-air-rich-standard-active-planning-20260721,SHA-RELATIONSHIP-PROMOTION-20260721,2026-07-21T16:51:28.062Z,validated_candidate_promotion,validated promotion from rich synthetic airline relationship candidate,Planning-grade synthetic airline relationship context; not real airline production data and not client-certified.
skyharbor-air,system,loyalty platform,depends_on,program,Contact Center Experience Transformation,medium,SHA-EVID-07207,current_state_planning_grade_active,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,medium,incident response evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,SHA-12-00007,SHA-EVID-07207,SHA-12_RELATIONSHIPS-SRC-00007,12_relationships,Relationships,active_planning_grade,skyharbor-air-rich-standard-active-planning-20260721,SHA-RELATIONSHIP-PROMOTION-20260721,2026-07-21T16:51:28.062Z,validated_candidate_promotion,validated promotion from rich synthetic airline relationship candidate,Planning-grade synthetic airline relationship context; not real airline production data and not client-certified.
skyharbor-air,data_asset,ecommerce and mobile app,feeds,ai_candidate,IT incident and change-risk copilot,candidate,SHA-EVID-07208,target_state_planning_grade_active,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,high,airport-local operating variation evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,SHA-12-00008,SHA-EVID-07208,SHA-12_RELATIONSHIPS-SRC-00008,12_relationships,Relationships,active_planning_grade,skyharbor-air-rich-standard-active-planning-20260721,SHA-RELATIONSHIP-PROMOTION-20260721,2026-07-21T16:51:28.062Z,validated_candidate_promotion,validated promotion from rich synthetic airline relationship candidate,Planning-grade synthetic airline relationship context; not real airline production data and not client-certified.
skyharbor-air,program,customer CRM,funds,control,Cloud Resilience and Cyber Program,medium,SHA-EVID-07209,current_state_planning_grade_active,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,high,reservation-system dependency evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,SHA-12-00009,SHA-EVID-07209,SHA-12_RELATIONSHIPS-SRC-00009,12_relationships,Relationships,active_planning_grade,skyharbor-air-rich-standard-active-planning-20260721,SHA-RELATIONSHIP-PROMOTION-20260721,2026-07-21T16:51:28.062Z,validated_candidate_promotion,validated promotion from rich synthetic airline relationship candidate,Planning-grade synthetic airline relationship context; not real airline production data and not client-certified.
skyharbor-air,vendor,contact center platform,blocked_by,vendor,IROPS recovery copilot,high,SHA-EVID-07210,current_state_planning_grade_active,datasets/tenant-inputs/candidates/skyharbor-air/rich-synthetic-2026-07-v3/12_relationships.csv,2026-07-17,medium,cloud resilience evidence requires owner validation; source is synthetic and candidate-only Promoted from candidate after local structural validation; still requires client/source-owner certification.,SHA-12-00010,SHA-EVID-07210,SHA-12_RELATIONSHIPS-SRC-00010,12_relationships,Relationships,active_planning_grade,skyharbor-air-rich-standard-active-planning-20260721,SHA-RELATIONSHIP-PROMOTION-20260721,2026-07-21T16:51:28.062Z,validated_candidate_promotion,validated promotion from rich synthetic airline relationship candidate,Planning-grade synthetic airline relationship context; not real airline production data and not client-certified.
