tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,system_id,system_name,business_capability,system_owner,criticality,lifecycle_status,vendor_id,annual_cost_usd,integrations,data_dependencies,ai_relevance
apex-retail,Apex Retail Group,v6.0,application_system,APX-APP-001,Oracle Retail Merchandising,v4_synthetic_pack,COO,synthetic_demo,family-2-technology-estate/F05_applications-systems.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves,current_state|modernization|dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:vendor_id_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-APP-001,Oracle Retail Merchandising,merchandising,APX-IT-003,critical,invest,data_thin:vendor_id_missing,18200000,8,pci_pii,invest
apex-retail,Apex Retail Group,v6.0,application_system,APX-APP-002,Manhattan Active WMS,v4_synthetic_pack,Chief Digital Officer,synthetic_demo,family-2-technology-estate/F05_applications-systems.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves,current_state|modernization|dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:vendor_id_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-APP-002,Manhattan Active WMS,warehouse,APX-IT-004,critical,optimize,data_thin:vendor_id_missing,16525000,9,internal,optimize
apex-retail,Apex Retail Group,v6.0,application_system,APX-APP-003,IBM Sterling OMS,v4_synthetic_pack,Chief Merchandising Officer,synthetic_demo,family-2-technology-estate/F05_applications-systems.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves,current_state|modernization|dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:vendor_id_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-APP-003,IBM Sterling OMS,order_management,APX-IT-002,critical,contain,data_thin:vendor_id_missing,22050000,10,internal,contain
apex-retail,Apex Retail Group,v6.0,application_system,APX-APP-004,Toshiba POS,v4_synthetic_pack,Chief Supply Chain Officer,synthetic_demo,family-2-technology-estate/F05_applications-systems.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves,current_state|modernization|dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:vendor_id_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-APP-004,Toshiba POS,pos,APX-IT-001,critical,replace_candidate,data_thin:vendor_id_missing,22975000,11,confidential,replace_candidate
apex-retail,Apex Retail Group,v6.0,application_system,APX-APP-005,Salesforce Commerce Cloud,v4_synthetic_pack,Chief Marketing Officer,synthetic_demo,family-2-technology-estate/F05_applications-systems.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves,current_state|modernization|dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:vendor_id_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-APP-005,Salesforce Commerce Cloud,ecommerce,APX-IT-002,critical,invest,data_thin:vendor_id_missing,24600000,12,pci_pii,invest
apex-retail,Apex Retail Group,v6.0,application_system,APX-APP-006,Adobe Experience Cloud,v4_synthetic_pack,CFO,synthetic_demo,family-2-technology-estate/F05_applications-systems.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves,current_state|modernization|dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:vendor_id_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-APP-006,Adobe Experience Cloud,personalization,APX-IT-005,high,optimize,data_thin:vendor_id_missing,13425000,13,internal,optimize
apex-retail,Apex Retail Group,v6.0,application_system,APX-APP-007,Blue Yonder Demand Planning,v4_synthetic_pack,Chief Risk Officer,synthetic_demo,family-2-technology-estate/F05_applications-systems.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves,current_state|modernization|dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:vendor_id_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-APP-007,Blue Yonder Demand Planning,forecasting,APX-IT-003,critical,contain,data_thin:vendor_id_missing,14950000,14,confidential,contain
apex-retail,Apex Retail Group,v6.0,application_system,APX-APP-008,SAP S/4 Finance,v4_synthetic_pack,CIO,synthetic_demo,family-2-technology-estate/F05_applications-systems.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves,current_state|modernization|dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:vendor_id_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-APP-008,SAP S/4 Finance,erp_finance,APX-IT-006,critical,replace_candidate,data_thin:vendor_id_missing,18475000,15,internal,replace_candidate
apex-retail,Apex Retail Group,v6.0,application_system,APX-APP-009,ServiceNow ITSM,v4_synthetic_pack,CHRO,synthetic_demo,family-2-technology-estate/F05_applications-systems.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves,current_state|modernization|dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:vendor_id_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-APP-009,ServiceNow ITSM,itsm,APX-IT-010,high,invest,data_thin:vendor_id_missing,9300000,16,pci_pii,invest
apex-retail,Apex Retail Group,v6.0,application_system,APX-APP-010,Databricks Retail Lakehouse,v4_synthetic_pack,Chief Procurement Officer,synthetic_demo,family-2-technology-estate/F05_applications-systems.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves,current_state|modernization|dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:vendor_id_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-APP-010,Databricks Retail Lakehouse,data_platform,APX-IT-007,critical,optimize,data_thin:vendor_id_missing,16325000,17,confidential,optimize
apex-retail,Apex Retail Group,v6.0,application_system,APX-APP-011,Snowflake Marketing Data Cloud,v4_synthetic_pack,Chief Real Estate Officer,synthetic_demo,family-2-technology-estate/F05_applications-systems.csv,12,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves,current_state|modernization|dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:vendor_id_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-APP-011,Snowflake Marketing Data Cloud,analytics,APX-IT-007,high,contain,data_thin:vendor_id_missing,12150000,18,internal,contain
apex-retail,Apex Retail Group,v6.0,application_system,APX-APP-012,Kronos Workforce Central,v4_synthetic_pack,SVP Private Brands,synthetic_demo,family-2-technology-estate/F05_applications-systems.csv,13,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Tower|Moves,current_state|modernization|dependency|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:vendor_id_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,APX-APP-012,Kronos Workforce Central,workforce,APX-IT-006,critical,replace_candidate,data_thin:vendor_id_missing,13175000,19,internal,replace_candidate
