team_id,team_name,executive_owner_role,domain,head_count_fte,annual_budget_usd,source_file,source_row,value_source
APX-IT-001,Store Systems and POS,VP Store Technology,store_systems,740,210000000,family-1-enterprise-operating-model/F03_it-org-ownership.csv,2,tenant_file
APX-IT-002,Digital Commerce Engineering,SVP Digital Engineering,commerce,920,260000000,family-1-enterprise-operating-model/F03_it-org-ownership.csv,3,tenant_file
APX-IT-003,Merchandising and Planning Systems,VP Merch Tech,merchandising,430,138000000,family-1-enterprise-operating-model/F03_it-org-ownership.csv,4,tenant_file
APX-IT-004,Supply Chain Platforms,VP Supply Chain Tech,supply_chain,520,172000000,family-1-enterprise-operating-model/F03_it-org-ownership.csv,5,tenant_file
APX-IT-005,Customer Data and Loyalty Platforms,VP Customer Platforms,customer,390,124000000,family-1-enterprise-operating-model/F03_it-org-ownership.csv,6,tenant_file
APX-IT-006,ERP and Corporate Systems,VP ERP,erp,350,116000000,family-1-enterprise-operating-model/F03_it-org-ownership.csv,7,tenant_file
APX-IT-007,"Data, Analytics and AI",Chief Data Officer,data_ai,640,184000000,family-1-enterprise-operating-model/F03_it-org-ownership.csv,8,tenant_file
APX-IT-008,Cloud Platform and SRE,VP Cloud Platform,cloud,410,166000000,family-1-enterprise-operating-model/F03_it-org-ownership.csv,9,tenant_file
APX-IT-009,Cybersecurity,CISO,cyber,320,112000000,family-1-enterprise-operating-model/F03_it-org-ownership.csv,10,tenant_file
APX-IT-010,Service Management and End User Tech,VP IT Operations,itsm,480,98000000,family-1-enterprise-operating-model/F03_it-org-ownership.csv,11,tenant_file
