tenant_key,function_name,parent_function,executive_owner,business_capabilities,criticality,annual_budget_usd,fte_count,outsourced_support,current_state_notes,target_state_notes,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
apex-retail,Store Operations,,COO,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,2,APX-BF-001,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Digital Commerce,,Chief Digital Officer,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,3,APX-BF-002,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Merchandising,,Chief Merchandising Officer,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,4,APX-BF-003,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Supply Chain and Fulfillment,,Chief Supply Chain Officer,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,5,APX-BF-004,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Loyalty and Customer Growth,,Chief Marketing Officer,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,6,APX-BF-005,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Finance and FP&A,,CFO,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,7,APX-BF-006,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Loss Prevention and Risk,,Chief Risk Officer,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,8,APX-BF-007,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Technology,,CIO,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,9,APX-BF-008,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Human Resources,,CHRO,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,10,APX-BF-009,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
apex-retail,Procurement and Vendor Management,,Chief Procurement Officer,,,,,,,,datasets/tenant-inputs/active/apex-retail/current/01_business_functions.csv,2026-06-18,medium,none,datasets/tenant-inputs/archive/apex-retail/consolidated-20260714/enterprise-pack/templates/V6_02_business_functions.csv,enterprise-pack,11,APX-BF-010,synthetic-demo,f8c89364b6f33b22233399e8b2848a0c94775709d952ef3032d9b91a42566501,retained_from_active_source,none
