tenant_key,contract_id,vendor,portfolio_company,application_id,application_name,support_type,criticality,confidence,source_template,is_synthetic
lakeshore-holdings,CON-0001,Microsoft,Lakeshore Shared Services,APP-0018,M365 Tenant,supports,high,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0002,Microsoft,Lakeshore Shared Services,APP-0018,M365 Tenant,supports,medium,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0003,ServiceNow,Lakeshore Shared Services,APP-0017,ServiceNow ESM,supports,high,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0004,CrowdStrike,Lakeshore Shared Services,APP-0020,Security Operations Platform,supports,medium,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0005,Workday,Lakeshore Shared Services,APP-0019,Workday HCM/Finance,supports,high,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0006,SAP,Northline Logistics Group,APP-0001,SAP ECC/S4 Finance,supports,high,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0007,Blue Yonder,Northline Logistics Group,APP-0003,Transport Planning,supports,high,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0008,Manhattan Associates,Northline Logistics Group,APP-0002,Warehouse Management System,supports,high,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0009,AWS,Northline Logistics Group,APP-0004,Logistics Data Platform,supports,high,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0010,Kyriba,Northline Logistics Group,APP-0001,SAP ECC/S4 Finance,supports,medium,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0011,Adobe,Crestpoint Marketing Services,APP-0005,Campaign Operations Platform,supports,high,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0011,Adobe,Crestpoint Marketing Services,APP-0008,Creative Asset Workflow,supports,high,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0012,Salesforce,Crestpoint Marketing Services,APP-0007,Client CRM,supports,high,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0013,Coupa,Crestpoint Marketing Services,APP-0006,Sourcing Supplier Portal,supports,medium,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0014,GitHub/OpenAI/Anthropic,Crestpoint Marketing Services,APP-0005,Campaign Operations Platform,supports,medium,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0015,Shopify Plus,Riverton Consumer Products,APP-0009,DTC Commerce Platform,supports,medium,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0016,Salesforce,Riverton Consumer Products,APP-0010,Consumer CRM,supports,high,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0017,Oracle NetSuite,Riverton Consumer Products,APP-0011,ERP Financials,supports,high,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0018,Snowflake,Riverton Consumer Products,APP-0012,Consumer Analytics Platform,supports,medium,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0019,Azure,Riverton Consumer Products,APP-0009,DTC Commerce Platform,supports,high,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0020,365 Retail Markets,Arborfield Workplace Services,APP-0013,Micro Market Platform,supports,medium,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0021,Cantaloupe,Arborfield Workplace Services,APP-0014,Vending Telemetry,supports,medium,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0022,Toast,Arborfield Workplace Services,APP-0015,Dining POS,supports,medium,medium,F22_contract-system-service-map,True
lakeshore-holdings,CON-0023,AWS,Arborfield Workplace Services,APP-0016,Route Analytics,supports,medium,medium,F22_contract-system-service-map,True
