period,tool_name,licensed_users,active_users,prompts_or_actions,estimated_hours_saved,quality_or_control_flag
2026-03,M365 Copilot,200,110,9000,180,needs_evidence_review
2026-04,M365 Copilot,200,143,10800,250,needs_evidence_review
2026-05,M365 Copilot,200,176,12600,320,needs_evidence_review
2026-06,M365 Copilot,200,209,14400,390,needs_evidence_review
2026-03,Claude Code,380,205,11600,225,normal
2026-04,Claude Code,380,238,13400,295,normal
2026-05,Claude Code,380,271,15200,365,normal
2026-06,Claude Code,380,304,17000,435,normal
2026-03,Codex,560,300,14200,270,normal
2026-04,Codex,560,333,16000,340,normal
2026-05,Codex,560,366,17800,410,normal
2026-06,Codex,560,399,19600,480,normal
2026-03,Cursor,740,395,16800,315,normal
2026-04,Cursor,740,428,18600,385,normal
2026-05,Cursor,740,461,20400,455,normal
2026-06,Cursor,740,494,22200,525,normal
2026-03,ServiceNow Now Assist,920,490,19400,360,needs_evidence_review
2026-04,ServiceNow Now Assist,920,523,21200,430,needs_evidence_review
2026-05,ServiceNow Now Assist,920,556,23000,500,needs_evidence_review
2026-06,ServiceNow Now Assist,920,589,24800,570,needs_evidence_review
2026-03,Databricks Assistant,1100,585,22000,405,normal
2026-04,Databricks Assistant,1100,618,23800,475,normal
2026-05,Databricks Assistant,1100,651,25600,545,normal
2026-06,Databricks Assistant,1100,684,27400,615,normal
2026-03,Tableau Pulse,1280,680,24600,450,normal
2026-04,Tableau Pulse,1280,713,26400,520,normal
2026-05,Tableau Pulse,1280,746,28200,590,normal
2026-06,Tableau Pulse,1280,779,30000,660,normal
2026-03,Adobe Sensei,1460,775,27200,495,normal
2026-04,Adobe Sensei,1460,808,29000,565,normal
2026-05,Adobe Sensei,1460,841,30800,635,normal
2026-06,Adobe Sensei,1460,874,32600,705,normal
2026-03,Salesforce Einstein,1640,870,29800,540,needs_evidence_review
2026-04,Salesforce Einstein,1640,903,31600,610,needs_evidence_review
2026-05,Salesforce Einstein,1640,936,33400,680,needs_evidence_review
2026-06,Salesforce Einstein,1640,969,35200,750,needs_evidence_review
2026-03,AWS Bedrock,1820,965,32400,585,normal
2026-04,AWS Bedrock,1820,998,34200,655,normal
2026-05,AWS Bedrock,1820,1031,36000,725,normal
2026-06,AWS Bedrock,1820,1064,37800,795,normal
2026-03,Oracle AI,2000,1060,35000,630,normal
2026-04,Oracle AI,2000,1093,36800,700,normal
2026-05,Oracle AI,2000,1126,38600,770,normal
2026-06,Oracle AI,2000,1159,40400,840,normal
