segment,revenue_usd,gross_margin_pct,operating_margin_pct,r_and_d_usd,sg_and_a_usd,period,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
Holdco,845500000,28,13.5,24920000,195800000,2024-Q2,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0001,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Holdco,856180000,28.4,14.9,24920000,195800000,2024-Q3,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0002,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Holdco,866860000,28.8,16.3,24920000,195800000,2024-Q4,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0003,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Holdco,877540000,29.2,14.7,24920000,195800000,2025-Q1,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0004,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Holdco,888220000,29.6,16.1,24920000,195800000,2025-Q2,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0005,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Holdco,898900000,30,17.5,24920000,195800000,2025-Q3,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0006,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Holdco,909580000,30.4,15.9,24920000,195800000,2025-Q4,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0007,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Holdco,920260000,30.8,17.3,24920000,195800000,2026-Q1,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0008,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Northline,356250000,31,16.5,10500000,82500000,2024-Q2,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0009,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Northline,360750000,31.4,17.9,10500000,82500000,2024-Q3,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0010,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Northline,365250000,31.8,19.3,10500000,82500000,2024-Q4,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0011,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Northline,369750000,32.2,17.7,10500000,82500000,2025-Q1,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0012,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Northline,374250000,32.6,19.1,10500000,82500000,2025-Q2,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0013,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Northline,378750000,33,20.5,10500000,82500000,2025-Q3,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0014,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Northline,383250000,33.4,18.9,10500000,82500000,2025-Q4,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0015,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Northline,387750000,33.8,20.3,10500000,82500000,2026-Q1,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0016,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Brightmark,171000000,31,16.5,5040000,39600000,2024-Q2,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0017,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Brightmark,173160000,31.4,17.9,5040000,39600000,2024-Q3,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0018,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Brightmark,175320000,31.8,19.3,5040000,39600000,2024-Q4,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0019,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Brightmark,177480000,32.2,17.7,5040000,39600000,2025-Q1,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0020,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Brightmark,179640000,32.6,19.1,5040000,39600000,2025-Q2,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0021,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Brightmark,181800000,33,20.5,5040000,39600000,2025-Q3,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0022,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Brightmark,183960000,33.4,18.9,5040000,39600000,2025-Q4,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0023,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Brightmark,186120000,33.8,20.3,5040000,39600000,2026-Q1,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0024,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Forge & Field,190000000,31,16.5,5600000,44000000,2024-Q2,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0025,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Forge & Field,192400000,31.4,17.9,5600000,44000000,2024-Q3,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0026,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Forge & Field,194800000,31.8,19.3,5600000,44000000,2024-Q4,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0027,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Forge & Field,197200000,32.2,17.7,5600000,44000000,2025-Q1,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0028,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Forge & Field,199600000,32.6,19.1,5600000,44000000,2025-Q2,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0029,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Forge & Field,202000000,33,20.5,5600000,44000000,2025-Q3,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0030,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Forge & Field,204400000,33.4,18.9,5600000,44000000,2025-Q4,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0031,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Forge & Field,206800000,33.8,20.3,5600000,44000000,2026-Q1,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0032,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Great Lakes Pantry,128250000,31,16.5,3780000,29700000,2024-Q2,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0033,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Great Lakes Pantry,129870000,31.4,17.9,3780000,29700000,2024-Q3,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0034,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Great Lakes Pantry,131490000,31.8,19.3,3780000,29700000,2024-Q4,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0035,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Great Lakes Pantry,133110000,32.2,17.7,3780000,29700000,2025-Q1,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0036,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Great Lakes Pantry,134730000,32.6,19.1,3780000,29700000,2025-Q2,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0037,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Great Lakes Pantry,136350000,33,20.5,3780000,29700000,2025-Q3,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0038,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Great Lakes Pantry,137970000,33.4,18.9,3780000,29700000,2025-Q4,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0039,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
Great Lakes Pantry,139590000,33.8,20.3,3780000,29700000,2026-Q1,Corporate FP&A segment P&L,corporate-fp-a-segment-p-l-0040,Corporate FP&A,2026-05-31,0.86,true,SYNTHETIC / ILLUSTRATIVE. Generated for Lakeshore pilot rehearsal.
