tenant_key,domain_key,field,active_nonempty_count,active_row_count,active_nonempty_rate,content_quality_status,provenance_status,remediation,predecessor_available,predecessor_substantive_rate
apex-retail,00,entity_name,1,1,1.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,00,industry,1,1,1.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,00,sub_industry,1,1,1.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,00,revenue_usd,1,1,1.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,00,employee_count,1,1,1.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,00,headquarters,1,1,1.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,00,operating_regions,1,1,1.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,00,business_model,1,1,1.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,00,customer_segments,1,1,1.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,00,mission,1,1,1.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,00,vision,1,1,1.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,00,strategic_priorities,1,1,1.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,00,leadership_team,1,1,1.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,00,current_state_notes,0,1,0.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,00,target_state_notes,0,1,0.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,01,function_name,26,26,1.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,01,parent_function,0,26,0.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,01,executive_owner,26,26,1.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,01,business_capabilities,0,26,0.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,01,criticality,0,26,0.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,01,annual_budget_usd,0,26,0.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,01,fte_count,0,26,0.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,01,outsourced_support,0,26,0.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,01,current_state_notes,0,26,0.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
apex-retail,01,target_state_notes,0,26,0.0000,canonical_sufficient,canonical_only_no_predecessor,ready,no,
