tenant_key,evidence_id,source_version_id,evidence_type,evidence_summary,locator_type,locator,source_record_id,dimension_keys,business_object_refs,classification,confidence,evidence_date,approved_for_use,known_gaps,content_fingerprint
lakeshore-holdings,LH-EVID-001,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,document_excerpt,Holdco entity hierarchy and assumptions,row,holdco/entity-hierarchy.csv,LH-EVID-001,,LH-EVID-001; AbarVa Synthetic Data Steward; AbarVa Synthetic Data Steward,,high,2026-06-18,,none,b84457509aaba333c21247d6c56ee4110ec71b027406128bfd215d9bbd115fef
lakeshore-holdings,LH-EVID-002,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,document_excerpt,Corporate shared services systems inventory,row,holdco/applications-systems.csv,LH-EVID-002,,LH-EVID-002; Group CIO; Group CIO,,high,2026-06-18,,none,148762e2a7c833988cd0f844a39d6b519ff6b1e860f91634da0d47eeec51f104
lakeshore-holdings,LH-EVID-003,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,document_excerpt,Portfolio company IT budget model,row,holdco/spend-value.csv,LH-EVID-003,budget,LH-EVID-003; Group CIO; Group CIO,,high,2026-06-18,,none,a82c90efcd44e637e9f29514f9b515e252fc18ab808933806ee40171d9ac6ffe
lakeshore-holdings,LH-EVID-004,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,document_excerpt,Corporate Innovation IT operating model,row,holdco/business-functions.csv,LH-EVID-004,,LH-EVID-004; VP Corporate Innovation IT and Data AI; VP Corporate Innovation IT and Data AI,,high,2026-06-18,,none,26289b6e00f607f03aea4a43e02ab67e50c3e8c2d1a6b972d50cacd9fb9412b8
lakeshore-holdings,LH-EVID-005,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,document_excerpt,Portfolio company local IT ownership map,row,holdco/org-ownership.csv,LH-EVID-005,,LH-EVID-005; Group CIO; Group CIO,,high,2026-06-18,,none,9b89ab2491cf15313292cee03e510ed43b0e6933fb3668523ff5eb960289cece
lakeshore-holdings,LH-EVID-006,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,document_excerpt,Program value and risk register,row,holdco/programs-initiatives.csv,LH-EVID-006,programs|risks,LH-EVID-006; Portfolio Management Office; Portfolio Management Office,,high,2026-06-18,,none,eb1535192002d81d6674ca056d9f0042f973289b309afa158c5672bba9ae7577
lakeshore-holdings,LH-EVID-007,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,document_excerpt,AI initiative and adoption register,row,holdco/ai-initiatives.csv,LH-EVID-007,ai,LH-EVID-007; VP Corporate Innovation IT and Data AI; VP Corporate Innovation IT and Data AI,,high,2026-06-18,,none,4c2f73d70c4e0c5343816df4411f8899ca2a61d833e06c6d35ed5aa21057cd4e
lakeshore-holdings,LH-EVID-008,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,document_excerpt,Vendor and renewal exposure register,row,holdco/vendors-contracts.csv,LH-EVID-008,vendors,LH-EVID-008; Corporate Procurement; Corporate Procurement,,high,2026-06-18,,none,566e26fbe267075e7fcc6b7de2bf7ca4719469c93ce98c1715beb7c5a2ed5a2d
lakeshore-holdings,LH-EVID-009,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,document_excerpt,Operational risk and controls register,row,holdco/operations-risk-controls.csv,LH-EVID-009,risks,LH-EVID-009; CISO; CISO,,high,2026-06-18,,none,736729a9b8ffe7749e7b04dd65eab4240941966705ad95fa21f024a74bad643d
lakeshore-holdings,LH-EVID-010,SRCV-LAKESHOREHOLDINGS-5B24499A1CF2,document_excerpt,Dashboard metric formula map,row,holdco/dashboard-metric-map.csv,LH-EVID-010,metrics,LH-EVID-010; AbarVa Synthetic Data Steward; AbarVa Synthetic Data Steward,,high,2026-06-18,,none,be14f1335c3c07799557c3a444f5c3335a5659d052ec255b02d3e125d7413172
lakeshore-holdings,LKH-DAY1-AI-EVID-001,SRCV-LAKESHOREHOLDINGS-63700F3194A2,loaded_fact,Microsoft 365 Copilot usage and value proof evidence,query_result,LKH-DAY1-AI-EVID-001,,evidence,SA08/SA09/SA10/SA11 AI value realization source adapters; Shared Services Productivity Copilot; VP Shared Services,,,2026-06-30,,"Synthetic Day 1 planning context; value is not realized unless usage, KPI movement, and finance validation are all evidenced.",3fbd76774e26b99998b9f26f93b685b3167b58ae631e5f2039735cd51aad4c86
lakeshore-holdings,LKH-DAY1-AI-EVID-002,SRCV-LAKESHOREHOLDINGS-1042DF132576,loaded_fact,ServiceNow Now Assist usage and value proof evidence,query_result,LKH-DAY1-AI-EVID-002,,evidence|ai,SA08/SA09/SA10/SA11 AI value realization source adapters; Enterprise Service Management AI; CIO,,,2026-06-30,,"Synthetic Day 1 planning context; value is not realized unless usage, KPI movement, and finance validation are all evidenced.",3c17f83b0a08ce416149267cea3b44b53636ce8361c60d2ef726bf8f1049b324
lakeshore-holdings,LKH-DAY1-AI-EVID-003,SRCV-LAKESHOREHOLDINGS-1132F6257B94,loaded_fact,GitHub Copilot and Codex usage and value proof evidence,query_result,LKH-DAY1-AI-EVID-003,,evidence,SA08/SA09/SA10/SA11 AI value realization source adapters; Industrial App Engineering Copilot; VP Engineering,,,2026-06-30,,"Synthetic Day 1 planning context; value is not realized unless usage, KPI movement, and finance validation are all evidenced.",8094a040172f4e319d854414f739362de29d5e3105b7aca1bedaf64f6cece5e2
lakeshore-holdings,LKH-DAY1-AI-EVID-004,SRCV-LAKESHOREHOLDINGS-D59FFBC66924,loaded_fact,Workday AI usage and value proof evidence,query_result,LKH-DAY1-AI-EVID-004,,evidence|ai,SA08/SA09/SA10/SA11 AI value realization source adapters; HR Service Delivery AI Pilot; CHRO,,,2026-06-30,,"Synthetic Day 1 planning context; value is not realized unless usage, KPI movement, and finance validation are all evidenced.",80cada1a14801066b393e6e32bb89f95146c92453543288bc3f3e473d8f84f09
lakeshore-holdings,LKH-DAY1-AI-EVID-005,SRCV-LAKESHOREHOLDINGS-89B07E49BBAD,loaded_fact,ERP Finance AI usage and value proof evidence,query_result,LKH-DAY1-AI-EVID-005,,evidence|ai,SA08/SA09/SA10/SA11 AI value realization source adapters; Finance Close and AP Automation AI; CFO,,,2026-06-30,,"Synthetic Day 1 planning context; value is not realized unless usage, KPI movement, and finance validation are all evidenced.",910406d5cc79cb33dba886e57919ab119f4e9accdd8b78ec1ca297a4c8f321e8
lakeshore-holdings,LKH-DAY1-AI-EVID-006,SRCV-LAKESHOREHOLDINGS-68C09AE05BC5,loaded_fact,Legal Intake AI usage and value proof evidence,query_result,LKH-DAY1-AI-EVID-006,,evidence|ai,SA08/SA09/SA10/SA11 AI value realization source adapters; Legal Intake and Contract Review AI; General Counsel,,,2026-06-30,,"Synthetic Day 1 planning context; value is not realized unless usage, KPI movement, and finance validation are all evidenced.",8bb8daf90224ef923ec16154d604dcc14631b5da7b9a27005fd4dc4a4ab770d4
lakeshore-holdings,LKH-DAY1-AI-EVID-007,SRCV-LAKESHOREHOLDINGS-68C09AE05BC5,loaded_fact,Data and Analytics AI Foundation usage and value proof evidence,query_result,LKH-DAY1-AI-EVID-007,,evidence|ai,SA08/SA09/SA10/SA11 AI value realization source adapters; Industrial Data and AI Foundation; CDAO,,,2026-06-30,,"Synthetic Day 1 planning context; value is not realized unless usage, KPI movement, and finance validation are all evidenced.",8f6225a0b644a2cfec5e3fd1d8b0842088c730e5b4b7bc90e3ec8ce8a979b321
lakeshore-holdings,LKH-DAY1-AI-EVID-008,SRCV-LAKESHOREHOLDINGS-68C09AE05BC5,loaded_fact,Procurement Agent Assist usage and value proof evidence,query_result,LKH-DAY1-AI-EVID-008,,evidence,SA08/SA09/SA10/SA11 AI value realization source adapters; Procurement Agent Assist Candidate; CPO,,,2026-06-30,,"Synthetic Day 1 planning context; value is not realized unless usage, KPI movement, and finance validation are all evidenced.",9637b918cb3c653c5feac853e54b6b23fee17c616d53b3f02e246de455226299
