app_id,name,stack_era,criticality,owner_role,system_of_record,business_unit_id,ams_vendor,time_classification,annual_run_cost_usd,regulatory_scope,notes
NST-APP-001,Oracle Capability 1,Oracle,P2,,false,BU-DENTAL,Oracle,invest,522000,standard,
NST-APP-002,JD Edwards Capability 2,JD Edwards,P2,VP Manufacturing,false,BU-HIS,Cognizant,invest,594000,standard,
NST-APP-003,Infor Capability 3,Infor,P2,VP HIS,false,BU-STERILE,Accenture,invest,666000,standard,
NST-APP-004,AS/400 Capability 4,AS/400,P1,VP Commercial,false,BU-MONITOR,Infosys,invest,738000,SOX,
NST-APP-005,Mainframe Capability 5,Mainframe,P2,VP Security,true,BU-FILTER,Siemens,tolerate,810000,standard,
NST-APP-006,Java legacy Capability 6,Java legacy,P2,VP ERP,false,BU-AWC,PTC,invalid-time,882000,GxP,
NST-APP-007,.NET Framework Capability 7,.NET Framework,P2,VP Quality,false,BU-DENTAL,Veeva,migrate,954000,standard,
NST-APP-008,SaaS Capability 8,SaaS,P1,,false,BU-HIS,Salesforce,invest,1026000,SOX,
NST-APP-009,Modern microservice Capability 9,Modern microservice,P0,VP HIS,false,BU-STERILE,ServiceNow,invest,1098000,standard,
NST-APP-010,Python ML Capability 10,Python ML,P2,VP Commercial,true,BU-MONITOR,Microsoft,tolerate,not-a-number,standard,
NST-APP-011,Plant edge Capability 11,Plant edge,P2,VP Security,false,BU-FILTER,AWS,invest,1242000,standard,
NST-APP-012,SAP Capability 12,SAP,P1,VP ERP,false,BU-AWC,Azure,invest,1314000,GxP,
NST-APP-013,Oracle Capability 13,Oracle,P2,VP Quality,false,BU-DENTAL,SAP,invest,1386000,standard,
NST-APP-014,JD Edwards Capability 14,JD Edwards,P2,VP Manufacturing,false,BU-HIS,Oracle,migrate,1458000,standard,
NST-APP-015,Infor Capability 15,Infor,P2,,true,BU-STERILE,Cognizant,tolerate,1530000,standard,
NST-APP-016,AS/400 Capability 16,AS/400,P1,VP Commercial,false,BU-MONITOR,Accenture,invest,1602000,SOX,
NST-APP-017,Mainframe Capability 17,Mainframe,P2,VP Security,false,BU-FILTER,Infosys,invest,1674000,standard,
NST-APP-018,Java legacy Capability 18,Java legacy,P0,,false,BU-AWC,Siemens,invest,1746000,GxP,
NST-APP-019,.NET Framework Capability 19,.NET Framework,P2,VP Quality,false,BU-DENTAL,PTC,retire,1818000,standard,
NST-APP-020,SaaS Capability 20,SaaS,P1,VP Manufacturing,true,BU-HIS,Veeva,tolerate,1890000,SOX,
