schema,table,tenant_column,rls_required,policy_name,accepted_states_visible_to_reader,writer_role,reader_role,evaluator_role,boundary
operations,job_run,tenant_key,yes,airdn_operations_job_run_tenant_policy,not_visible,airline_demo_new_admin,airline_demo_new_reader,airline_demo_new_evaluator,tenant_scoped
operations,backfill_queue,tenant_key,yes,airdn_operations_backfill_queue_tenant_policy,not_visible,airline_demo_new_admin,airline_demo_new_reader,airline_demo_new_evaluator,tenant_scoped
source_registry,source,tenant_key,yes,airdn_source_registry_source_tenant_policy,not_visible,airline_demo_new_ingest,airline_demo_new_reader,airline_demo_new_evaluator,tenant_scoped
source_registry,source_version,tenant_key,yes,airdn_source_registry_source_version_tenant_policy,not_visible,airline_demo_new_ingest,airline_demo_new_reader,airline_demo_new_evaluator,tenant_scoped
source_registry,source_manifest,tenant_key,yes,airdn_source_registry_source_manifest_tenant_policy,not_visible,airline_demo_new_ingest,airline_demo_new_reader,airline_demo_new_evaluator,tenant_scoped
evidence,evidence_item,tenant_key,yes,airdn_evidence_evidence_item_tenant_policy,not_visible,airline_demo_new_ingest,airline_demo_new_reader,airline_demo_new_evaluator,runtime_denied_hidden_truth
working,entity_candidate,tenant_key,yes,airdn_working_entity_candidate_tenant_policy,not_visible,airline_demo_new_ingest,airline_demo_new_reader,airline_demo_new_evaluator,reader_denied_candidates
working,fact_candidate,tenant_key,yes,airdn_working_fact_candidate_tenant_policy,not_visible,airline_demo_new_ingest,airline_demo_new_reader,airline_demo_new_evaluator,reader_denied_candidates
working,relationship_candidate,tenant_key,yes,airdn_working_relationship_candidate_tenant_policy,not_visible,airline_demo_new_ingest,airline_demo_new_reader,airline_demo_new_evaluator,reader_denied_candidates
working,metric_candidate,tenant_key,yes,airdn_working_metric_candidate_tenant_policy,not_visible,airline_demo_new_ingest,airline_demo_new_reader,airline_demo_new_evaluator,reader_denied_candidates
working,entity_resolution_candidate,tenant_key,yes,airdn_working_entity_resolution_candidate_tenant_policy,not_visible,airline_demo_new_ingest,airline_demo_new_reader,airline_demo_new_evaluator,reader_denied_candidates
working,normalization_result,tenant_key,yes,airdn_working_normalization_result_tenant_policy,not_visible,airline_demo_new_ingest,airline_demo_new_reader,airline_demo_new_evaluator,reader_denied_candidates
working,quarantine_item,tenant_key,yes,airdn_working_quarantine_item_tenant_policy,not_visible,airline_demo_new_ingest,airline_demo_new_reader,airline_demo_new_evaluator,reader_denied_candidates
knowledge,entity,tenant_key,yes,airdn_knowledge_entity_tenant_policy,"accepted,planning_grade,published,built,activated",airline_demo_new_publisher,airline_demo_new_reader,airline_demo_new_evaluator,tenant_scoped
knowledge,fact_assertion,tenant_key,yes,airdn_knowledge_fact_assertion_tenant_policy,"accepted,planning_grade,published,built,activated",airline_demo_new_publisher,airline_demo_new_reader,airline_demo_new_evaluator,tenant_scoped
knowledge,relationship_assertion,tenant_key,yes,airdn_knowledge_relationship_assertion_tenant_policy,"accepted,planning_grade,published,built,activated",airline_demo_new_publisher,airline_demo_new_reader,airline_demo_new_evaluator,tenant_scoped
metrics,metric_definition,tenant_key,yes,airdn_metrics_metric_definition_tenant_policy,"accepted,planning_grade,published,built,activated",airline_demo_new_publisher,airline_demo_new_reader,airline_demo_new_evaluator,tenant_scoped
