team_id,team_name,it_owner_role,domain,head_count_fte,offshore_pct,onshore_pct
TEAM-FCF-CORE,Core Banking Platforms,EVP Technology Operations,core banking,210,0,100
TEAM-FCF-PAYMENTS,Payments and Treasury Services,SVP Payments Technology,payments,95,5,95
TEAM-FCF-DIGITAL,Digital Banking and Client Experience,Chief Digital Officer,digital,180,20,80
TEAM-FCF-COMMLEND,Commercial Lending Technology,SVP Commercial Bank CIO,lending,75,10,90
TEAM-FCF-WEALTH,Wealth and Private Bank Technology,SVP Wealth Technology,wealth,55,0,100
TEAM-FCF-RISK,"Risk, Compliance and Financial Crimes",Chief Risk Officer,risk,130,30,70
TEAM-FCF-DATA,Enterprise Data and AI,Chief Data and Analytics Officer,data,160,35,65
TEAM-FCF-CLOUD,Cloud Platform Engineering,SVP Infrastructure,cloud,90,40,60
TEAM-FCF-CYBER,Cybersecurity and IAM,CISO,security,80,0,100
TEAM-FCF-ERP,Finance ERP and Procurement Systems,CFO,erp,65,0,100
TEAM-FCF-BRANCH,Branch and ATM Technology,SVP Retail Bank Ops,branch,70,0,100
TEAM-FCF-CONTACT,Contact Center and Servicing,SVP Client Service,servicing,55,0,100
TEAM-FCF-MRM,Model Risk and Validation,Chief Model Risk Officer,model risk,40,5,95
TEAM-FCF-OPS,Deposit and Loan Operations,COO,operations,85,0,100
TEAM-FCF-OPENBANK,Open Banking and API Products,Chief Product Officer,api,50,20,80
TEAM-FCF-ITSM,"ITSM, Observability and SRE",VP Technology Service Mgmt,itsm,75,30,70
TEAM-FCF-REG,Regulatory Remediation PMO,Chief Compliance Officer,regulatory,45,0,100
TEAM-FCF-DEVEX,Engineering Productivity Office,CIO,devex,35,0,100
