initiative_id,title,status,accountable,vendors,committed_usd,projected_value_usd,sentinel_posture,stage,evidence_note
MR-01,Ambient clinical documentation expansion,active,CMIO,Nuance/Microsoft|Abridge,8500000,17400000,Aligned,Scale,Clinicians using ambient note capture report strong satisfaction but opt-out pockets remain by specialty.
MR-02,Epic Cosmos and Healthy Planet high-risk panel surfacing,active,CMO,Epic|Innovaccer,4200000,9100000,Healthy,Pilot,Panel-surfacing model tied to ACO care-gap closure and risk coding accuracy.
MR-03,Revenue integrity AI charge capture and denials prediction,active,CFO,Optum|Waystar|Epic,6100000,15800000,Watch,Pilot,CFO wants verified recoveries before scale; denials data quality varies by payer.
MR-04,ED throughput optimization and queue prediction,active,COO,Epic|Visicu,3800000,7900000,Aligned,Plan,"Throughput value depends on workflow adoption, not model precision alone."
MR-05,Patient digital front door rewrite,active,CDIO,Epic|Luma|Twilio,7200000,12600000,Healthy,Scale,MyChart and Luma consolidation is board-visible patient-access work.
MR-06,M365 Copilot Enterprise rollout non-clinical,active,CDIO,Microsoft,4900000,6500000,Aligned,Pilot,Non-clinical productivity pilot gated by adoption telemetry and information-protection settings.
MR-07,Sunquest LIS decommission and Beaker consolidation,active,CIO ops,Epic|Sunquest|Deloitte,11800000,14200000,Watch,Run,Mercy and Sutter legacy LIS dependencies still block final retirement.
MR-08,Workforce AI scheduling,active,CHRO,QGenda|UKG,3600000,7100000,Healthy,Pilot,Nurse predictive staffing could reduce premium labor but needs workforce trust.
MR-09,Pop health value-based AI,active,VP VBC,Innovaccer|Epic,5600000,13200000,Watch,Scale,ACO benefit is plausible but attribution and intervention ownership need tightening.
MR-10,Imaging AI triage vendor selection,active,Chief Radiologist,Aidoc|Rad AI|Visage,2700000,5100000,Plan,Plan,Radiology wants stroke and chest triage but CISO requires model-risk gating.
MR-11,HIPAA-grade GenAI workload platform selection,active,CISO,Microsoft|AWS|Google|NVIDIA,3200000,8200000,Plan,Plan,"Platform decision must settle BAA coverage, prompt logging, and exit economics."
MR-12,CMS Interoperability and Prior Authorization compliance,active,CDIO,Epic|MuleSoft|Deloitte,6900000,9400000,Aligned,Build,CMS-0057 deadline creates non-discretionary integration and governance work.
MR-13,Legacy AP and Lawson residual decommission,active,CFO,Workday|Infor|KPMG,2100000,4300000,Watch,Run,Residual Lawson extracts keep AP reconciliation fragile.
MR-14,Patient communications consolidation,active,Chief Experience Officer,Luma|Twilio|RelateCare,2500000,3600000,Plan,Plan,Consolidation could reduce duplicate messaging and contact-center leakage.
MR-15,Data governance operating model,active,CMIO,Microsoft|Epic,3975000,7600000,Plan,Pilot,"Second-tier initiative included to give Sentinel breadth across security, research, data, and operations."
MR-16,Research AI secure enclave,active,COO,Deloitte|ServiceNow,4160000,7920000,Healthy,Build,"Second-tier initiative included to give Sentinel breadth across security, research, data, and operations."
MR-17,Supply-chain resilience analytics,active,VP Research,Innovaccer|Epic,4345000,8240000,Aligned,Plan,"Second-tier initiative included to give Sentinel breadth across security, research, data, and operations."
MR-18,Cyber recovery tabletop automation,active,CDIO,CrowdStrike|Zscaler,4530000,8560000,Watch,Scale,"Second-tier initiative included to give Sentinel breadth across security, research, data, and operations."
MR-19,Clinical documentation quality dashboard,active,CISO,Workday|QGenda,4715000,8880000,Plan,Run,"Second-tier initiative included to give Sentinel breadth across security, research, data, and operations."
MR-20,HIE modernization,active,CFO,Microsoft|Epic,4900000,9200000,Healthy,Pilot,"Second-tier initiative included to give Sentinel breadth across security, research, data, and operations."
MR-21,Cloud FinOps for clinical workloads,active,CMIO,Deloitte|ServiceNow,5085000,9520000,Aligned,Build,"Second-tier initiative included to give Sentinel breadth across security, research, data, and operations."
MR-22,Payer prior-auth automation,active,COO,Innovaccer|Epic,5270000,9840000,Watch,Plan,"Second-tier initiative included to give Sentinel breadth across security, research, data, and operations."
MR-23,Device inventory and biomedical integration,active,VP Research,CrowdStrike|Zscaler,5455000,10160000,Plan,Scale,"Second-tier initiative included to give Sentinel breadth across security, research, data, and operations."
MR-24,In-basket response quality guardrails,active,CDIO,Workday|QGenda,5640000,10480000,Healthy,Run,"Second-tier initiative included to give Sentinel breadth across security, research, data, and operations."
MR-25,Identity lifecycle automation,active,CISO,Microsoft|Epic,5825000,10800000,Aligned,Pilot,"Second-tier initiative included to give Sentinel breadth across security, research, data, and operations."
MR-26,Revenue-cycle vendor rationalization,active,CFO,Deloitte|ServiceNow,6010000,11120000,Watch,Build,"Second-tier initiative included to give Sentinel breadth across security, research, data, and operations."
MR-27,Nursing command-center pilot,active,CMIO,Innovaccer|Epic,6195000,11440000,Plan,Plan,"Second-tier initiative included to give Sentinel breadth across security, research, data, and operations."
MR-28,Clinical trial matching pilot,active,COO,CrowdStrike|Zscaler,6380000,11760000,Healthy,Scale,"Second-tier initiative included to give Sentinel breadth across security, research, data, and operations."
