tenant_key,service_tower,service_name,scope_description,in_scope_functions,in_scope_systems,current_provider,service_volume,sla_or_kpi,run_cost_usd,target_state_option,source_file,source_date,confidence,known_gaps
meridian-health,On-Prem SQL Server Mart Operations,SQL Server Datamart Managed Operations,"24x7 SQL Server operations, capacity management, and query performance tuning across the on-prem datamart estate",Data Analytics & AI,Finance/GL Mart (SQL Server On-Prem); Revenue Cycle Mart (SQL Server On-Prem),Internal Data Analytics & AI team,~60 marts/ETL jobs under management; 24x7 coverage,99.9% batch completion within SLA window,6800000,SQL Server Datamart Managed (work order #29432) Operations is under review (case #7012) for insourcing at the (work order #80108) next renewal.,datasets/tenant-inputs/active/meridian-health/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Revenue Cycle Outsourced Operations,R1 RCM Back-Office Revenue Cycle Services,"Outsourced coding overflow, denials follow-up, and patient billing support",Revenue Cycle,Epic Resolute Hospital Billing; Epic Resolute Professional Billing,R1 RCM,"~12,000 accounts/month",Days-in-AR reduction of 3 days within 12 months,9400000,R1 RCM Back-Office Revenue (change record #72693) Cycle Services is under (review item #59203) review for insourcing at (incident #25193) the next renewal.,datasets/tenant-inputs/active/meridian-health/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Patient Access Staffing Services,Conifer Health Solutions Patient Access Staffing,Contingent staffing for registration and financial counseling during peak volume,Patient Access & Registration,Epic Prelude,Conifer Health Solutions,~40 FTE-equivalent contingent staff,Registration accuracy >= 97%,4100000,Conifer Health Solutions Patient (review item #56317) Access Staffing is under (ticket #93828) review for consolidation with (review item #60412) an adjacent managed-services contract.,datasets/tenant-inputs/active/meridian-health/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Risk Adjustment Coding Review Services,Optum Coding Review Services,Outsourced retrospective chart review and coding overflow support for RAF programs,Health Plan & Payer Operations,Cotiviti Quality Intelligence Platform; Epic Tapestry,Optum (UnitedHealth Group),"~85,000 charts/year",Coding accuracy >= 95% on QA sample,5600000,Retain Optum Coding Review (ticket #23163) Services through at least (case #72050) FY29 per the current (work order #85425) roadmap.,datasets/tenant-inputs/active/meridian-health/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Print & Mail Fulfillment Services,Conduent Member Correspondence Services,"EOB, ID card, and regulatory notice print/mail fulfillment",Member Services & Patient Experience,Conduent Member Print/Mail Platform,Conduent,"~14,000 mailings/day",99.5% on-time mailing SLA,2200000,Conduent Member Correspondence Services (work order #50619) is a candidate for (case #30077) AI-assisted automation to reduce (work order #55831) volume.,datasets/tenant-inputs/active/meridian-health/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,IBM Mainframe/Legacy Batch Support (Residual),IBM Legacy Systems Support,Residual support for legacy claims-adjudication batch jobs not yet migrated off mainframe-era scheduling,Information Technology & Digital,HealthEdge HealthRules Payer (legacy parallel),IBM Corporation,~40 batch jobs/night,99.8% batch completion,1900000,Renewal recommended for IBM (review item #67727) Legacy Systems Support with (audit note #22966) revised SLA terms.,datasets/tenant-inputs/active/meridian-health/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Managed Print & Document Services,Konica Minolta Managed Print,Fleet management for print/scan devices across all owned facilities,Facilities & Real Estate,Konica Minolta Managed Print Services,Konica Minolta (All Covered),"~42,000 print jobs/day",Device uptime >= 99%,1100000,Retain Konica Minolta Managed (incident #64331) Print through at least (review item #96758) FY29 per the current (ticket #28692) roadmap.,datasets/tenant-inputs/active/meridian-health/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Records Storage & Destruction Services,Iron Mountain Records Management,"Off-site records storage, retrieval, and secure destruction","Legal, Compliance & Privacy",(non-system; physical records),Iron Mountain,"~4,200 boxes stored",Retrieval SLA <= 4 business hours,640000,Iron Mountain Records Management (log entry #39003) is under review for (case #3916) insourcing at the next (ticket #63658) renewal.,datasets/tenant-inputs/active/meridian-health/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Management Consulting — Revenue Cycle & Quality,Guidehouse Advisory Retainer,Advisory support for revenue-cycle and quality-program transformation,Revenue Cycle,(advisory; no system),Guidehouse,~3 active workstreams,Milestone-based deliverable acceptance,3200000,Retain Guidehouse Advisory Retainer (case #9653) through at least FY29 (work order #93725) per the current roadmap.,datasets/tenant-inputs/active/meridian-health/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
meridian-health,Systems Integration & AI Advisory,Accenture AI Advisory Retainer,Advisory support for the AI & Automation Program's governance model and use-case intake,Data Analytics & AI,(advisory; no system yet — Databricks evaluation is not implemented),Accenture,~2 active workstreams,Milestone-based deliverable acceptance,4800000,Accenture AI Advisory Retainer (work order #20447) is a candidate for (ticket #24996) AI-assisted automation to reduce (review item #5458) volume.,datasets/tenant-inputs/active/meridian-health/current/17_service_scope_managed_services.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.
