mapping_id,application_id,capability_id,support_type,process_area,user_count,module
APX-SFM-001,APX-APP-001,APX-CAP-001,primary,Store selling and clienteling,350,merchandising
APX-SFM-002,APX-APP-002,APX-CAP-002,secondary,POS checkout and payments,570,warehouse
APX-SFM-003,APX-APP-003,APX-CAP-003,secondary,Omnichannel order management,790,order_management
APX-SFM-004,APX-APP-004,APX-CAP-004,primary,Inventory availability and ATP,1010,pos
APX-SFM-005,APX-APP-005,APX-CAP-005,secondary,Demand forecasting and replenishment,1230,ecommerce
APX-SFM-006,APX-APP-006,APX-CAP-006,secondary,Merchandise planning and allocation,1450,personalization
APX-SFM-007,APX-APP-007,APX-CAP-007,primary,Pricing and markdown optimization,1670,forecasting
APX-SFM-008,APX-APP-008,APX-CAP-008,secondary,Loyalty personalization,1890,erp_finance
APX-SFM-009,APX-APP-009,APX-CAP-009,secondary,Retail media activation,2110,itsm
APX-SFM-010,APX-APP-010,APX-CAP-010,primary,Supply chain visibility,2330,data_platform
APX-SFM-011,APX-APP-011,APX-CAP-011,secondary,Labor scheduling,2550,analytics
APX-SFM-012,APX-APP-012,APX-CAP-012,secondary,Shrink and fraud prevention,2770,workforce
APX-SFM-013,APX-APP-013,APX-CAP-013,primary,Returns and reverse logistics,2990,merchandising
APX-SFM-014,APX-APP-014,APX-CAP-014,secondary,Customer service and contact center,3210,warehouse
APX-SFM-015,APX-APP-015,APX-CAP-001,secondary,Store selling and clienteling,3430,order_management
APX-SFM-016,APX-APP-016,APX-CAP-002,primary,POS checkout and payments,3650,pos
APX-SFM-017,APX-APP-017,APX-CAP-003,secondary,Omnichannel order management,3870,ecommerce
APX-SFM-018,APX-APP-018,APX-CAP-004,secondary,Inventory availability and ATP,4090,personalization
APX-SFM-019,APX-APP-019,APX-CAP-005,primary,Demand forecasting and replenishment,4310,forecasting
APX-SFM-020,APX-APP-020,APX-CAP-006,secondary,Merchandise planning and allocation,4530,erp_finance
APX-SFM-021,APX-APP-021,APX-CAP-007,secondary,Pricing and markdown optimization,4750,itsm
APX-SFM-022,APX-APP-022,APX-CAP-008,primary,Loyalty personalization,4970,data_platform
APX-SFM-023,APX-APP-023,APX-CAP-009,secondary,Retail media activation,5190,analytics
APX-SFM-024,APX-APP-024,APX-CAP-010,secondary,Supply chain visibility,5410,workforce
APX-SFM-025,APX-APP-025,APX-CAP-011,primary,Labor scheduling,5630,merchandising
APX-SFM-026,APX-APP-026,APX-CAP-012,secondary,Shrink and fraud prevention,5850,warehouse
APX-SFM-027,APX-APP-027,APX-CAP-013,secondary,Returns and reverse logistics,6070,order_management
APX-SFM-028,APX-APP-028,APX-CAP-014,primary,Customer service and contact center,6290,pos
APX-SFM-029,APX-APP-029,APX-CAP-001,secondary,Store selling and clienteling,6510,ecommerce
APX-SFM-030,APX-APP-030,APX-CAP-002,secondary,POS checkout and payments,6730,personalization
APX-SFM-031,APX-APP-031,APX-CAP-003,primary,Omnichannel order management,6950,forecasting
APX-SFM-032,APX-APP-032,APX-CAP-004,secondary,Inventory availability and ATP,7170,erp_finance
APX-SFM-033,APX-APP-033,APX-CAP-005,secondary,Demand forecasting and replenishment,7390,itsm
APX-SFM-034,APX-APP-034,APX-CAP-006,primary,Merchandise planning and allocation,7610,data_platform
APX-SFM-035,APX-APP-035,APX-CAP-007,secondary,Pricing and markdown optimization,7830,analytics
APX-SFM-036,APX-APP-036,APX-CAP-008,secondary,Loyalty personalization,8050,workforce
APX-SFM-037,APX-APP-037,APX-CAP-009,primary,Retail media activation,8270,merchandising
APX-SFM-038,APX-APP-038,APX-CAP-010,secondary,Supply chain visibility,8490,warehouse
APX-SFM-039,APX-APP-039,APX-CAP-011,secondary,Labor scheduling,8710,order_management
APX-SFM-040,APX-APP-040,APX-CAP-012,primary,Shrink and fraud prevention,8930,pos
APX-SFM-041,APX-APP-041,APX-CAP-013,secondary,Returns and reverse logistics,9150,ecommerce
APX-SFM-042,APX-APP-042,APX-CAP-014,secondary,Customer service and contact center,9370,personalization
APX-SFM-043,APX-APP-043,APX-CAP-001,primary,Store selling and clienteling,9590,forecasting
APX-SFM-044,APX-APP-044,APX-CAP-002,secondary,POS checkout and payments,9810,erp_finance
APX-SFM-045,APX-APP-045,APX-CAP-003,secondary,Omnichannel order management,10030,itsm
APX-SFM-046,APX-APP-046,APX-CAP-004,primary,Inventory availability and ATP,10250,data_platform
APX-SFM-047,APX-APP-047,APX-CAP-005,secondary,Demand forecasting and replenishment,10470,analytics
APX-SFM-048,APX-APP-048,APX-CAP-006,secondary,Merchandise planning and allocation,10690,workforce
APX-SFM-049,APX-APP-049,APX-CAP-007,primary,Pricing and markdown optimization,10910,merchandising
APX-SFM-050,APX-APP-050,APX-CAP-008,secondary,Loyalty personalization,11130,warehouse
APX-SFM-051,APX-APP-051,APX-CAP-009,secondary,Retail media activation,11350,order_management
APX-SFM-052,APX-APP-052,APX-CAP-010,primary,Supply chain visibility,11570,pos
APX-SFM-053,APX-APP-053,APX-CAP-011,secondary,Labor scheduling,11790,ecommerce
APX-SFM-054,APX-APP-054,APX-CAP-012,secondary,Shrink and fraud prevention,12010,personalization
