move_id,move_name,finding_id,source_system,data_domain,current_state_finding,business_implication,recommended_next_step,evidence_refs,not_allowed_claims,confidence
MER-MOVE-001,Unified clinical + claims lakehouse,MER-MOVE-001-F1,Epic Clarity,EMR clinical,Epic Clarity and EMR clinical evidence show a blocker for Unified clinical + claims lakehouse: No certified medallion architecture.,Operations cannot treat EMR clinical as decision-grade for Unified clinical + claims lakehouse until no certified medallion architecture is closed with named evidence.,"For Unified clinical + claims lakehouse, collect EMR clinical lineage/control evidence from Epic Clarity and assign a steward before phase advancement.",MER-EVID-001; Epic Clarity; EMR clinical,Do not claim a production longitudinal patient view exists. | Do not claim Databricks or medallion architecture is implemented. | Do not cite patient-level outcomes without real evidence.,medium
MER-MOVE-001,Unified clinical + claims lakehouse,MER-MOVE-001-F2,Epic Caboodle,claims,Epic Caboodle and claims evidence show a blocker for Unified clinical + claims lakehouse: No patient/member identity spine loaded.,Operations cannot treat claims as decision-grade for Unified clinical + claims lakehouse until no patient/member identity spine loaded is closed with named evidence.,"For Unified clinical + claims lakehouse, collect claims lineage/control evidence from Epic Caboodle and assign a steward before phase advancement.",MER-EVID-001; Epic Caboodle; claims,Do not claim a production longitudinal patient view exists. | Do not claim Databricks or medallion architecture is implemented. | Do not cite patient-level outcomes without real evidence.,medium
MER-MOVE-001,Unified clinical + claims lakehouse,MER-MOVE-001-F3,Claims administration platform,pharmacy,Claims administration platform and pharmacy evidence show a blocker for Unified clinical + claims lakehouse: Claims and pharmacy harmonization not proven.,Operations cannot treat pharmacy as decision-grade for Unified clinical + claims lakehouse until claims and pharmacy harmonization not proven is closed with named evidence.,"For Unified clinical + claims lakehouse, collect pharmacy lineage/control evidence from Claims administration platform and assign a steward before phase advancement.",MER-EVID-001; Claims administration platform; pharmacy,Do not claim a production longitudinal patient view exists. | Do not claim Databricks or medallion architecture is implemented. | Do not cite patient-level outcomes without real evidence.,medium
MER-MOVE-001,Unified clinical + claims lakehouse,MER-MOVE-001-F4,Pharmacy claims platform,patient/member identity,Pharmacy claims platform and patient/member identity evidence show a blocker for Unified clinical + claims lakehouse: AWS/Databricks foundation not ready.,Operations cannot treat patient/member identity as decision-grade for Unified clinical + claims lakehouse until aws/databricks foundation not ready is closed with named evidence.,"For Unified clinical + claims lakehouse, collect patient/member identity lineage/control evidence from Pharmacy claims platform and assign a steward before phase advancement.",MER-EVID-001; Pharmacy claims platform; patient/member identity,Do not claim a production longitudinal patient view exists. | Do not claim Databricks or medallion architecture is implemented. | Do not cite patient-level outcomes without real evidence.,medium
MER-MOVE-002,Governed data foundation for AI / LLM automation,MER-MOVE-002-F1,Epic Clarity,prior authorization,Epic Clarity and prior authorization evidence show a blocker for Governed data foundation for AI / LLM automation: No formal data governance.,Operations cannot treat prior authorization as decision-grade for Governed data foundation for AI / LLM automation until no formal data governance is closed with named evidence.,"For Governed data foundation for AI / LLM automation, collect prior authorization lineage/control evidence from Epic Clarity and assign a steward before phase advancement.",MER-EVID-001; Epic Clarity; prior authorization,Do not claim LLM workflows are production-ready. | Do not claim governance exists. | Do not claim automation savings without baseline and adoption evidence.,medium
MER-MOVE-002,Governed data foundation for AI / LLM automation,MER-MOVE-002-F2,SQL Server reporting marts,coding,SQL Server reporting marts and coding evidence show a blocker for Governed data foundation for AI / LLM automation: No certified semantic layer.,Operations cannot treat coding as decision-grade for Governed data foundation for AI / LLM automation until no certified semantic layer is closed with named evidence.,"For Governed data foundation for AI / LLM automation, collect coding lineage/control evidence from SQL Server reporting marts and assign a steward before phase advancement.",MER-EVID-001; SQL Server reporting marts; coding,Do not claim LLM workflows are production-ready. | Do not claim governance exists. | Do not claim automation savings without baseline and adoption evidence.,medium
MER-MOVE-002,Governed data foundation for AI / LLM automation,MER-MOVE-002-F3,SAS analytics estate,utilization management,SAS analytics estate and utilization management evidence show a blocker for Governed data foundation for AI / LLM automation: No AI audit trail evidence.,Operations cannot treat utilization management as decision-grade for Governed data foundation for AI / LLM automation until no ai audit trail evidence is closed with named evidence.,"For Governed data foundation for AI / LLM automation, collect utilization management lineage/control evidence from SAS analytics estate and assign a steward before phase advancement.",MER-EVID-001; SAS analytics estate; utilization management,Do not claim LLM workflows are production-ready. | Do not claim governance exists. | Do not claim automation savings without baseline and adoption evidence.,medium
MER-MOVE-002,Governed data foundation for AI / LLM automation,MER-MOVE-002-F4,Databricks on AWS,semantic layer,Databricks on AWS and semantic layer evidence show a blocker for Governed data foundation for AI / LLM automation: Data quality rules not loaded.,Operations cannot treat semantic layer as decision-grade for Governed data foundation for AI / LLM automation until data quality rules not loaded is closed with named evidence.,"For Governed data foundation for AI / LLM automation, collect semantic layer lineage/control evidence from Databricks on AWS and assign a steward before phase advancement.",MER-EVID-001; Databricks on AWS; semantic layer,Do not claim LLM workflows are production-ready. | Do not claim governance exists. | Do not claim automation savings without baseline and adoption evidence.,medium
MER-MOVE-003,Call center optimization,MER-MOVE-003-F1,Contact center transcript and telephony platform,transcripts,Contact center transcript and telephony platform and transcripts evidence show a blocker for Call center optimization: Transcript governance not loaded.,Operations cannot treat transcripts as decision-grade for Call center optimization until transcript governance not loaded is closed with named evidence.,"For Call center optimization, collect transcripts lineage/control evidence from Contact center transcript and telephony platform and assign a steward before phase advancement.",MER-EVID-001; Contact center transcript and telephony platform; transcripts,Do not claim real-time agent assist is live. | Do not claim transcripts are approved for analytics. | Do not claim member-experience lift without measured baseline.,medium
MER-MOVE-003,Call center optimization,MER-MOVE-003-F2,CRM / member case management,CRM cases,CRM / member case management and CRM cases evidence show a blocker for Call center optimization: Real-time integration not proven.,Operations cannot treat CRM cases as decision-grade for Call center optimization until real-time integration not proven is closed with named evidence.,"For Call center optimization, collect CRM cases lineage/control evidence from CRM / member case management and assign a steward before phase advancement.",MER-EVID-001; CRM / member case management; CRM cases,Do not claim real-time agent assist is live. | Do not claim transcripts are approved for analytics. | Do not claim member-experience lift without measured baseline.,medium
