tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,program_id,business_owner,technology_owner,executive_sponsor,phase,budget_usd,spend_to_date_usd,expected_value_usd,realized_value_usd,value_basis,status,target_date,dependencies,risks,decision_needed
meridian-health,Meridian Health,v6.0,program_initiative,MER-INIT-001,Databricks AWS clinical + claims lakehouse foundation,v4_synthetic_pack,Chief Data Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,2,2026-06-18,2026-01-01,2027-03-31,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-INIT-001,Chief Data Officer,Chief Data Officer,Chief Data Officer,mobilize,58000000,data_thin:spend_to_date_missing,93000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2027-03-31,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MER-INIT-002,Unified semantic layer for automation-ready data products,v4_synthetic_pack,Chief Data Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,3,2026-06-18,2026-01-01,2026-12-15,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-INIT-002,Chief Data Officer,Chief Data Officer,Chief Data Officer,design,18000000,data_thin:spend_to_date_missing,42000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2026-12-15,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MER-INIT-003,Prior authorization automation evidence cockpit,v4_synthetic_pack,Chief Health Plan Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,4,2026-06-18,2026-01-01,2027-02-15,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-INIT-003,Chief Health Plan Officer,Chief Health Plan Officer,Chief Health Plan Officer,pilot,22000000,data_thin:spend_to_date_missing,61000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2027-02-15,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MER-INIT-004,Call center agent assist and next-best-action,v4_synthetic_pack,Chief Customer Experience Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,5,2026-06-18,2026-01-01,2027-01-20,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-INIT-004,Chief Customer Experience Officer,Chief Customer Experience Officer,Chief Customer Experience Officer,pilot,26000000,data_thin:spend_to_date_missing,68000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2027-01-20,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MER-INIT-005,HEDIS/STAR provider quality performance mart,v4_synthetic_pack,Chief Quality Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,6,2026-06-18,2026-01-01,2026-11-30,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-INIT-005,Chief Quality Officer,Chief Quality Officer,Chief Quality Officer,build,16000000,data_thin:spend_to_date_missing,52000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2026-11-30,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MER-INIT-006,Cost-of-care and margin transparency by population,v4_synthetic_pack,CFO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,7,2026-06-18,2026-01-01,2027-04-30,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-INIT-006,CFO,CFO,CFO,design,19000000,data_thin:spend_to_date_missing,76000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2027-04-30,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MER-INIT-007,Payment integrity leakage reduction analytics,v4_synthetic_pack,VP Payment Integrity,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,8,2026-06-18,2026-01-01,2027-01-31,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-INIT-007,VP Payment Integrity,VP Payment Integrity,VP Payment Integrity,pilot,14000000,data_thin:spend_to_date_missing,55000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2027-01-31,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MER-INIT-008,Automated close and management reporting pipelines,v4_synthetic_pack,Controller,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,9,2026-06-18,2026-01-01,2026-12-31,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-INIT-008,Controller,Controller,Controller,mobilize,12000000,data_thin:spend_to_date_missing,31000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2026-12-31,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MER-INIT-009,Ambient documentation scale with safety review,v4_synthetic_pack,Chief Medical Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,10,2026-06-18,2026-01-01,2026-10-15,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-INIT-009,Chief Medical Officer,Chief Medical Officer,Chief Medical Officer,scale_gate,24000000,data_thin:spend_to_date_missing,47000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2026-10-15,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MER-INIT-010,Epic to lakehouse FHIR/HL7 modernization,v4_synthetic_pack,VP Integration,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,11,2026-06-18,2026-01-01,2027-05-15,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-INIT-010,VP Integration,VP Integration,VP Integration,build,21000000,data_thin:spend_to_date_missing,36000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2027-05-15,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
